pair_id,roi_id,scenario,start_row,start_col,goal_row,goal_col,direction_hint_deg,note
1,1,contour_cross_slope,565,597,694,662,63.52251104408269,沿等高线方向布设起终点，用于检验只看纵坡是否会低估横坡约束压力。
2,1,upslope_downslope,662,565,597,694,333.5225110440827,沿平均坡向布设起终点，用于检验上坡/下坡代价非对称。
3,1,diagonal_ne_sw,578,578,680,680,45.0,固定对角跨越，用于观察综合绕行。
4,1,diagonal_nw_se,579,679,680,579,135.0,另一个对角跨越，用于避免单一方向偶然性。
5,1,random_far_1,645,635,557,649,nan,ROI 内随机远距离起终点，用于检查结论是否只依赖手工情景。
6,1,random_far_2,614,563,645,664,nan,ROI 内随机远距离起终点，用于检查结论是否只依赖手工情景。
7,2,contour_cross_slope,394,676,504,582,129.88179992307084,沿等高线方向布设起终点，用于检验只看纵坡是否会低估横坡约束压力。
8,2,upslope_downslope,403,574,496,685,39.88179992307083,沿平均坡向布设起终点，用于检验上坡/下坡代价非对称。
9,2,diagonal_ne_sw,399,579,500,680,45.0,固定对角跨越，用于观察综合绕行。
10,2,diagonal_nw_se,399,680,500,579,135.0,另一个对角跨越，用于避免单一方向偶然性。
11,2,random_far_1,415,544,450,700,nan,ROI 内随机远距离起终点，用于检查结论是否只依赖手工情景。
12,2,random_far_2,421,712,376,592,nan,ROI 内随机远距离起终点，用于检查结论是否只依赖手工情景。
13,3,contour_cross_slope,300,769,419,850,55.70906794071118,沿等高线方向布设起终点，用于检验只看纵坡是否会低估横坡约束压力。
14,3,upslope_downslope,400,750,319,869,325.7090679407112,沿平均坡向布设起终点，用于检验上坡/下坡代价非对称。
15,3,diagonal_ne_sw,309,759,410,860,45.0,固定对角跨越，用于观察综合绕行。
16,3,diagonal_nw_se,309,860,410,759,135.0,另一个对角跨越，用于避免单一方向偶然性。
17,3,random_far_1,380,777,336,853,nan,ROI 内随机远距离起终点，用于检查结论是否只依赖手工情景。
18,3,random_far_2,323,857,293,795,nan,ROI 内随机远距离起终点，用于检查结论是否只依赖手工情景。
19,4,contour_cross_slope,665,672,774,767,49.18071757819706,沿等高线方向布设起终点，用于检验只看纵坡是否会低估横坡约束压力。
20,4,upslope_downslope,767,665,672,774,319.18071757819706,沿平均坡向布设起终点，用于检验上坡/下坡代价非对称。
21,4,diagonal_ne_sw,669,669,770,770,45.0,固定对角跨越，用于观察综合绕行。
22,4,diagonal_nw_se,669,770,770,669,135.0,另一个对角跨越，用于避免单一方向偶然性。
23,4,random_far_1,799,650,764,721,nan,ROI 内随机远距离起终点，用于检查结论是否只依赖手工情景。
24,4,random_far_2,692,646,641,722,nan,ROI 内随机远距离起终点，用于检查结论是否只依赖手工情景。
