edge_id,row,col,theta_deg,edge_len_m,cum_dist_m,elev_m,unit_cost,alpha_parallel_deg,alpha_cross_deg,rho_up,rho_down,rho_roll,rho_slide,rho_max,dominant_limit_code,dominant_limit_name,mu_slide,mu_brake
0,614,564,0.0,28.80030091600653,28.80030091600653,3139.0,2.780699855027221,-29.054349955806135,31.284227244209976,0.0,1.6280684388820303,0.6398979238631345,1.7806998550272206,1.7806998550272206,3,侧滑附着,0.34123242980049917,0.34123242980049917
1,614,564,0.0,28.80030091600653,57.60060183201306,3139.0,2.780699855027221,-29.054349955806135,31.284227244209976,0.0,1.6280684388820303,0.6398979238631345,1.7806998550272206,1.7806998550272206,3,侧滑附着,0.34123242980049917,0.34123242980049917
2,614,566,0.0,28.80030091600653,86.40090274801959,3111.0,2.988978490159128,-34.100996270707995,34.100996270707995,0.0,1.9889784901591279,0.7130291151617782,1.9889784901591279,1.9889784901591279,1,下坡制动,0.3404140669603461,0.3404140669603461
3,614,566,0.0,28.80030091600653,115.20120366402612,3111.0,2.988978490159128,-34.100996270707995,34.100996270707995,0.0,1.9889784901591279,0.7130291151617782,1.9889784901591279,1.9889784901591279,1,下坡制动,0.3404140669603461,0.3404140669603461
4,614,568,0.0,28.80030091600653,144.00150458003264,3064.0,2.44945614271374,-26.723744518553328,25.114604821166303,0.0,1.4494561427137398,0.49363554126584663,1.3494936501127923,1.4494561427137398,1,下坡制动,0.34734887484727384,0.34734887484727384
5,614,568,0.0,28.80030091600653,172.80180549603918,3064.0,2.44945614271374,-26.723744518553328,25.114604821166303,0.0,1.4494561427137398,0.49363554126584663,1.3494936501127923,1.4494561427137398,1,下坡制动,0.34734887484727384,0.34734887484727384
6,614,570,0.0,28.80030091600653,201.6021064120457,3050.0,2.340310889108138,-21.766894469838075,22.61965241027332,0.0,1.2844646020619659,0.4387871477918636,1.3403108891081381,1.3403108891081381,3,侧滑附着,0.31086989983264923,0.31086989983264923
7,614,570,0.0,28.80030091600653,230.40240732805225,3050.0,2.340310889108138,-21.766894469838075,22.61965241027332,0.0,1.2844646020619659,0.4387871477918636,1.3403108891081381,1.3403108891081381,3,侧滑附着,0.31086989983264923,0.31086989983264923
8,614,572,0.0,28.80030091600653,259.2027082440588,3024.0,3.1910415028820376,-17.35385420275948,34.100996270707995,0.0,1.0112499244070943,0.7130291151617782,2.1910415028820376,2.1910415028820376,3,侧滑附着,0.30902027909514557,0.30902027909514557
9,614,572,45.0,40.729776155842714,299.9324843999015,3024.0,3.2643619835716935,-34.9817816004696,14.455904058348354,0.0,2.2643619835716935,0.2714856967384893,0.8342386255264135,2.2643619835716935,1,下坡制动,0.30902027909514557,0.30902027909514557
10,615,574,0.0,28.80030091600653,328.732785315908,3003.0,2.0256446151187277,8.8805678411181,18.25553529978623,0.2706301105426332,0.0,0.3473731586685587,1.0256446151187277,1.0256446151187277,3,侧滑附着,0.3216100964353639,0.3216100964353639
11,615,574,0.0,28.80030091600653,357.5330862319145,3003.0,2.0256446151187277,8.8805678411181,18.25553529978623,0.2706301105426332,0.0,0.3473731586685587,1.0256446151187277,1.0256446151187277,3,侧滑附着,0.3216100964353639,0.3216100964353639
12,615,576,0.0,28.80030091600653,386.33338714792103,2972.0,2.95799029867278,-30.552147225129104,33.413448289183464,0.0,1.7518860567072243,0.6947463173371174,1.95799029867278,1.95799029867278,3,侧滑附着,0.336934931543827,0.336934931543827
13,615,576,0.0,28.80030091600653,415.13368806392754,2972.0,2.95799029867278,-30.552147225129104,33.413448289183464,0.0,1.7518860567072243,0.6947463173371174,1.95799029867278,1.95799029867278,3,侧滑附着,0.336934931543827,0.336934931543827
14,616,578,45.0,40.729776155842714,455.86346421977026,2949.0,2.551044119093483,-26.15294239375461,27.275328896258802,0.0,1.4771848753271266,0.5429713934769786,1.5510441190934832,1.5510441190934832,3,侧滑附着,0.33241691809709484,0.33241691809709484
15,616,578,0.0,28.80030091600653,484.66376513577677,2949.0,3.141281256940533,-35.44318956191034,0.9946080835930503,0.0,2.141281256940533,0.018282797824660985,0.052226372120500804,2.141281256940533,1,下坡制动,0.33241691809709484,0.33241691809709484
16,616,580,0.0,28.80030091600653,513.4640660517833,2907.0,2.3314449947136158,-22.61965241027332,24.29366311851227,0.0,1.2290261489664145,0.4753527434411856,1.3314449947136155,1.3314449947136155,3,侧滑附着,0.33901826442288885,0.33901826442288885
17,616,580,0.0,28.80030091600653,542.2643669677899,2907.0,2.3314449947136158,-22.61965241027332,24.29366311851227,0.0,1.2290261489664145,0.4753527434411856,1.3314449947136155,1.3314449947136155,3,侧滑附着,0.33901826442288885,0.33901826442288885
18,616,582,0.0,28.80030091600653,571.0646678837965,2879.0,2.9454952051536054,-34.77755089565154,8.8805678411181,0.0,1.9454952051536052,0.16454518042194885,0.4377364211595612,1.9454952051536052,1,下坡制动,0.3569462339724899,0.3569462339724899
19,616,582,0.0,28.80030091600653,599.864968799803,2879.0,2.9454952051536054,-34.77755089565154,8.8805678411181,0.0,1.9454952051536052,0.16454518042194885,0.4377364211595612,1.9454952051536052,1,下坡制动,0.3569462339724899,0.3569462339724899
20,616,584,45.0,40.729776155842714,640.5947449556458,2849.0,2.0208326261531555,-19.595978808642915,10.433592938803363,0.0,1.0208326261531555,0.19391835481320663,0.5280168755964597,1.0208326261531555,1,下坡制动,0.34873973717482987,0.34873973717482987
21,618,584,45.0,40.729776155842714,681.3245211114885,2848.0,2.709129356761661,-26.152942393754607,32.55227285302707,0.0,1.3147148898166618,0.672250296685783,1.7091293567616608,1.7091293567616608,3,侧滑附着,0.37349637376270284,0.37349637376270284
