pair_id,roi_id,scenario,模型方案,是否找到路径,规划模型内部相对累计代价_Jplan,规划路径长度_L_m,规划平均单位距离相对代价,规划绕行率_L除以直线距离,路径节点数,V10统一重评价相对累计代价_Jplan,V10统一重评价平均单位距离相对代价,评价路径长度_m,平均上坡牵引利用率,平均下坡制动利用率,平均侧翻稳定性利用率,平均侧滑附着利用率,平均最大利用率,最大上坡牵引利用率,最大下坡制动利用率,最大侧翻稳定性利用率,最大侧滑附着利用率,最大rho_max,P_rho_roll_gt_0p7,P_rho_slide_gt_0p7,P_rho_up_gt_0p7,P_rho_down_gt_0p7,P_rho_max_gt_1p0,P_rho_max_gt_0p9,主导限制_上坡牵引_路径比例,主导限制_下坡制动_路径比例,主导限制_侧翻稳定性_路径比例,主导限制_侧滑附着_路径比例,平均侧滑附着能力_mu_s,平均制动附着能力_mu_b,硬约束rho_lim
1,1,contour_cross_slope,B0_Static_Slope,True,32555.034650945065,13164.692346096024,2.472905085442367,1.5916971018009012,196,21550.073418596792,1.6369598963691274,13164.692346096008,0.19748340404087444,0.3075650330508866,0.20866509369112834,0.5233920244854108,0.7469716652285074,1.8944107737984326,2.5860984148636432,0.7433536934506254,1.769992335954023,2.5860984148636432,0.0061877292814854325,0.27963826348957943,0.07725554114696068,0.1511973434629531,0.23345016806866425,0.286265741151516,0.2088280502613409,0.2601422284596249,0.0,0.531029721279034,0.37431427351115565,0.37431427351115565,
1,1,contour_cross_slope,B1_Longitudinal_Directional,True,19810.91673257959,10798.974122249134,1.8345184003879724,1.3056663506385826,157,29975.24393956532,2.7757492147154332,10798.974122249138,0.20529959649411741,0.36194392982845264,0.7023285037213568,1.7506929410260925,1.8012344623766343,1.1426604667355624,1.5755128428158687,1.144118293397919,2.993214851693284,2.993214851693284,0.6070569826621467,0.9334048111369692,0.12526804176363407,0.25479781219096853,0.9462819745202197,0.9538252421852338,0.00533389571823665,0.09143436380485048,0.0,0.9032317404769122,0.3823955970121193,0.3823955970121193,
1,1,contour_cross_slope,V9_Constant_Adhesion,True,18177.275338639036,8981.309417508377,2.023900357246776,1.0858988417199544,130,20469.80337673183,2.279155791785495,8981.309417508388,0.38251914182636615,0.6412937234025889,0.36900033645063807,0.9385921061331503,1.3073706021234597,1.8944107737984326,2.897336201807835,1.053623061151756,2.730287605783483,2.897336201807835,0.07255917686379774,0.6401276198817268,0.31873555426173267,0.39129473112553037,0.6651365851392708,0.7735195651430861,0.22959273150705697,0.32670508833651735,0.0,0.44370218015642615,0.376144614890775,0.376144614890775,
1,1,contour_cross_slope,V10_Free,True,20094.108717940104,9062.768969820061,2.2172151563010734,1.0957478324840233,131,20094.108717940104,2.2172151563010734,9062.768969820074,0.41090192657719476,0.6881860543264217,0.3357619416658116,0.8125511783448797,1.2354583388023228,1.8944107737984326,3.3145046369415434,0.8775742955837272,2.170905092580521,3.3145046369415434,0.03813443905973692,0.5512976072697646,0.329672592302843,0.4476119201709569,0.6777736200997249,0.7661151938699482,0.2847307248763679,0.37352398717004004,0.0,0.34174528795359255,0.3896790725723628,0.3896790725723628,
1,1,contour_cross_slope,V10_Hard_rho_1p0,False,inf,inf,inf,inf,0,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,1.0
1,1,contour_cross_slope,V10_Hard_rho_1p2,False,inf,inf,inf,inf,0,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,1.2
1,1,contour_cross_slope,V10_Hard_rho_1p5,False,inf,inf,inf,inf,0,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,1.5
2,1,upslope_downslope,B0_Static_Slope,True,27231.807285754367,9976.191501663609,2.729679686001742,1.2061865695568394,151,16690.86736097834,1.6730700646830012,9976.191501663612,0.30192246696978464,0.27643816498310503,0.16261724656484217,0.4246260748145671,0.7430075180588163,1.5636406386907695,2.189080945450741,0.782137364413267,1.8809838839448751,2.189080945450741,0.008165395812430162,0.1734545693115624,0.13419851568808097,0.13180692662569243,0.24332054712546655,0.2711989522504101,0.340894965062769,0.26402418506324454,0.0,0.3950808498739868,0.3663618159288087,0.3663618159288087,
2,1,upslope_downslope,B1_Longitudinal_Directional,True,18370.71876266126,9936.66069817294,1.8487819319461212,1.2014070377839898,147,26040.480223664417,2.620647017609497,9936.660698172938,0.27601852698252244,0.20033658124176051,0.6300058016099949,1.6208683117676936,1.6635898651014818,1.5636406386907695,1.7840867795224091,1.0083754450286744,7.288893392223461,7.288893392223461,0.4710161171938757,0.912636387355548,0.09075928573597115,0.11195725273724409,0.8856416437930502,0.9102352838858421,0.04198396977646654,0.05937429946014109,0.0,0.8986417307633923,0.3788771177663528,0.3788771177663528,
2,1,upslope_downslope,V9_Constant_Adhesion,True,14893.926887851245,9217.50097697477,1.615831332706786,1.1144559405711085,137,16294.97785487658,1.7678303366152366,9217.500976974774,0.32339127949204405,0.2976041075287376,0.21947438989466078,0.5829948726851869,0.8134125697699987,1.5636406386907695,2.189080945450741,0.5429713934769786,1.813673591825507,2.189080945450741,0.0,0.36056057473101966,0.11765973626091517,0.16443561544065433,0.32887123088130865,0.36163274178555593,0.3064634809538258,0.19460868610071058,0.0,0.4989278329454637,0.3667059833784437,0.3667059833784437,
