pair_id,scenario,rho_lim,是否找到满足硬约束路径,路径相对累计代价_Jplan,路径长度_L_m,绕行率_L除以直线距离
1,contour_cross_slope,1.0,False,inf,inf,inf
1,contour_cross_slope,1.2,False,inf,inf,inf
1,contour_cross_slope,1.5,False,inf,inf,inf
2,upslope_downslope,1.0,False,inf,inf,inf
2,upslope_downslope,1.2,False,inf,inf,inf
2,upslope_downslope,1.5,True,27158.410152690783,14299.336926321283,1.7288830262751798
3,diagonal_ne_sw,1.0,False,inf,inf,inf
3,diagonal_ne_sw,1.2,False,inf,inf,inf
3,diagonal_ne_sw,1.5,True,17811.7817504407,10343.958459731366,1.2571933908926631
4,diagonal_nw_se,1.0,False,inf,inf,inf
4,diagonal_nw_se,1.2,False,inf,inf,inf
4,diagonal_nw_se,1.5,False,inf,inf,inf
5,random_far_1,1.0,False,inf,inf,inf
5,random_far_1,1.2,False,inf,inf,inf
5,random_far_1,1.5,True,26249.605282736327,14277.173579245613,2.7816659044702834
6,contour_cross_slope,1.0,False,inf,inf,inf
6,contour_cross_slope,1.2,False,inf,inf,inf
6,contour_cross_slope,1.5,True,24831.68984382636,13321.822298581055,1.6122598306335751
7,upslope_downslope,1.0,False,inf,inf,inf
7,upslope_downslope,1.2,False,inf,inf,inf
7,upslope_downslope,1.5,False,inf,inf,inf
8,diagonal_ne_sw,1.0,False,inf,inf,inf
8,diagonal_ne_sw,1.2,False,inf,inf,inf
8,diagonal_ne_sw,1.5,True,29316.215164595713,15648.009718937272,1.9019351923713401
9,diagonal_nw_se,1.0,False,inf,inf,inf
9,diagonal_nw_se,1.2,False,inf,inf,inf
9,diagonal_nw_se,1.5,True,47599.29045664089,25233.277653979578,3.0669752672060873
10,random_far_1,1.0,False,inf,inf,inf
10,random_far_1,1.2,False,inf,inf,inf
10,random_far_1,1.5,True,19270.93336234811,10008.237549611953,1.6596079057446937
11,contour_cross_slope,1.0,False,inf,inf,inf
11,contour_cross_slope,1.2,False,inf,inf,inf
11,contour_cross_slope,1.5,True,16671.192116611004,10133.321454148647,1.2244721500986937
12,upslope_downslope,1.0,False,inf,inf,inf
12,upslope_downslope,1.2,False,inf,inf,inf
12,upslope_downslope,1.5,False,inf,inf,inf
13,diagonal_ne_sw,1.0,False,inf,inf,inf
13,diagonal_ne_sw,1.2,False,inf,inf,inf
13,diagonal_ne_sw,1.5,False,inf,inf,inf
14,diagonal_nw_se,1.0,False,inf,inf,inf
14,diagonal_nw_se,1.2,False,inf,inf,inf
14,diagonal_nw_se,1.5,True,44463.90317388088,24404.70588125574,2.966266624876844
15,random_far_1,1.0,False,inf,inf,inf
15,random_far_1,1.2,False,inf,inf,inf
15,random_far_1,1.5,True,26630.184090441388,15239.016353974841,1.6547827836362736
16,contour_cross_slope,1.0,False,inf,inf,inf
16,contour_cross_slope,1.2,False,inf,inf,inf
16,contour_cross_slope,1.5,True,19311.473056221177,10405.652610297715,1.2551924431739594
17,upslope_downslope,1.0,False,inf,inf,inf
17,upslope_downslope,1.2,False,inf,inf,inf
17,upslope_downslope,1.5,True,18137.08921259557,11172.530232455229,1.3476978373304713
18,diagonal_ne_sw,1.0,False,inf,inf,inf
18,diagonal_ne_sw,1.2,False,inf,inf,inf
18,diagonal_ne_sw,1.5,True,18963.573710701396,9531.760881944838,1.1585365674140558
19,diagonal_nw_se,1.0,False,inf,inf,inf
19,diagonal_nw_se,1.2,False,inf,inf,inf
19,diagonal_nw_se,1.5,False,inf,inf,inf
20,random_far_1,1.0,False,inf,inf,inf
20,random_far_1,1.2,False,inf,inf,inf
20,random_far_1,1.5,True,19454.852335373846,10997.330481628856,1.5048311867197708
