edge_id,row,col,theta_deg,edge_len_m,cum_dist_m,elev_m,unit_cost,alpha_parallel_deg,alpha_cross_deg,rho_up,rho_down,rho_roll,rho_slide,rho_max,dominant_limit_code,dominant_limit_name,mu_slide,mu_brake
0,24,332,45.0,81.45955231168543,81.45955231168543,3699.0,1.5514812924254773,-8.724009590158651,13.462281158902025,0.0,0.3535136489906906,0.25209386125716865,0.5514812924254773,0.5514812924254773,3,侧滑附着,0.4340720342974977,0.4340720342974977
1,24,334,45.0,81.45955231168543,162.91910462337086,3711.0,2.064596148181046,-14.785178270209366,24.71903449101988,0.0,0.6103684582904666,0.48479588703301657,1.064596148181046,1.064596148181046,3,侧滑附着,0.43241859092807733,0.43241859092807733
2,25,334,0.0,57.60060183201306,220.51970645538393,3680.0,2.2653434334225926,3.972454567555506,28.288641003131207,0.12028004913005921,0.0,0.5667667325644905,1.2653434334225924,1.2653434334225924,3,侧滑附着,0.42533023502741735,0.42533023502741735
3,25,336,0.0,57.60060183201306,278.120308287397,3686.0,2.4967056731255326,6.928978666267095,32.36136959870136,0.21049008597760363,0.0,0.667322120600126,1.4967056731255328,1.4967056731255328,3,侧滑附着,0.42337912156831536,0.42337912156831536
4,26,336,45.0,81.45955231168543,359.5798605990824,3649.0,2.4332712056036168,-15.113456620442502,29.453305621317156,0.0,0.6854775331147732,0.5946829547605005,1.4332712056036168,1.4332712056036168,3,侧滑附着,0.3939920290946881,0.3939920290946881
5,26,338,45.0,81.45955231168543,441.03941291076785,3691.0,2.2987207835074965,0.7033294435271841,28.91720002360816,0.021262709595328964,0.0,0.5817550644396199,1.2987207835074963,1.2987207835074963,3,侧滑附着,0.4253580958730332,0.4253580958730332
6,28,338,45.0,81.45955231168543,522.4989652224533,3637.0,2.8357434597694886,-2.8112010725206202,38.155515715596394,0.0,0.11473396623559315,0.8273849805363483,1.8357434597694886,1.8357434597694886,3,侧滑附着,0.42798245380747413,0.42798245380747413
7,28,340,45.0,81.45955231168543,603.9585175341388,3698.0,2.509972920749023,2.460263496678525,33.29561472528911,0.07441948358365143,0.0,0.6916421321671037,1.509972920749023,1.509972920749023,3,侧滑附着,0.43495327294344305,0.43495327294344305
8,30,340,45.0,81.45955231168543,685.4180698458242,3655.0,2.730720213804149,-1.054927936170773,36.601268155310414,0.0,0.04291041852406981,0.782137364413267,1.7307202138041489,1.7307202138041489,3,侧滑附着,0.4291276404470554,0.4291276404470554
9,30,342,45.0,81.45955231168543,766.8776221575097,3702.0,2.4384922855292066,-4.212581547545062,32.04975988982776,0.0,0.1692343865328478,0.6593224063649024,1.4384922855292068,1.4384922855292068,3,侧滑附着,0.435231799628556,0.435231799628556
10,32,342,45.0,81.45955231168543,848.3371744691951,3623.0,2.8290697534564346,-10.093075972322596,38.80206691146148,0.0,0.4049085713758518,0.846776816017669,1.8290697534564344,1.8290697534564344,3,侧滑附着,0.4396114667880181,0.4396114667880181
11,32,344,45.0,81.45955231168543,929.7967267808806,3667.0,1.7641058650307544,-16.739330382967093,18.654211971440127,0.0,0.680748861572854,0.35551698382421215,0.7641058650307545,0.7641058650307545,3,侧滑附着,0.4418116268385687,0.4418116268385687
12,34,344,45.0,81.45955231168543,1011.256279092566,3632.0,1.8790981456693663,5.260405223531604,21.141236063247323,0.15947032196496744,0.0,0.40722854510773393,0.8790981456693663,0.8790981456693663,3,侧滑附着,0.439876914330203,0.439876914330203
13,34,345,90.0,57.60060183201306,1068.8568809245792,3639.0,1.0648102373466015,-0.9946080835930503,1.4917248561692134,0.0,0.04320682489773429,0.027424196736991476,0.06481023734660142,0.06481023734660142,3,侧滑附着,0.40180989262228445,0.40180989262228445
