edge_id,row,col,theta_deg,edge_len_m,cum_dist_m,elev_m,unit_cost,alpha_parallel_deg,alpha_cross_deg,rho_up,rho_down,rho_roll,rho_slide,rho_max,dominant_limit_code,dominant_limit_name,mu_slide,mu_brake
0,40,410,90.0,57.60060183201306,57.60060183201306,3064.0,2.09755544831179,32.36136959870136,20.903879542425823,1.0975554483117904,0.0,0.4022215521425416,0.9831343115715773,1.0975554483117904,0,上坡牵引,0.3884926487373385,0.3884926487373385
1,40,410,90.0,57.60060183201306,115.20120366402612,3064.0,2.09755544831179,32.36136959870136,20.903879542425823,1.0975554483117904,0.0,0.4022215521425416,0.9831343115715773,1.0975554483117904,0,上坡牵引,0.3884926487373385,0.3884926487373385
2,42,410,135.0,81.45955231168543,196.66075597571154,3133.0,1.5651347820452055,-12.124599750637525,8.724009590158651,0.0,0.5651347820452054,0.16159862901100552,0.40366770146086106,0.5651347820452054,1,下坡制动,0.38014036833720977,0.38014036833720977
3,42,408,135.0,81.45955231168543,278.12030828739694,3102.0,1.8591548274606198,-11.788011834139166,18.33792430723564,0.0,0.5409493358085384,0.34905303866377185,0.8591548274606198,0.8591548274606198,3,侧滑附着,0.3857894165895955,0.3857894165895955
4,44,408,135.0,81.45955231168543,359.5798605990824,3044.0,2.6184805068610904,-31.027982518193017,24.42817345663808,0.0,1.6184805068610904,0.4783319418725763,1.2221179337522514,1.6184805068610904,1,下坡制动,0.371660654047443,0.371660654047443
5,44,406,180.0,57.60060183201306,417.18046243109546,3000.0,2.7177242256200245,-33.413448289183464,18.255535299786228,0.0,1.7177242256200247,0.34737315866855867,0.8588621128100122,1.7177242256200247,1,下坡制动,0.38406358695263065,0.38406358695263065
6,44,406,135.0,81.45955231168543,498.64001474278086,3000.0,2.821921672216496,-34.9817816004696,13.129200208573168,0.0,1.821921672216496,0.24562991609672843,0.6073072240721654,1.821921672216496,1,下坡制动,0.38406358695263065,0.38406358695263065
7,46,404,135.0,81.45955231168543,580.0995670544663,2913.0,1.7016694166458568,22.05331381416801,4.91148774953604,0.7016694166458567,0.0,0.09049523224616307,0.247617898973585,0.7016694166458567,0,上坡牵引,0.34703556575421957,0.34703556575421957
8,46,404,135.0,81.45955231168543,661.5591193661518,2913.0,1.7016694166458568,22.05331381416801,4.91148774953604,0.7016694166458567,0.0,0.09049523224616307,0.247617898973585,0.7016694166458567,0,上坡牵引,0.34703556575421957,0.34703556575421957
9,48,402,135.0,81.45955231168543,743.0186716778372,3026.0,2.15881767294543,33.78425211462873,4.562204715918012,1.15881767294543,0.0,0.08403128708572286,0.2231753349979074,1.15881767294543,0,上坡牵引,0.35754041602064424,0.35754041602064424
