edge_id,row,col,theta_deg,edge_len_m,cum_dist_m,elev_m,unit_cost,alpha_parallel_deg,alpha_cross_deg,rho_up,rho_down,rho_roll,rho_slide,rho_max,dominant_limit_code,dominant_limit_name,mu_slide,mu_brake
0,30,130,90.0,30.0,30.0,1071.397667272846,1.2399532030446707,-5.224272427266509,4.739785129908763,0.0,0.23995320304467083,0.08731683160682607,0.21759341779341654,0.23995320304467083,1,下坡制动,0.3810504998189064,0.3810504998189064
1,32,130,135.0,42.42640687119285,72.42640687119285,1067.3358101613871,1.1753131540018928,3.8941391795401623,3.5028397474639257,0.11790138311106127,0.0,0.06446275509211344,0.17531315400189287,0.17531315400189287,3,侧滑附着,0.3491601575821476,0.3491601575821476
2,32,129,90.0,30.0,102.42640687119285,1068.242494692396,1.13374042046026,0.5333079986039186,2.7365769506165005,0.016122360727301107,0.0,0.05033674499984906,0.13374042046025997,0.13374042046025997,3,侧滑附着,0.35739853286205703,0.35739853286205703
3,34,128,135.0,42.42640687119285,144.8528137423857,1067.6117709450248,1.054975011620556,-1.0281256924870714,0.7873343902853288,0.0,0.054975011620556055,0.014472168297905683,0.042097766963511966,0.054975011620556055,1,下坡制动,0.32644112465279285,0.32644112465279285
4,34,128,135.0,42.42640687119285,187.27922061357856,1067.6117709450248,1.054975011620556,-1.0281256924870714,0.7873343902853288,0.0,0.054975011620556055,0.014472168297905683,0.042097766963511966,0.054975011620556055,1,下坡制动,0.32644112465279285,0.32644112465279285
5,36,127,90.0,30.0,217.27922061357856,1067.223879890356,1.0683562775246294,-1.2892050248369331,1.2184289213135018,0.0,0.0683562775246293,0.022398179348493738,0.06460241980458468,0.0683562775246293,1,下坡制动,0.32922609669677827,0.32922609669677827
6,36,127,90.0,30.0,247.27922061357856,1067.223879890356,1.0683562775246294,-1.2892050248369331,1.2184289213135018,0.0,0.0683562775246293,0.022398179348493738,0.06460241980458468,0.0683562775246293,1,下坡制动,0.32922609669677827,0.32922609669677827
7,38,127,90.0,30.0,277.27922061357856,1066.998968290243,1.0944327052704108,3.120719073027115,0.23970870343224446,0.09443270527041077,0.0,0.004405887282106286,0.012720845867525405,0.09443270527041077,0,上坡牵引,0.3288877611825669,0.3288877611825669
8,38,127,90.0,30.0,307.27922061357856,1066.998968290243,1.0944327052704108,3.120719073027115,0.23970870343224446,0.09443270527041077,0.0,0.004405887282106286,0.012720845867525405,0.09443270527041077,0,上坡牵引,0.3288877611825669,0.3288877611825669
9,40,127,90.0,30.0,337.27922061357856,1068.6709822984124,1.0723950300547191,-1.4233506726865874,0.49484623794427496,0.0,0.07239503005471916,0.009095532225961319,0.025164514809280687,0.07239503005471916,1,下坡制动,0.3432178579339552,0.3432178579339552
10,40,126,135.0,42.42640687119285,379.7056274847714,1066.661160652729,1.089475794901076,1.0302304507086766,1.7809418168951163,0.03114721239570974,0.0,0.03274437278702693,0.08947579490107614,0.08947579490107614,3,侧滑附着,0.34750529911402,0.34750529911402
11,42,126,135.0,42.42640687119285,422.13203435596427,1069.052671806141,1.2338109665331307,-2.5079036450575165,4.701641223000398,0.0,0.12451663693301541,0.08661096317569415,0.23381096653313072,0.23381096653313072,3,侧滑附着,0.3517534065010151,0.3517534065010151
12,42,125,90.0,30.0,452.13203435596427,1066.8654691846027,1.1616777517295829,0.6186130853236169,3.069696343702693,0.01870139367180521,0.0,0.05647526492788719,0.16167775172958296,0.16167775172958296,3,侧滑附着,0.33169455047464463,0.33169455047464463
13,44,124,135.0,42.42640687119285,494.5584412271571,1072.1366882250304,1.0490347603047447,0.5215768951417453,0.977166733028955,0.0157676995390414,0.0,0.017962129729134902,0.049034760304744685,0.049034760304744685,3,侧滑附着,0.34784366065857325,0.34784366065857325
14,44,124,90.0,30.0,524.5584412271571,1072.1366882250304,1.0531786436046664,-0.32220407936582984,1.0597281125076763,0.0,0.016166979446017356,0.019480093087230244,0.05317864360466645,0.05317864360466645,3,侧滑附着,0.34784366065857325,0.34784366065857325
15,46,124,90.0,30.0,554.5584412271571,1074.152511263157,1.1272544152393589,-1.5886276779057251,2.614023609565966,0.0,0.07730281649756132,0.0480792875754708,0.12725441523935896,0.12725441523935896,3,侧滑附着,0.35876947500246253,0.35876947500246253
16,46,124,135.0,42.42640687119285,596.98484809835,1074.152511263157,1.1446438057019244,0.7260211432585507,2.9706300249738247,0.021948786184355196,0.0,0.054649350415642034,0.1446438057019244,0.1446438057019244,3,侧滑附着,0.35876947500246253,0.35876947500246253
