row,col,landcover,W,mu_s,mu_b,hard_barrier
102,836,10,0.1830584752779443,0.36338830494441116,0.36338830494441116,False
435,320,30,0.2054384835900714,0.3140482653717375,0.3140482653717375,False
860,255,30,0.09367249212367114,0.3336073138783575,0.3336073138783575,False
270,817,10,0.10946788682967416,0.3781064226340652,0.3781064226340652,False
106,277,30,0.16737331554663815,0.3207096697793383,0.3207096697793383,False
71,58,30,0.1595484957851234,0.3220790132376034,0.3220790132376034,False
700,16,30,0.2624078097976505,0.3040786332854111,0.3040786332854111,False
20,307,30,0.2775591823846255,0.30142714308269053,0.30142714308269053,False
614,657,10,0.0676130155189828,0.3864773968962035,0.3864773968962035,False
121,187,30,0.24542310653745295,0.3070509563559457,0.3070509563559457,False
466,859,10,0.2615092151685168,0.3476981569662967,0.3476981569662967,False
214,962,20,0.05900705635255569,0.43672341232067496,0.43672341232067496,False
330,878,10,0.2565283048957984,0.34869433902084035,0.34869433902084035,False
458,414,40,0.6666666666666666,0.08,0.08,True
87,855,10,0.06610211993702651,0.3867795760125947,0.3867795760125947,False
372,320,10,0.08643835837326717,0.38271232832534663,0.38271232832534663,False
99,803,10,0.23940069401360295,0.35211986119727945,0.35211986119727945,False
871,895,10,0.32403892563242664,0.3351922148735147,0.3351922148735147,False
663,434,20,0.24990885945199925,0.39377050662330015,0.39377050662330015,False
130,379,20,0.22758903257483754,0.39879246767066157,0.39879246767066157,False
