edge_id,row,col,theta_deg,edge_len_m,cum_dist_m,elev_m,unit_cost,alpha_parallel_deg,alpha_cross_deg,rho_up,rho_down,rho_roll,rho_slide,rho_max,dominant_limit_code,dominant_limit_name,mu_slide,mu_brake
0,565,598,0.0,28.80030091600653,28.80030091600653,2664.0,4.06145495398396,-47.10662277459994,3.972454567555506,0.0,3.0614549539839597,0.07313119129864394,0.1975132228376748,3.0614549539839597,1,下坡制动,0.3515902260539785,0.3515902260539785
1,565,598,0.0,28.80030091600653,57.60060183201306,2664.0,4.06145495398396,-47.10662277459994,3.972454567555506,0.0,3.0614549539839597,0.07313119129864394,0.1975132228376748,3.0614549539839597,1,下坡制动,0.3515902260539785,0.3515902260539785
2,565,600,0.0,28.80030091600653,86.40090274801959,2597.0,2.5728713494932185,-27.511757359889653,6.928978666267095,0.0,1.5728713494932187,0.12797958477262691,0.36700331488175103,1.5728713494932187,1,下坡制动,0.33113190730595904,0.33113190730595904
3,565,600,0.0,28.80030091600653,115.20120366402612,2597.0,2.5728713494932185,-27.511757359889653,6.928978666267095,0.0,1.5728713494932187,0.12797958477262691,0.36700331488175103,1.5728713494932187,1,下坡制动,0.33113190730595904,0.33113190730595904
4,566,602,45.0,40.729776155842714,155.93097981986884,2585.0,1.5813983935775395,-11.112374481460865,11.112374481460865,0.0,0.5813983935775396,0.2068462451340871,0.5813983935775396,0.5813983935775396,1,下坡制动,0.3378346064687464,0.3378346064687464
5,566,602,45.0,40.729776155842714,196.66075597571154,2585.0,1.5813983935775395,-11.112374481460865,11.112374481460865,0.0,0.5813983935775396,0.2068462451340871,0.5813983935775396,0.5813983935775396,1,下坡制动,0.3378346064687464,0.3378346064687464
6,568,604,45.0,40.729776155842714,237.39053213155427,2545.0,1.7679261034366651,-13.794437650312792,5.608931874667524,0.0,0.7679261034366651,0.10342312256704354,0.30717044137466604,0.7679261034366651,1,下坡制动,0.31971907287672774,0.31971907287672774
7,568,604,90.0,28.80030091600653,266.1908330475608,2545.0,1.7602080572663192,-5.946801364267785,13.661016318661032,0.0,0.32580345311413683,0.2559591695452538,0.7602080572663191,0.7602080572663191,3,侧滑附着,0.31971907287672774,0.31971907287672774
8,570,604,90.0,28.80030091600653,294.9911339635673,2540.0,1.822079260576793,0.9946080835930493,14.596429528741979,0.030070012282514776,0.0,0.2742419673699148,0.822079260576793,0.822079260576793,3,侧滑附着,0.3167747410802415,0.3167747410802415
9,570,604,45.0,40.729776155842714,335.72091011941,2540.0,1.620051007815118,-9.75183702516937,11.112374481460865,0.0,0.5425446318382282,0.2068462451340871,0.6200510078151181,0.6200510078151181,3,侧滑附着,0.3167747410802415,0.3167747410802415
10,572,606,45.0,40.729776155842714,376.45068627525274,2544.0,1.276415224739277,9.067281418318652,0.7033294435271848,0.27641522473927693,0.0,0.012927890320880441,0.037180326722472824,0.27641522473927693,0,上坡牵引,0.33017544962095335,0.33017544962095335
