edge_id,row,col,theta_deg,edge_len_m,cum_dist_m,elev_m,unit_cost,alpha_parallel_deg,alpha_cross_deg,rho_up,rho_down,rho_roll,rho_slide,rho_max,dominant_limit_code,dominant_limit_name,mu_slide,mu_brake
0,400,680,135.0,40.729776155842714,40.729776155842714,2822.0,2.8206187952308683,2.8112010725206202,35.45123888729389,0.08505083838131605,0.0,0.7498176386110657,1.8206187952308681,1.8206187952308681,3,侧滑附着,0.3910812112752269,0.3910812112752269
1,400,678,135.0,40.729776155842714,81.45955231168543,2795.0,2.751814926430746,-0.703329443527181,34.02650187404242,0.0,0.03185118048055883,0.7110339676484243,1.7518149264307459,1.7518149264307459,3,侧滑附着,0.385418402481769,0.385418402481769
2,401,678,180.0,28.80030091600653,110.25985322769196,2800.0,2.4753142723564325,-29.054349955806135,10.81161055915987,0.0,1.4753142723564328,0.2011107760712709,0.5071392811225239,1.4753142723564328,1,下坡制动,0.3765636650058485,0.3765636650058485
3,401,676,180.0,28.80030091600653,139.0601541436985,2769.0,2.7267734995457324,-30.552147225129104,19.1479519585378,0.0,1.7267734995457322,0.3656559564932197,1.0157491173798423,1.7267734995457322,1,下坡制动,0.3418349938597221,0.3418349938597221
4,401,676,180.0,28.80030091600653,167.86045505970503,2769.0,2.7267734995457324,-30.552147225129104,19.1479519585378,0.0,1.7267734995457322,0.3656559564932197,1.0157491173798423,1.7267734995457322,1,下坡制动,0.3418349938597221,0.3418349938597221
5,400,674,225.0,40.729776155842714,208.59023121554776,2709.0,4.204991660807911,-47.85156186896496,1.406446987389489,0.0,3.204991660807911,0.02585578064176062,0.07122203690684174,3.204991660807911,1,下坡制动,0.3447256390679367,0.3447256390679367
6,400,674,225.0,40.729776155842714,249.3200073713905,2709.0,4.204991660807911,-47.85156186896496,1.406446987389489,0.0,3.204991660807911,0.02585578064176062,0.07122203690684174,3.204991660807911,1,下坡制动,0.3447256390679367,0.3447256390679367
7,399,672,180.0,28.80030091600653,278.120308287397,2640.0,2.402322707003327,-25.924666120793336,24.293663118512274,0.0,1.402322707003327,0.47535274344118567,1.3021567993602325,1.402322707003327,1,下坡制动,0.34664348528027644,0.34664348528027644
8,400,672,135.0,40.729776155842714,318.8500844432397,2657.0,inf,11.112374481460867,43.75713525844607,0.34020335352526393,0.0,1.0083754450286744,11.969130201966944,11.969130201966944,3,侧滑附着,0.08,0.08
9,400,670,225.0,40.729776155842714,359.57986059908245,2634.0,2.899335015886124,-32.04975988982777,7.690492757713032,0.0,1.8993350158861242,0.142206793529685,0.4096604936224977,1.8993350158861242,1,下坡制动,0.32962988650516495,0.32962988650516495
10,399,670,180.0,28.80030091600653,388.38016151508896,2625.0,1.4595356900244703,-2.9814301247949686,8.8805678411181,0.0,0.15317856334149005,0.16454518042194885,0.4595356900244703,0.4595356900244703,3,侧滑附着,0.3400135623315386,0.3400135623315386
11,399,668,180.0,28.80030091600653,417.18046243109546,2626.0,1.8320082566819127,1.9886170951460511,15.523956617725572,0.06014002456502955,0.0,0.29252476519457576,0.8320082566819127,0.8320082566819127,3,侧滑附着,0.33386071879913226,0.33386071879913226
12,399,668,180.0,28.80030091600653,445.98076334710197,2626.0,1.8320082566819127,1.9886170951460511,15.523956617725572,0.06014002456502955,0.0,0.29252476519457576,0.8320082566819127,0.8320082566819127,3,侧滑附着,0.33386071879913226,0.33386071879913226
13,400,666,135.0,40.729776155842714,486.7105395029447,2627.0,1.811228212038308,-6.304712527012773,14.45590405834835,0.0,0.34766923373070346,0.27148569673848927,0.811228212038308,0.811228212038308,3,侧滑附着,0.3177856108669943,0.3177856108669943
14,400,666,135.0,40.729776155842714,527.4403156587874,2627.0,1.811228212038308,-6.304712527012773,14.45590405834835,0.0,0.34766923373070346,0.27148569673848927,0.811228212038308,0.811228212038308,3,侧滑附着,0.3177856108669943,0.3177856108669943
15,402,664,135.0,40.729776155842714,568.1700918146302,2622.0,2.15166785657474,9.751837025169372,20.217790366913356,0.29767793433460593,0.0,0.38783670962641326,1.15166785657474,1.15166785657474,3,侧滑附着,0.3197805084518602,0.3197805084518602
16,402,664,135.0,40.729776155842714,608.8998679704729,2622.0,2.15166785657474,9.751837025169372,20.217790366913356,0.29767793433460593,0.0,0.38783670962641326,1.15166785657474,1.15166785657474,3,侧滑附着,0.3197805084518602,0.3197805084518602
17,403,662,180.0,28.80030091600653,637.7001688864794,2620.0,1.767017534219581,-9.848913620227732,14.596429528741979,0.0,0.511345022813054,0.2742419673699148,0.7670175342195812,0.7670175342195812,3,侧滑附着,0.33951498284413484,0.33951498284413484
18,402,662,225.0,40.729776155842714,678.4299450423222,2618.0,inf,4.911487749536041,3.5124172492927563,0.14883896716730297,0.0,0.06463945160440221,0.767251936023522,0.767251936023522,3,侧滑附着,0.08,0.08
19,402,660,135.0,40.729776155842714,719.1597211981649,2641.0,4.6126163300886205,-18.33792430723564,49.387935744575366,0.0,1.0267435885515024,1.2281495804836422,3.612616330088621,3.612616330088621,3,侧滑附着,0.322819487917311,0.322819487917311
20,403,660,180.0,28.80030091600653,747.9600221141715,2620.0,2.326467561507167,7.90708113104121,24.29366311851227,0.24056009826011834,0.0,0.4753527434411856,1.326467561507167,1.326467561507167,3,侧滑附着,0.3402903956237387,0.3402903956237387
21,404,658,135.0,40.729776155842714,788.6897982700142,2634.0,3.991995499668049,13.794437650312789,45.18943682590824,0.4252541919065797,0.0,1.0600870063121963,2.991995499668049,2.991995499668049,3,侧滑附着,0.3364425346781035,0.3364425346781035
22,404,658,90.0,28.80030091600653,817.4900991860208,2634.0,3.6316750161424487,-28.288641003131207,41.52191635819476,0.0,1.5996455980473712,0.9324226890577101,2.6316750161424487,2.6316750161424487,3,侧滑附着,0.3364425346781035,0.3364425346781035
23,406,658,135.0,40.729776155842714,858.2198753418635,2638.0,3.4343861642595273,-1.4064469873895018,39.01501574039502,0.0,0.07376927770483407,0.8532407611781092,2.4343861642595273,2.4343861642595273,3,侧滑附着,0.3328223204803764,0.3328223204803764
24,406,656,135.0,40.729776155842714,898.9496514977062,2621.0,inf,2.811201072520614,27.2753288962588,0.08505083838131586,0.0,0.5429713934769785,6.444916262597585,6.444916262597585,3,侧滑附着,0.08,0.08
25,408,656,90.0,28.80030091600653,927.7499524137128,2639.0,3.369775192644768,26.723744518553328,39.80527667438869,0.8720303561929292,0.0,0.8775742955837272,2.369775192644768,2.369775192644768,3,侧滑附着,0.35164712103519546,0.35164712103519546
26,408,656,90.0,28.80030091600653,956.5502533297193,2639.0,3.369775192644768,26.723744518553328,39.80527667438869,0.8720303561929292,0.0,0.8775742955837272,2.369775192644768,2.369775192644768,3,侧滑附着,0.35164712103519546,0.35164712103519546
27,410,656,135.0,40.729776155842714,997.2800294855621,2664.0,inf,-13.79443765031279,39.01501574039502,0.0,3.069007744094088,0.8532407611781092,10.12772555551049,10.12772555551049,3,侧滑附着,0.08,0.08
28,410,654,180.0,28.80030091600653,1026.0803304015685,2622.0,3.037374494305944,-32.71483968182881,24.293663118512274,0.0,2.037374494305944,0.47535274344118567,1.4316685635663395,2.037374494305944,1,下坡制动,0.3152853828526584,0.3152853828526584
29,410,654,180.0,28.80030091600653,1054.880631317575,2622.0,3.037374494305944,-32.71483968182881,24.293663118512274,0.0,2.037374494305944,0.47535274344118567,1.4316685635663395,2.037374494305944,1,下坡制动,0.3152853828526584,0.3152853828526584
30,410,652,135.0,40.729776155842714,1095.6104074734178,2607.0,2.6378812584952644,-4.911487749536045,29.98380530918294,0.0,0.24393976190355024,0.6076108450813807,1.6378812584952647,1.6378812584952647,3,侧滑附着,0.3522681870076747,0.3522681870076747
31,412,652,90.0,28.80030091600653,1124.4107083894244,2615.0,2.441442720925327,20.030820031076384,25.114604821166303,0.631470257932811,0.0,0.49363554126584663,1.441442720925327,1.441442720925327,3,侧滑附着,0.3251916250875105,0.3251916250875105
32,412,652,135.0,40.729776155842714,1165.140484545267,2615.0,2.812006973614732,-4.212581547545062,30.508697025845827,0.0,0.22650087170184144,0.6205387354022612,1.8120069736147324,1.8120069736147324,3,侧滑附着,0.3251916250875105,0.3251916250875105
33,414,650,135.0,40.729776155842714,1205.8702607011098,2621.0,2.9802803240860465,39.85412003248107,34.506878897249734,1.4458642524823717,0.0,0.7239618579693047,1.9802803240860465,1.9802803240860465,3,侧滑附着,0.34715173045376674,0.34715173045376674
34,414,650,90.0,28.80030091600653,1234.6705616171164,2621.0,2.8643407615159178,47.10662277459994,5.946801364267788,1.8643407615159178,0.0,0.10969678694796597,0.30005778124532967,1.8643407615159178,0,上坡牵引,0.34715173045376674,0.34715173045376674
35,416,650,135.0,40.729776155842714,1275.4003377729591,2689.0,2.4871174090822383,-4.212581547545062,28.375494547201935,0.0,0.2027887376021233,0.5688271741187395,1.4871174090822383,1.4871174090822383,3,侧滑附着,0.36321635731411767,0.36321635731411767
36,416,648,135.0,40.729776155842714,1316.1301139288018,2676.0,1.8270529867814858,-15.1134566204425,16.416278083058767,0.0,0.7581319045496951,0.31026936770113056,0.8270529867814858,0.8270529867814858,3,侧滑附着,0.35623442632779106,0.35623442632779106
37,418,648,90.0,28.80030091600653,1344.9304148448084,2659.0,2.6481209683449904,-29.808855987202545,19.1479519585378,0.0,1.6481209683449902,0.3656559564932197,0.9988611929363577,1.6481209683449902,1,下坡制动,0.3476144591209156,0.3476144591209156
38,418,648,90.0,28.80030091600653,1373.730715760815,2659.0,2.6481209683449904,-29.808855987202545,19.1479519585378,0.0,1.6481209683449902,0.3656559564932197,0.9988611929363577,1.6481209683449902,1,下坡制动,0.3476144591209156,0.3476144591209156
39,420,648,90.0,28.80030091600653,1402.5310166768215,2627.0,2.5073778741462998,-22.619652410273318,26.723744518553328,0.0,1.2474851372245237,0.5302011369151686,1.5073778741462998,1.5073778741462998,3,侧滑附着,0.33400182455199084,0.33400182455199084
40,420,648,45.0,40.729776155842714,1443.2607928326643,2627.0,2.947982316580302,3.5124172492927555,33.049221441027555,0.10631354797664493,0.0,0.6851781870066633,1.9479823165803023,1.9479823165803023,3,侧滑附着,0.33400182455199084,0.33400182455199084
41,422,648,135.0,40.729776155842714,1483.990568988507,2617.0,3.5769560303842693,-22.65492793801772,39.01501574039502,0.0,1.32752280353129,0.8532407611781092,2.5769560303842693,2.5769560303842693,3,侧滑附着,0.3144089547662135,0.3144089547662135
42,422,648,180.0,28.80030091600653,1512.7908699045136,2617.0,3.7608834604610357,-40.95949962845593,15.52395661772558,0.0,2.7608834604610357,0.2925247651945759,0.8834827073475318,2.7608834604610357,1,下坡制动,0.3144089547662135,0.3144089547662135
43,422,646,135.0,40.729776155842714,1553.5206460603563,2592.0,inf,-6.998631231543705,15.113456620442502,0.0,1.5345038720470439,0.28441358705936975,3.375908518503497,3.375908518503497,3,侧滑附着,0.08,0.08
44,423,646,180.0,28.80030091600653,1582.3209469763628,2599.0,1.9973072833756267,-17.353854202759475,15.523956617725576,0.0,0.9973072833756268,0.2925247651945758,0.8864953630005575,0.9973072833756268,1,下坡制动,0.3133404709844766,0.3133404709844766
45,424,644,135.0,40.729776155842714,1623.0507231322056,2588.0,1.7250842891558782,-3.5124172492927555,13.129200208573167,0.0,0.19081165504102052,0.2456299160967284,0.7250842891558782,0.7250842891558782,3,侧滑附着,0.32167927816110903,0.32167927816110903
46,424,644,90.0,28.80030091600653,1651.8510240482121,2588.0,1.6476362330028826,6.928978666267095,11.768169401761957,0.21049008597760363,0.0,0.21939357389593178,0.6476362330028828,0.6476362330028828,3,侧滑附着,0.32167927816110903,0.32167927816110903
47,426,644,135.0,40.729776155842714,1692.5808002040549,2601.0,2.80405402395007,-8.380105429147621,30.508697025845827,0.0,0.45101350598751727,0.6205387354022612,1.8040540239500702,1.8040540239500702,3,侧滑附着,0.32662519226416353,0.32662519226416353
48,426,642,135.0,40.729776155842714,1733.3105763598976,2584.0,inf,6.9986312315437065,4.212581547545064,0.21262709595328994,0.0,0.07756734192528264,0.9207023232282264,0.9207023232282264,3,侧滑附着,0.08,0.08
49,428,642,135.0,40.729776155842714,1774.0403525157403,2602.0,2.7254433383511296,3.5124172492927586,28.91720002360816,0.10631354797664502,0.0,0.5817550644396199,1.7254433383511294,1.7254433383511294,3,侧滑附着,0.32016200522972005,0.32016200522972005
50,428,640,135.0,40.729776155842714,1814.770128671583,2591.0,inf,3.975693351829396e-16,4.212581547545064,1.2018516769080593e-17,0.0,0.07756734192528264,0.9207023232282264,0.9207023232282264,3,侧滑附着,0.08,0.08
51,429,640,180.0,28.80030091600653,1843.5704295875896,2595.0,2.0606871952893853,-12.718120783699339,18.25553529978623,0.0,0.7257333441453688,0.3473731586685587,1.0606871952893853,1.0606871952893853,3,侧滑附着,0.3109848643470319,0.3109848643470319
52,429,638,180.0,28.80030091600653,1872.3707305035962,2592.0,1.1091835493121058,-0.9946080835930502,1.9886170951460531,0.0,0.054591774656052874,0.03656559564932197,0.10918354931210578,0.10918354931210578,3,侧滑附着,0.3180136526189776,0.3180136526189776
53,429,638,180.0,28.80030091600653,1901.1710314196027,2592.0,1.1091835493121058,-0.9946080835930502,1.9886170951460531,0.0,0.054591774656052874,0.03656559564932197,0.10918354931210578,0.10918354931210578,3,侧滑附着,0.3180136526189776,0.3180136526189776
54,429,636,180.0,28.80030091600653,1929.9713323356093,2594.0,2.4467777305703295,5.946801364267782,25.924666120793336,0.18042007369508872,0.0,0.5119183390905075,1.4467777305703293,1.4467777305703293,3,侧滑附着,0.33599219861313734,0.33599219861313734
55,430,636,135.0,40.729776155842714,1970.701108491452,2585.0,inf,-2.811201072520617,2.8112010725206176,0.0,0.6138015488188177,0.05171156128352177,0.6138015488188177,0.6138015488188177,1,下坡制动,0.08,0.08
56,430,635,90.0,28.80030091600653,1999.5014094074586,2586.0,1.314834997829191,-5.946801364267784,3.654497909066197e-16,0.0,0.3148349978291912,6.71699095062878e-18,1.9278083617554148e-17,0.3148349978291912,1,下坡制动,0.33085768322735865,0.33085768322735865
57,432,634,135.0,40.729776155842714,2040.2311855633013,2601.0,2.8343896999575935,19.595978808642915,32.04975988982776,0.6166185782645408,0.0,0.6593224063649024,1.8343896999575935,1.8343896999575935,3,侧滑附着,0.34130020780276255,0.34130020780276255
58,432,634,225.0,40.729776155842714,2080.960961719144,2601.0,2.8343896999575935,-32.04975988982776,19.595978808642922,0.0,1.8343896999575935,0.37490881930553294,1.0430843391915734,1.8343896999575935,1,下坡制动,0.34130020780276255,0.34130020780276255
59,431,632,180.0,28.80030091600653,2109.7612626351506,2584.0,1.5118468076386433,4.961104227408823,9.848913620227734,0.15035006141257398,0.0,0.18282797824660985,0.5118468076386433,0.5118468076386433,3,侧滑附着,0.33918214211051945,0.33918214211051945
60,431,632,180.0,28.80030091600653,2138.561563551157,2584.0,1.5118468076386433,4.961104227408823,9.848913620227734,0.15035006141257398,0.0,0.18282797824660985,0.5118468076386433,0.5118468076386433,3,侧滑附着,0.33918214211051945,0.33918214211051945
61,431,630,180.0,28.80030091600653,2167.3618644671637,2596.0,2.4940775130176016,9.84891362022773,26.723744518553328,0.30070012282514796,0.0,0.5302011369151686,1.4940775130176018,1.4940775130176018,3,侧滑附着,0.33697512738185115,0.33697512738185115
62,431,630,180.0,28.80030091600653,2196.1621653831703,2596.0,2.4940775130176016,9.84891362022773,26.723744518553328,0.30070012282514796,0.0,0.5302011369151686,1.4940775130176018,1.4940775130176018,3,侧滑附着,0.33697512738185115,0.33697512738185115
63,432,628,135.0,40.729776155842714,2236.891941539013,2590.0,2.178742711844146,-6.304712527012774,22.05331381416801,0.0,0.3214752850484036,0.4266203805890546,1.1787427118441463,1.1787427118441463,3,侧滑附着,0.34367892334345423,0.34367892334345423
64,432,628,135.0,40.729776155842714,2277.6217176948553,2590.0,2.178742711844146,-6.304712527012774,22.05331381416801,0.0,0.3214752850484036,0.4266203805890546,1.1787427118441463,1.1787427118441463,3,侧滑附着,0.34367892334345423,0.34367892334345423
65,434,626,135.0,40.729776155842714,2318.351493850698,2578.0,1.2488508489083012,-4.911487749536041,2.1091411147200407,0.0,0.24885084890830128,0.03878367096264132,0.10665036381784339,0.24885084890830128,1,下坡制动,0.34531615237367097,0.34531615237367097
66,434,626,225.0,40.729776155842714,2359.0812700065403,2578.0,1.2488508489083012,2.1091411147200407,4.911487749536041,0.06378812878598696,0.0,0.0904952322461631,0.24885084890830128,0.24885084890830128,3,侧滑附着,0.34531615237367097,0.34531615237367097
67,433,624,180.0,28.80030091600653,2387.881570922547,2592.0,1.5131436326720888,-3.972454567555508,9.848913620227734,0.0,0.2052574530688357,0.18282797824660985,0.513143632672089,0.513143632672089,3,侧滑附着,0.33832495541642954,0.33832495541642954
68,433,624,180.0,28.80030091600653,2416.6818718385534,2592.0,1.5131436326720888,-3.972454567555508,9.848913620227734,0.0,0.2052574530688357,0.18282797824660985,0.513143632672089,0.513143632672089,3,侧滑附着,0.33832495541642954,0.33832495541642954
69,433,622,180.0,28.80030091600653,2445.48217275456,2581.0,1.3029927863870185,-4.961104227408826,5.946801364267784,0.0,0.25249398865584893,0.10969678694796589,0.3029927863870186,0.3029927863870186,3,侧滑附着,0.3437889701421676,0.3437889701421676
70,432,622,225.0,40.729776155842714,2486.2119489104025,2583.0,1.7229321262411856,22.654927938017725,1.4064469873895065,0.7229321262411857,0.0,0.02585578064176094,0.06819962375328847,0.7229321262411857,0,上坡牵引,0.3600028979671614,0.3600028979671614
71,432,620,135.0,40.729776155842714,2526.941725066245,2592.0,2.2017082095199347,-23.25131479674205,4.911487749536043,0.0,1.2017082095199345,0.09049523224616313,0.24034164190398702,1.2017082095199345,1,下坡制动,0.3575419431592892,0.3575419431592892
72,433,620,180.0,28.80030091600653,2555.7420259822516,2580.0,2.249267047430512,-1.988617095146056,22.61965241027332,0.0,0.10410558728587616,0.4387871477918636,1.249267047430512,1.249267047430512,3,侧滑附着,0.3335254161947914,0.3335254161947914
73,433,618,180.0,28.80030091600653,2584.542326898258,2577.0,1.2620525205485242,-4.961104227408826,3.9724545675555056,0.0,0.26205252054852424,0.07313119129864393,0.2096420164388193,0.26205252054852424,1,下坡制动,0.33124904937310196,0.33124904937310196
74,433,618,180.0,28.80030091600653,2613.3426278142647,2577.0,1.2620525205485242,-4.961104227408826,3.9724545675555056,0.0,0.26205252054852424,0.07313119129864393,0.2096420164388193,0.26205252054852424,1,下坡制动,0.33124904937310196,0.33124904937310196
75,433,616,180.0,28.80030091600653,2642.1429287302713,2571.0,1.217628096540878,4.872663878754929e-16,3.972454567555506,1.473005771684134e-17,0.0,0.07313119129864394,0.2176280965408778,0.2176280965408778,3,侧滑附着,0.31909353502519466,0.31909353502519466
76,433,616,180.0,28.80030091600653,2670.943229646278,2571.0,1.217628096540878,4.872663878754929e-16,3.972454567555506,1.473005771684134e-17,0.0,0.07313119129864394,0.2176280965408778,0.2176280965408778,3,侧滑附着,0.31909353502519466,0.31909353502519466
77,434,614,135.0,40.729776155842714,2711.6730058021203,2570.0,1.5145581231170961,-6.998631231543707,9.75183702516937,0.0,0.3675415165122116,0.18099046449232617,0.5145581231170961,0.5145581231170961,3,侧滑附着,0.33400392993874795,0.33400392993874795
78,434,614,135.0,40.729776155842714,2752.402781957963,2570.0,1.5145581231170961,-6.998631231543707,9.75183702516937,0.0,0.3675415165122116,0.18099046449232617,0.5145581231170961,0.5145581231170961,3,侧滑附着,0.33400392993874795,0.33400392993874795
