edge_id,row,col,theta_deg,edge_len_m,cum_dist_m,elev_m,unit_cost,alpha_parallel_deg,alpha_cross_deg,rho_up,rho_down,rho_roll,rho_slide,rho_max,dominant_limit_code,dominant_limit_name,mu_slide,mu_brake
0,767,666,0.0,28.80030091600653,28.80030091600653,2702.0,2.3194653224851685,-11.768169401761957,25.924666120793336,0.0,0.5654851382079291,0.5119183390905075,1.3194653224851682,1.3194653224851682,3,侧滑附着,0.36841137272982544,0.36841137272982544
1,767,666,0.0,28.80030091600653,57.60060183201306,2702.0,2.3194653224851685,-11.768169401761957,25.924666120793336,0.0,0.5654851382079291,0.5119183390905075,1.3194653224851682,1.3194653224851682,3,侧滑附着,0.36841137272982544,0.36841137272982544
2,767,668,0.0,28.80030091600653,86.40090274801959,2674.0,2.740808258293921,-33.413448289183464,19.1479519585378,0.0,1.7408082582939206,0.3656559564932197,0.9162148727862741,1.7408082582939206,1,下坡制动,0.3789707018684106,0.3789707018684106
3,767,668,0.0,28.80030091600653,115.20120366402612,2674.0,2.740808258293921,-33.413448289183464,19.1479519585378,0.0,1.7408082582939206,0.3656559564932197,0.9162148727862741,1.7408082582939206,1,下坡制动,0.3789707018684106,0.3789707018684106
4,766,670,315.0,40.729776155842714,155.93097981986884,2606.0,3.8359292868681027,-45.8796439506898,27.275328896258806,0.0,2.8359292868681027,0.5429713934769788,1.417964643434052,2.8359292868681027,1,下坡制动,0.36361506503158325,0.36361506503158325
5,766,670,0.0,28.80030091600653,184.73128073587537,2606.0,4.007957244564948,-47.563472084035574,20.03082003107638,0.0,3.007957244564948,0.3839387543178807,1.002652414854983,3.007957244564948,1,下坡制动,0.36361506503158325,0.36361506503158325
6,766,672,0.0,28.80030091600653,213.5315816518819,2565.0,1.721747458920452,-13.661016318661032,13.661016318661032,0.0,0.7217474589204521,0.2559591695452538,0.7217474589204521,0.7217474589204521,1,下坡制动,0.3367563159344005,0.3367563159344005
7,766,672,315.0,40.729776155842714,254.2613578077246,2565.0,2.0207050450136217,-18.969325164143417,4.770832022195275e-15,0.0,1.020705045013622,8.768820318806535e-17,2.4726106878971166e-16,1.020705045013622,1,下坡制动,0.3367563159344005,0.3367563159344005
8,764,674,315.0,40.729776155842714,294.99113396356734,2551.0,2.641391331992332,-29.453305621317156,5.608931874667517,0.0,1.641391331992332,0.1034231225670434,0.2854593620856225,1.641391331992332,1,下坡制动,0.3440358306542324,0.3440358306542324
9,764,674,315.0,40.729776155842714,335.72091011941006,2551.0,2.641391331992332,-29.453305621317156,5.608931874667517,0.0,1.641391331992332,0.1034231225670434,0.2854593620856225,1.641391331992332,1,下坡制动,0.3440358306542324,0.3440358306542324
10,762,676,315.0,40.729776155842714,376.4506862752528,2544.0,1.2126270959532899,6.998631231543706,2.8112010725206193,0.2126270959532899,0.0,0.0517115612835218,0.14990325656024694,0.2126270959532899,0,上坡牵引,0.3275720988067295,0.3275720988067295
11,762,676,315.0,40.729776155842714,417.1804624310955,2544.0,1.2126270959532899,6.998631231543706,2.8112010725206193,0.2126270959532899,0.0,0.0517115612835218,0.14990325656024694,0.2126270959532899,0,上坡牵引,0.3275720988067295,0.3275720988067295
12,761,678,0.0,28.80030091600653,445.980763347102,2561.0,1.7517503070628702,23.461964145997715,3.972454567555506,0.75175030706287,0.0,0.07313119129864394,0.21150384327276486,0.75175030706287,0,上坡牵引,0.3283331289758151,0.3283331289758151
13,761,678,0.0,28.80030091600653,474.78106426310853,2561.0,1.7517503070628702,23.461964145997715,3.972454567555506,0.75175030706287,0.0,0.07313119129864394,0.21150384327276486,0.75175030706287,0,上坡牵引,0.3283331289758151,0.3283331289758151
14,761,680,0.0,28.80030091600653,503.58136517911504,2590.0,1.9321703807579589,28.288641003131207,7.907081131041212,0.9321703807579589,0.0,0.14626238259728788,0.3994704758190356,0.9321703807579589,0,上坡牵引,0.3476788542209294,0.3476788542209294
15,761,680,0.0,28.80030091600653,532.3816660951215,2590.0,1.9321703807579589,28.288641003131207,7.907081131041212,0.9321703807579589,0.0,0.14626238259728788,0.3994704758190356,0.9321703807579589,0,上坡牵引,0.3476788542209294,0.3476788542209294
16,761,682,0.0,28.80030091600653,561.1819670111281,2622.0,2.082520442170533,32.005114152409014,14.596429528741979,1.0825204421705328,0.0,0.2742419673699148,0.7108902623240487,1.0825204421705328,0,上坡牵引,0.3663208779601108,0.3663208779601108
17,761,682,0.0,28.80030091600653,589.9822679271347,2622.0,2.082520442170533,32.005114152409014,14.596429528741979,1.0825204421705328,0.0,0.2742419673699148,0.7108902623240487,1.0825204421705328,0,上坡牵引,0.3663208779601108,0.3663208779601108
18,761,684,0.0,28.80030091600653,618.7825688431412,2663.0,2.4433605895607107,39.80527667438869,15.523956617725572,1.4433605895607104,0.0,0.29252476519457576,0.7529685208872418,1.4433605895607104,0,上坡牵引,0.36890635796350013,0.36890635796350013
19,761,684,0.0,28.80030091600653,647.5828697591478,2663.0,2.4433605895607107,39.80527667438869,15.523956617725572,1.4433605895607104,0.0,0.29252476519457576,0.7529685208872418,1.4433605895607104,0,上坡牵引,0.36890635796350013,0.36890635796350013
20,760,686,315.0,40.729776155842714,688.3126459149905,2725.0,2.3608134141010555,38.155515715596394,13.794437650312803,1.3608134141010555,0.0,0.25855780641760906,0.6344853689777177,1.3608134141010555,0,上坡牵引,0.38696025781907667,0.38696025781907667
21,760,686,0.0,28.80030091600653,717.1129468309971,2725.0,2.2629405158656217,36.097998976797115,20.903879542425827,1.2629405158656217,0.0,0.4022215521425417,0.9870275953291436,1.2629405158656217,0,上坡牵引,0.38696025781907667,0.38696025781907667
22,760,688,0.0,28.80030091600653,745.9132477470037,2763.0,2.2050269981384223,32.71483968182881,25.114604821166303,1.1125904544530474,0.0,0.49363554126584663,1.2050269981384223,1.2050269981384223,3,侧滑附着,0.3889913685326747,0.3889913685326747
23,760,688,315.0,40.729776155842714,786.6430239028464,2763.0,2.3608134141010555,38.155515715596394,6.998631231543714,1.3608134141010555,0.0,0.12927890320880456,0.31558620810983273,1.3608134141010555,0,上坡牵引,0.3889913685326747,0.3889913685326747
24,758,690,315.0,40.729776155842714,827.3728000586891,2842.0,2.4458642524823713,39.85412003248106,17.701877165053627,1.4458642524823713,0.0,0.33612514834289164,0.8113979832777013,1.4458642524823713,0,上坡牵引,0.39336652930139093,0.39336652930139093
25,758,690,0.0,28.80030091600653,856.1731009746957,2842.0,2.413290577278196,39.21319648845686,20.03082003107638,1.4132905772781956,0.0,0.3839387543178807,0.9268188723501366,1.4132905772781956,0,上坡牵引,0.39336652930139093,0.39336652930139093
26,758,692,0.0,28.80030091600653,884.9734018907022,2886.0,2.082520442170533,32.005114152409014,17.35385420275948,1.0825204421705328,0.0,0.3290903608438977,0.8044495736606355,1.0825204421705328,0,上坡牵引,0.3884603141251153,0.3884603141251153
27,758,692,315.0,40.729776155842714,925.703178046545,2886.0,2.148186318147766,33.5406240355918,12.460340243342166,1.1481863181477656,0.0,0.23270202577584811,0.5688317486580629,1.1481863181477656,0,上坡牵引,0.3884603141251153,0.3884603141251153
28,756,694,315.0,40.729776155842714,966.4329542023877,2950.0,2.7222794772216483,44.83792681118562,10.433592938803374,1.7222794772216485,0.0,0.1939183548132068,0.4725389810598319,1.7222794772216485,0,上坡牵引,0.3896831242617565,0.3896831242617565
29,756,694,0.0,28.80030091600653,995.2332551183943,2950.0,2.4701962786825087,39.80527667438869,29.808855987202545,1.4433605895607104,0.0,0.6033323282138126,1.470196278682509,1.470196278682509,3,侧滑附着,0.3896831242617565,0.3896831242617565
30,756,696,0.0,28.80030091600653,1024.0335560344008,2994.0,2.202800491300592,34.77755089565154,21.766894469838075,1.2028004913005919,0.0,0.4205043499672027,1.0725396382156362,1.2028004913005919,0,上坡牵引,0.3722952217018497,0.3722952217018497
31,756,696,315.0,40.729776155842714,1064.7633321902435,2994.0,2.3395507045057267,37.718006606796955,11.788011834139175,1.3395507045057264,0.0,0.2197741354549677,0.5605565596370408,1.3395507045057264,0,上坡牵引,0.3722952217018497,0.3722952217018497
32,754,698,315.0,40.729776155842714,1105.4931083460863,3063.0,1.9993473509804627,29.98380530918294,3.5124172492927617,0.9993473509804627,0.0,0.0646394516044023,0.16755332005956244,0.9993473509804627,0,上坡牵引,0.366332075423876,0.366332075423876
33,754,698,315.0,40.729776155842714,1146.222884501929,3063.0,1.9993473509804627,29.98380530918294,3.5124172492927617,0.9993473509804627,0.0,0.0646394516044023,0.16755332005956244,0.9993473509804627,0,上坡牵引,0.366332075423876,0.366332075423876
34,752,700,315.0,40.729776155842714,1186.9526606577717,3104.0,1.8505083838131597,26.15294239375461,1.4064469873895113,0.8505083838131597,0.0,0.025855780641761028,0.06661505496572355,0.8505083838131597,0,上坡牵引,0.36856626787550806,0.36856626787550806
35,752,700,315.0,40.729776155842714,1227.6824368136145,3104.0,1.8505083838131597,26.15294239375461,1.4064469873895113,0.8505083838131597,0.0,0.025855780641761028,0.06661505496572355,0.8505083838131597,0,上坡牵引,0.36856626787550806,0.36856626787550806
36,750,702,315.0,40.729776155842714,1268.4122129694572,3153.0,1.6591439974551987,20.83467098651783,0.7033294435271793,0.6591439974551987,0.0,0.012927890320880339,0.03292230456828122,0.6591439974551987,0,上坡牵引,0.37287885091530315,0.37287885091530315
37,750,702,315.0,40.729776155842714,1309.1419891253,3153.0,1.6591439974551987,20.83467098651783,0.7033294435271793,0.6591439974551987,0.0,0.012927890320880339,0.03292230456828122,0.6591439974551987,0,上坡牵引,0.37287885091530315,0.37287885091530315
38,748,704,315.0,40.729776155842714,1349.8717652811426,3175.0,1.7441948358365147,23.25131479674205,13.129200208573174,0.7441948358365147,0.0,0.24562991609672852,0.6529254420883371,0.7441948358365147,0,上坡牵引,0.3572300538140556,0.3572300538140556
39,748,704,315.0,40.729776155842714,1390.6015414369854,3175.0,1.7441948358365147,23.25131479674205,13.129200208573174,0.7441948358365147,0.0,0.24562991609672852,0.6529254420883371,0.7441948358365147,0,上坡牵引,0.3572300538140556,0.3572300538140556
40,746,706,315.0,40.729776155842714,1431.331317592828,3215.0,1.7867202550271726,24.42817345663808,11.788011834139171,0.7867202550271726,0.0,0.21977413545496766,0.6207457518894379,0.7867202550271726,0,上坡牵引,0.3361964668321718,0.3361964668321718
41,746,706,315.0,40.729776155842714,1472.0610937486708,3215.0,1.7867202550271726,24.42817345663808,11.788011834139171,0.7867202550271726,0.0,0.21977413545496766,0.6207457518894379,0.7867202550271726,0,上坡牵引,0.3361964668321718,0.3361964668321718
42,744,708,315.0,40.729776155842714,1512.7908699045136,3257.0,1.9355592221944757,28.375494547201935,8.380105429147617,0.9355592221944756,0.0,0.15513468385056517,0.43213696594347595,0.9355592221944756,0,上坡牵引,0.34089278338908047,0.34089278338908047
43,744,708,315.0,40.729776155842714,1553.5206460603563,3257.0,1.9355592221944757,28.375494547201935,8.380105429147617,0.9355592221944756,0.0,0.15513468385056517,0.43213696594347595,0.9355592221944756,0,上坡牵引,0.34089278338908047,0.34089278338908047
44,742,710,315.0,40.729776155842714,1594.250422216199,3300.0,1.7867202550271726,24.42817345663808,0.7033294435271793,0.7867202550271726,0.0,0.012927890320880339,0.036407627576274026,0.7867202550271726,0,上坡牵引,0.3371829451864369,0.3371829451864369
45,742,710,315.0,40.729776155842714,1634.9801983720417,3300.0,1.7867202550271726,24.42817345663808,0.7033294435271793,0.7867202550271726,0.0,0.012927890320880339,0.036407627576274026,0.7867202550271726,0,上坡牵引,0.3371829451864369,0.3371829451864369
46,740,712,315.0,40.729776155842714,1675.7099745278845,3337.0,1.7229321262411856,22.654927938017725,6.998631231543702,0.7229321262411857,0.0,0.12927890320880436,0.35685911627844286,0.7229321262411857,0,上坡牵引,0.34400217156179713,0.34400217156179713
