版本,说明,pair_id,scenario,是否找到路径,路径相对累计代价_Jplan,路径长度_L_m,评价路径长度_m,平均上坡牵引利用率,平均下坡制动利用率,平均侧翻稳定性利用率,平均侧滑附着利用率,平均最大利用率,最大上坡牵引利用率,最大下坡制动利用率,最大侧翻稳定性利用率,最大侧滑附着利用率,最大rho_max,P_rho_roll_gt_0p7,P_rho_slide_gt_0p7,P_rho_up_gt_0p7,P_rho_down_gt_0p7,P_rho_max_gt_1p0,P_rho_max_gt_0p9,主导限制_上坡牵引_路径比例,主导限制_下坡制动_路径比例,主导限制_侧翻稳定性_路径比例,主导限制_侧滑附着_路径比例,平均侧滑附着能力_mu_s,平均制动附着能力_mu_b
V10-constant,常数附着能力,1,contour_cross_slope,True,8745.592653775102,5253.438782177368,5253.438782177368,0.2678800186054399,0.16389264898241482,0.26681120086235627,0.5067157161337842,0.6695684576489526,1.50350061412574,2.152755280467985,0.9049523224616309,1.718644354738455,2.152755280467985,0.05200002687341483,0.2482565597059112,0.16524463541092854,0.051610420283896424,0.22953922386839315,0.3011971800917313,0.23596199812186158,0.14652729957341046,0.0,0.6175107023047275,0.5,0.5
V10-constant,常数附着能力,2,upslope_downslope,True,8638.79685510659,4514.513659233866,4514.513659233867,0.4270166602646435,0.4314971984013411,0.29916864903271917,0.5681675122687064,1.0024953777476118,2.3454609580361545,2.356997972212738,0.8273849805363485,1.5713319814751592,2.356997972212738,0.015401454579638776,0.34721279278029055,0.30757571510049675,0.27284799172741625,0.4433585397799632,0.5549057413592746,0.3304512087238158,0.3137674117756935,0.0,0.3557813795004911,0.5,0.5
V10-constant,常数附着能力,3,diagonal_ne_sw,True,8898.984707172658,5002.072000438808,5002.07200043881,0.4352572016460546,0.27608558955505863,0.26358704903526925,0.5005925534003379,0.8223374705453532,2.3454609580361545,2.234237661159992,0.8273849805363483,1.571331981475159,2.3454609580361545,0.04170076544225053,0.2152493621314579,0.2660805692363175,0.16820010779370728,0.31493605490577964,0.397349725072582,0.3155147303164721,0.219031314898567,0.0,0.46545395478496127,0.5,0.5
V10-constant,常数附着能力,4,diagonal_nw_se,True,8689.682536870181,4456.065255699849,4456.065255699856,0.3620695012022469,0.5013391562599852,0.31077343533788654,0.590206795417977,1.0375343614517696,2.8492030857740844,2.4552062210549357,0.8920244321407507,1.694092292527906,2.8492030857740844,0.02742090195183586,0.418426279016701,0.24586947107024457,0.2813217692575217,0.46099132694314127,0.613239982676925,0.26258184470815876,0.3372724775763642,0.0,0.40014567771547727,0.5,0.5
V10-LC,只使用土地覆盖基础附着,1,contour_cross_slope,True,9306.036464263248,5277.29773265704,5277.297732657041,0.28307931343272985,0.21978314777721683,0.26071588641806354,0.7874137210176901,0.9640652096451598,1.9136438635796094,2.6909440992395086,0.9049523224616309,4.910412390550541,4.910412390550541,0.044047009183653806,0.37888736067213297,0.18086974192414437,0.09316356871374386,0.3679725696654463,0.44024289740372263,0.18219392811895738,0.16901860987955192,0.0,0.6487874620014901,0.382422138615603,0.382422138615603
V10-LC,只使用土地覆盖基础附着,2,upslope_downslope,True,9193.081702761068,4514.513659233866,4514.513659233867,0.4287431427185437,0.5284499325215553,0.30161798300140813,0.6981802857760087,1.1515447595227364,2.3454609580361545,2.9462474637927984,0.8273849805363485,1.9641649758618662,2.9462474637927984,0.015401454579638776,0.4486434834706024,0.30757571510049675,0.308935844577333,0.5293877758906362,0.6334609384262677,0.32407171735665613,0.3137674117756935,0.0,0.3621608708676507,0.4114189673424631,0.4114189673424631
V10-LC,只使用土地覆盖基础附着,3,diagonal_ne_sw,True,9416.862699433581,5076.543427946992,5076.543427946994,0.43501347071473867,0.3266111231776648,0.2359679271108966,0.6755745057168279,1.0121730299579526,2.3454609580361545,2.485896297575174,0.8403128708572288,3.836259680117611,3.836259680117611,0.019369553197661028,0.30561619214210484,0.2721471138532217,0.185102213935667,0.4175368523075994,0.48034535359765645,0.29816324691989154,0.2455607943771872,0.0,0.45627595870292154,0.3900109985091826,0.3900109985091826
V10-LC,只使用土地覆盖基础附着,4,diagonal_nw_se,True,9355.873042914887,4537.524808011534,4537.524808011541,0.36587583901426607,0.6500729669728266,0.2903407371291198,0.7287685873211518,1.2488330543895132,1.7648048964123066,3.0690077747841653,0.6947463173371176,6.138015488188176,6.138015488188176,0.0,0.46586077229533224,0.2795383533176334,0.3200634163892906,0.6164651930738331,0.6830167319731663,0.27690928223932815,0.3301286234183606,0.0,0.39296209434231155,0.4063280014652999,0.4063280014652999
V10-LC-TWI,土地覆盖 + TWI,1,contour_cross_slope,True,10070.152396950238,5294.16855833321,5294.168558333211,0.2793963529501819,0.27270695572875725,0.25660293749402413,0.9203444461519029,1.1095700384000353,1.50350061412574,2.6909440992395086,0.9049523224616309,4.910412390550541,4.910412390550541,0.04390664542203454,0.4574133210139608,0.17485336325180934,0.1300133606119438,0.4202666465534055,0.49455999547451623,0.18705333873877233,0.170733325162321,0.0,0.6422133360989061,0.30720172675351015,0.30720172675351015
V10-LC-TWI,土地覆盖 + TWI,2,upslope_downslope,True,9749.173447935938,4531.384484910036,4531.384484910037,0.43039587844271743,0.6667079979779802,0.3109530908107673,0.821904170477802,1.2981090097981938,2.3454609580361545,4.033053649491676,0.9507054868823711,2.2871766282487553,4.033053649491676,0.033320860299174616,0.5348630213819018,0.29108646471965727,0.3215875958644456,0.5798048888083771,0.6565254554512997,0.32177469137682646,0.31895496222244013,0.0,0.35927034640073385,0.3629289630627556,0.3629289630627556
