模型,模型代码,指标,样本数,均值,中位数,10分位数,90分位数,最小值,最大值
B0 标量坡度模型,B0,路径总代价_J,3,22430.961444848755,22296.199256119795,21724.340978445252,23191.486786743844,21581.376409026616,23415.308669399856
B0 标量坡度模型,B0,路径长度_L_m,3,37549.44719822325,38420.27880692725,27786.14214556548,46964.419607399424,25127.60798022504,49100.45480751747
B0 标量坡度模型,B0,平均单位距离代价_J除以L,3,0.6386935357359292,0.5803237235253937,0.4975733683818579,0.8031616279742148,0.47688577959597395,0.85887110408642
B0 标量坡度模型,B0,绕行率_L除以D,3,1.6978906511960492,1.4634328690492657,1.4387261050274973,2.050838310223315,1.4325494140220552,2.1976896705168274
B1 仅纵坡方向模型,B1,路径总代价_J,3,5291.327488418617,5939.121840010307,4295.279025196646,6028.25821100391,3884.318321493231,6050.542303752311
B1 仅纵坡方向模型,B1,路径长度_L_m,3,47063.46936898641,49579.32942051491,34184.84463411275,58935.75008324866,30336.223437512213,61274.8552489321
B1 仅纵坡方向模型,B1,平均单位距离代价_J除以L,3,0.11552560866143984,0.11979028174497294,0.1029534913171777,0.12639185677228873,0.09874429371022889,0.1280422505291177
B1 仅纵坡方向模型,B1,绕行率_L除以D,3,2.1193386784883628,1.8486289406145369,1.7831520573074997,2.5638091948187567,1.7667828364807403,2.7426042583698114
Ours 纵坡+横坡方向模型,Ours,路径总代价_J,3,18940.10450200809,18922.17276851237,18007.83288287767,19879.548814536804,17779.247911468992,20118.892826042913
Ours 纵坡+横坡方向模型,Ours,路径长度_L_m,3,37776.78948590254,39077.24774682027,27942.213593770626,47091.18207366736,25158.455055508217,49094.66565537913
Ours 纵坡+横坡方向模型,Ours,平均单位距离代价_J除以L,3,0.5335711714950762,0.48422480751736346,0.4246833131039147,0.6621975754773228,0.40979793950055254,0.7066907674673126
Ours 纵坡+横坡方向模型,Ours,绕行率_L除以D,3,1.7065684339205964,1.4652294039171676,1.4586821562017938,2.050990323640771,1.4570453442729503,2.197430553571672
