方向序号,dr,dc,方向角_deg,像元边长倍数,邻域数
0,0,1,0.0,1.0,4
1,1,0,90.0,1.0,4
2,0,-1,180.0,1.0,4
3,-1,0,270.0,1.0,4
0,0,1,0.0,1.0,8
1,1,1,45.0,1.4142135623730951,8
2,1,0,90.0,1.0,8
3,1,-1,135.0,1.4142135623730951,8
4,0,-1,180.0,1.0,8
5,-1,-1,225.0,1.4142135623730951,8
6,-1,0,270.0,1.0,8
7,-1,1,315.0,1.4142135623730951,8
0,0,1,0.0,1.0,16
1,1,2,26.56505117707799,2.23606797749979,16
2,1,1,45.0,1.4142135623730951,16
3,2,1,63.43494882292201,2.23606797749979,16
4,1,0,90.0,1.0,16
5,2,-1,116.56505117707799,2.23606797749979,16
6,1,-1,135.0,1.4142135623730951,16
7,1,-2,153.434948822922,2.23606797749979,16
8,0,-1,180.0,1.0,16
9,-1,-2,206.565051177078,2.23606797749979,16
10,-1,-1,225.0,1.4142135623730951,16
11,-2,-1,243.434948822922,2.23606797749979,16
12,-1,0,270.0,1.0,16
13,-2,1,296.565051177078,2.23606797749979,16
14,-1,1,315.0,1.4142135623730951,16
15,-1,2,333.434948822922,2.23606797749979,16
0,0,1,0.0,1.0,32
1,1,3,18.43494882292201,3.1622776601683795,32
2,1,2,26.56505117707799,2.23606797749979,32
3,2,3,33.690067525979785,3.605551275463989,32
4,1,1,45.0,1.4142135623730951,32
5,3,2,56.309932474020215,3.605551275463989,32
6,2,1,63.43494882292201,2.23606797749979,32
7,3,1,71.56505117707799,3.1622776601683795,32
8,1,0,90.0,1.0,32
9,3,-1,108.43494882292202,3.1622776601683795,32
10,2,-1,116.56505117707799,2.23606797749979,32
11,3,-2,123.69006752597979,3.605551275463989,32
12,1,-1,135.0,1.4142135623730951,32
13,2,-3,146.30993247402023,3.605551275463989,32
14,1,-2,153.434948822922,2.23606797749979,32
15,1,-3,161.565051177078,3.1622776601683795,32
16,0,-1,180.0,1.0,32
17,-1,-3,198.434948822922,3.1622776601683795,32
18,-1,-2,206.565051177078,2.23606797749979,32
19,-2,-3,213.69006752597977,3.605551275463989,32
20,-1,-1,225.0,1.4142135623730951,32
21,-3,-2,236.30993247402026,3.605551275463989,32
22,-2,-1,243.434948822922,2.23606797749979,32
23,-3,-1,251.565051177078,3.1622776601683795,32
24,-1,0,270.0,1.0,32
25,-3,1,288.434948822922,3.1622776601683795,32
26,-2,1,296.565051177078,2.23606797749979,32
27,-3,2,303.6900675259798,3.605551275463989,32
28,-1,1,315.0,1.4142135623730951,32
29,-2,3,326.3099324740202,3.605551275463989,32
30,-1,2,333.434948822922,2.23606797749979,32
31,-1,3,341.565051177078,3.1622776601683795,32
