pair_id,roi_id,scenario,start_row,start_col,goal_row,goal_col,direction_hint_deg,note
1,1,contour_cross_slope,264,726,455,713,93.99026861207714,沿等高线方向布设起终点，用于检验只看纵坡是否会低估横坡风险。
2,1,upslope_downslope,353,624,366,815,3.9902686120771502,沿平均坡向布设起终点，用于检验上坡/下坡代价非对称。
3,1,diagonal_ne_sw,292,652,427,787,45.0,固定对角跨越，用于观察综合绕行。
4,1,diagonal_nw_se,292,787,427,652,135.0,另一个对角跨越，用于避免单一方向偶然性。
5,1,random_far_1,352,789,342,624,nan,ROI 内随机远距离起终点，用于检查结论是否只依赖手工情景。
6,2,contour_cross_slope,646,778,793,901,49.782262985580765,沿等高线方向布设起终点，用于检验只看纵坡是否会低估横坡风险。
7,2,upslope_downslope,781,766,658,913,319.78226298558076,沿平均坡向布设起终点，用于检验上坡/下坡代价非对称。
8,2,diagonal_ne_sw,652,772,787,907,45.0,固定对角跨越，用于观察综合绕行。
9,2,diagonal_nw_se,652,907,787,772,135.0,另一个对角跨越，用于避免单一方向偶然性。
10,2,random_far_1,716,801,798,750,nan,ROI 内随机远距离起终点，用于检查结论是否只依赖手工情景。
11,3,contour_cross_slope,695,485,504,474,266.47510260162693,沿等高线方向布设起终点，用于检验只看纵坡是否会低估横坡风险。
12,3,upslope_downslope,594,575,605,384,176.47510260162693,沿平均坡向布设起终点，用于检验上坡/下坡代价非对称。
13,3,diagonal_ne_sw,532,412,667,547,45.0,固定对角跨越，用于观察综合绕行。
14,3,diagonal_nw_se,532,547,667,412,135.0,另一个对角跨越，用于避免单一方向偶然性。
15,3,random_far_1,592,491,700,584,nan,ROI 内随机远距离起终点，用于检查结论是否只依赖手工情景。
