实验,pair_id,roi_id,scenario,模型,模型代码,邻域数,起点_row,起点_col,终点_row,终点_col,路径总代价_J,路径长度_L_m,平均单位距离代价_J除以L,绕行率_L除以D,路径节点数,是否找到路径,profile_edges,path_length_profile_m,risk_weighted_distance_J,mean_unit_cost_weighted,elevation_gain_m,elevation_loss_m,net_elevation_change_m,uphill_edge_count,downhill_edge_count,flat_edge_count,uphill_length_m,uphill_length_ratio,downhill_length_m,downhill_length_ratio,flat_length_m,flat_length_ratio,mean_uphill_angle_deg,mean_downhill_angle_abs_deg,mean_abs_longitudinal_angle_deg,max_uphill_angle_deg,max_downhill_angle_abs_deg,mean_cross_angle_deg,median_cross_angle_deg,q90_cross_angle_deg,max_cross_angle_deg,cross_exposure_len_gt_8p0deg_m,cross_exposure_ratio_gt_8p0deg,cross_exposure_count_gt_8p0deg,cross_exposure_len_gt_10p0deg_m,cross_exposure_ratio_gt_10p0deg,cross_exposure_count_gt_10p0deg,cross_exposure_len_gt_12p0deg_m,cross_exposure_ratio_gt_12p0deg,cross_exposure_count_gt_12p0deg,cross_exposure_len_gt_15p0deg_m,cross_exposure_ratio_gt_15p0deg,cross_exposure_count_gt_15p0deg,uphill_exposure_len_gt_5p0deg_m,uphill_exposure_ratio_gt_5p0deg,uphill_exposure_count_gt_5p0deg,uphill_exposure_len_gt_10p0deg_m,uphill_exposure_ratio_gt_10p0deg,uphill_exposure_count_gt_10p0deg,uphill_exposure_len_gt_15p0deg_m,uphill_exposure_ratio_gt_15p0deg,uphill_exposure_count_gt_15p0deg,downhill_exposure_len_gt_5p0deg_m,downhill_exposure_ratio_gt_5p0deg,downhill_exposure_count_gt_5p0deg,downhill_exposure_len_gt_10p0deg_m,downhill_exposure_ratio_gt_10p0deg,downhill_exposure_count_gt_10p0deg,downhill_exposure_len_gt_15p0deg_m,downhill_exposure_ratio_gt_15p0deg,downhill_exposure_count_gt_15p0deg,turn_count,total_turn_angle_deg,mean_turn_angle_deg,max_turn_angle_deg
情景路径风险暴露,1,1,contour_cross_slope,B0 静态坡度模型,B0,8,264,726,455,713,25525.04610314399,6934.937908843587,3.6806452254740285,1.257791229468415,207,True,206,6934.9379088435835,25525.046103143985,3.6806452254740294,1399.0,1402.0,-3.0,103,100,3,3336.244726783593,0.4810778078530654,3476.503853592462,0.5013028089493272,122.18932846752814,0.017619383197607242,21.580188685990137,20.00601907275278,20.41701021716786,34.428318925546904,52.43466143297414,7.47666376044158,6.244790428048132,15.516311090786939,28.09626445993348,2642.9907304322696,0.3811123856007233,81,1822.6060551770831,0.26281505027649293,55,1342.8836404776403,0.19364032643539114,40,752.9013725505058,0.1085664186827671,22,3249.843824035574,0.4686190225137131,100,3024.3827671438557,0.4361081248163876,93,2671.7910313482757,0.38526531404717407,82,3320.5728737725935,0.47881796743098837,95,2956.051662737177,0.4262549573756898,84,2306.4220186108614,0.332580053192641,66,64,2880.0,14.048780487804878,45.0
情景路径风险暴露,1,1,contour_cross_slope,B1 仅纵坡方向模型,B1,8,264,726,455,713,16848.702205556037,8212.033850020549,2.0517088109072854,1.4894184040900764,253,True,252,8212.03385002054,16848.702205556037,2.0517088109072876,1297.0,1300.0,-3.0,130,116,6,4125.782326755607,0.5024068826439735,3889.5907672892217,0.47364524286264276,196.66075597571157,0.023947874493383838,15.815027479149373,16.49005409558957,15.764595640914482,28.266300252877937,30.37170197438978,24.903214780674073,26.89033004956074,42.38273251414824,57.06024264777551,7018.093064559265,0.854610830000623,218,6653.57185352385,0.8102221660359095,207,6248.32086633259,0.7608737348686114,195,5953.329732369023,0.7249519231285356,186,3883.4504441877175,0.472897520287012,122,3369.986378135934,0.41037171055103544,105,2475.1302753725645,0.30140283400882156,76,3779.33091406153,0.46021862343542064,113,3479.398429661628,0.42369509103435143,103,2366.91719651204,0.2882254554401429,71,104,7560.0,30.1195219123506,135.0
情景路径风险暴露,1,1,contour_cross_slope,Ours 纵坡+横坡非补偿模型,Ours,8,264,726,455,713,23312.491801357213,7312.587567784011,3.1879948903533983,1.3262856320240988,211,True,210,7312.587567784007,23312.491801357217,3.187994890353401,1408.0,1411.0,-3.0,103,104,3,3372.0331525031015,0.4611272167678064,3818.3650868133764,0.5221633315729971,122.18932846752814,0.016709451659196496,21.42348198267291,18.7128198480269,19.655966259683776,34.428318925546904,46.40223682112362,7.126384012023318,5.930489069944704,14.115156651024192,28.09626445993348,2673.837805715444,0.36564865458776574,80,1637.8747744412076,0.22398019295617763,49,1186.9526606577715,0.16231636881682682,35,596.9703927306367,0.08163599918592722,17,3285.6322497550823,0.44931185018967973,100,3031.370891947358,0.4145414825939622,92,2707.5794570677845,0.3702628422524702,82,3691.234407909513,0.5047781477751381,100,3228.3828188862403,0.4414829619420973,86,2346.303993064704,0.3208582422180448,62,68,3060.0,14.641148325358852,45.0
情景路径风险暴露,2,1,upslope_downslope,B0 静态坡度模型,B0,8,353,624,366,815,23773.837175385044,7246.79986848333,3.28059800282033,1.314353702383924,217,True,216,7246.799868483322,23773.837175385044,3.280598002820334,1197.0,1036.0,161.0,102,86,28,3414.809703026113,0.47121622854210216,2954.0048883700083,0.4076288764668549,877.9852770872001,0.12115489499104286,14.699826896561856,15.69030559376808,13.385555081982686,46.69996295452309,44.30153323659544,9.331260604759192,7.413684602692943,18.920144537727865,39.46473822012008,3223.090297486736,0.44476049511234733,97,2453.3180992600596,0.33853813321513915,74,1839.476880853253,0.2538329903180058,56,1047.8925065140731,0.14460072384107192,31,1863.3358313329256,0.2571253332711259,56,1470.0143193815027,0.2028501333084504,44,1302.1538643217978,0.1796867428318156,39,1951.7835084481133,0.269330400158629,57,1714.3929763165588,0.23657241919602826,50,1443.2607928326638,0.19915836217714164,41,89,4050.0,18.837209302325583,90.0
情景路径风险暴露,2,1,upslope_downslope,B1 仅纵坡方向模型,B1,8,353,624,366,815,13820.232579440639,7623.250554758588,1.8129054633805481,1.3826306470009149,228,True,227,7623.250554758574,13820.23257944065,1.8129054633805528,991.0,830.0,161.0,109,111,7,3759.5655123161932,0.4931709229954934,3626.294510310827,0.4756887477674765,237.3905321315543,0.03114032923703009,12.518089389645002,11.106672502294678,11.475513885676106,45.95207491520923,31.27863068876906,28.393344254528845,29.94607785840892,44.85107310259463,59.01710681590703,7083.88076385995,0.9292467449384909,212,6834.560756488561,0.8965415353195104,205,6549.4523233976615,0.8591416845546775,198,6247.4730646305925,0.8195287587301986,190,2774.214958070467,0.36391496490152103,81,1975.6424589277858,0.2591601108656403,57,1426.3899671564936,0.1871104664487401,40,2657.814781741272,0.34864586473315046,84,1664.6283009900462,0.2183620083103466,52,993.1864807512261,0.13028385642280388,32,67,3420.0,15.132743362831858,135.0
情景路径风险暴露,2,1,upslope_downslope,Ours 纵坡+横坡非补偿模型,Ours,8,353,624,366,815,22680.418690510036,7776.2869585092885,2.9166128785527565,1.4103868935538297,230,True,229,7776.286958509276,22680.41869051003,2.9166128785527605,1216.0,1055.0,161.0,100,97,32,3440.7154278729536,0.44246250765063627,3318.526099405425,0.42674943930330356,1017.0454312308984,0.13078805304606034,15.154582115989168,14.154480900621696,12.815360005345362,46.69996295452309,47.436799641285745,8.103733713948994,7.3230872431742124,14.551253746100135,35.27834146009364,3258.8787232062446,0.41907902069382685,97,2309.316594680027,0.2969690556690472,69,1556.4152221295221,0.20014889245135173,47,700.2421211548267,0.09004839004668933,21,1836.582304784087,0.23617728031170318,53,1280.3416882092931,0.16464691890109162,37,1239.6119120534504,0.15940922945198072,36,1968.6543341242834,0.2531612252258856,58,1685.5926754005523,0.21676060623715493,49,1414.4604919166572,0.18189407097031965,40,97,4455.0,19.539473684210527,90.0
情景路径风险暴露,3,1,diagonal_ne_sw,B0 静态坡度模型,B0,8,292,652,427,787,22592.28348418305,7221.24531459966,3.128585513984239,1.3133071448613467,207,True,206,7221.2453145996515,22592.283484183063,3.128585513984244,1299.0,1229.0,70.0,106,91,9,3673.164609568173,0.5086608264286359,3253.0895710679124,0.45048872172933024,294.99113396356734,0.040850451842034084,17.03200914301669,17.979078885337504,16.782644910869625,47.19240858759826,39.50489328117281,6.860772795185844,5.924882170321714,12.863631055437494,32.832079855886306,2316.30471948353,0.3207625026670274,68,1412.4137175494895,0.19559143278153462,42,920.7618276102107,0.12750734637814448,27,393.321511951423,0.0544672691227121,12,2977.86383884968,0.4123753880551798,86,2172.3032149034966,0.30082113545036515,63,1697.5221506403884,0.23507332553962676,49,3068.358290332036,0.42490708411865485,85,2819.0382829606456,0.39038118221260487,78,2181.3381140741662,0.30207229072581376,60,92,4185.0,20.414634146341463,90.0
情景路径风险暴露,3,1,diagonal_ne_sw,B1 仅纵坡方向模型,B1,8,292,652,427,787,14838.319014021376,8068.383516403689,1.8390696208049417,1.4673737365148536,236,True,235,8068.383516403679,14838.319014021372,1.8390696208049437,1147.0,1077.0,70.0,121,110,4,4248.322826186307,0.5265395252406039,3704.859486553346,0.4591823726550759,115.20120366402612,0.014278102104320243,12.824473156251413,14.00720401030945,13.195075247280945,35.462971435522846,33.746195288740175,23.769850241887706,26.701622912148757,39.739949022169014,52.459135701787375,6655.969798854188,0.8249446478742689,193,6284.46046301527,0.7788995714244931,183,5912.951127176351,0.7328544949747172,173,5512.641490421426,0.6832398929988613,162,3615.5640077361604,0.4481150406875708,104,2402.7056222315487,0.2977926888758638,71,1522.6735707771816,0.1887210204722498,45,3369.138576433936,0.41757293385771804,100,2668.8964552791103,0.3307845307369223,79,1539.544396453352,0.19081200011419056,46,93,6300.0,26.923076923076923,135.0
情景路径风险暴露,3,1,diagonal_ne_sw,Ours 纵坡+横坡非补偿模型,Ours,8,292,652,427,787,20834.445069006273,7129.903061415305,2.922121786165011,1.296694991623426,203,True,202,7129.903061415298,20834.445069006277,2.9221217861650146,1290.0,1220.0,70.0,106,88,8,3697.0235600478454,0.5185236781205241,3178.6181435597287,0.44581505753722933,254.2613578077246,0.03566126434224665,16.911703904182275,18.423925143431692,16.998776696600732,47.19240858759826,39.50489328117281,6.683627684373362,5.763848616177208,12.222671574484856,32.832079855886306,2148.4442644238247,0.30132867809248376,63,1314.0833395616337,0.184305919483397,39,822.4314496223549,0.11534959767869563,24,323.7914348795738,0.04541316089300387,10,2972.922488413347,0.4169653448027688,85,2155.432389227326,0.30230879307347397,62,1697.5221506403884,0.23808488502835654,49,2953.157086668011,0.4141931610051658,81,2663.1073031407773,0.37351241387174566,73,2205.1970645538386,0.30928850582662804,60,87,3915.0,19.47761194029851,45.0
情景路径风险暴露,4,1,diagonal_nw_se,B0 静态坡度模型,B0,8,292,787,427,652,20282.33906693179,9787.717843156552,2.072223514403099,1.780064132334081,287,True,286,9787.71784315657,20282.339066931796,2.072223514403096,581.0,1075.0,-494.0,86,144,56,3001.7227893293534,0.3066826033842112,4970.377123453638,0.5078177776578279,1815.6179303735807,0.1854996189579611,6.4940118252614605,8.758799061078102,6.539823607848619,28.816619001604742,41.62103066825739,8.644565002993003,7.413684602692943,15.545500354480186,39.34618789196189,4514.513659233866,0.4612427259936133,129,2932.192712257504,0.29957879448963176,84,1941.900807575445,0.19840179689417528,55,1100.5517579097518,0.112442121395974,32,1095.6104074734176,0.11193726924192574,31,580.0995670544664,0.05926811299122845,16,412.23911199476134,0.04211800121342821,11,2519.9536002627433,0.25746079327620364,73,1505.8027451010112,0.15384615384615388,44,966.4329542023875,0.09873935576086343,29,138,6390.0,22.42105263157895,90.0
