edge_id,from_row,from_col,to_row,to_col,edge_length_m,cum_distance_m,direction_deg,dz_m,elevation_start_m,elevation_end_m,alpha_parallel_deg,alpha_cross_deg,unit_cost,edge_cost
1,353,624,354,625,40.729776155842714,40.729776155842714,45.0,69.0,3018.0,3087.0,45.376894540917874,35.27834146009364,14.378015464027756,585.6133514150955
2,354,625,354,626,28.80030091600653,69.53007707184925,0.0,36.0,3087.0,3123.0,43.90888325350783,7.824816706903542,10.06719376858372,289.938209914957
3,354,626,354,627,28.80030091600653,98.33037798785578,0.0,12.0,3123.0,3135.0,32.04946989645048,8.321223221728001,6.267009802862659,180.49176816600735
4,354,627,355,628,40.729776155842714,139.0601541436985,45.0,15.0,3135.0,3150.0,13.29730502009331,23.654312755618434,4.725459929089366,192.46692514521428
5,355,628,355,629,28.80030091600653,167.86045505970503,0.0,12.0,3150.0,3162.0,26.718211740341495,17.795584523215055,5.591130130911281,161.02623023079587
6,355,629,355,630,28.80030091600653,196.66075597571157,0.0,16.0,3162.0,3178.0,25.1091646196528,13.146065354060022,4.621446375308077,133.09904627606028
7,355,630,355,631,28.80030091600653,225.4610568917181,0.0,10.0,3178.0,3188.0,18.030916260137115,10.808541510994846,3.1425839763368963,90.50736417232297
8,355,631,355,632,28.80030091600653,254.26135780772464,0.0,2.0,3188.0,3190.0,22.934582836234977,15.458060680149877,5.014448073329859,144.41761343958913
9,355,632,355,633,28.80030091600653,283.06165872373117,0.0,37.0,3190.0,3227.0,40.83223417737179,13.038465312402447,9.532925850905919,274.55113311606806
10,355,633,355,634,28.80030091600653,311.8619596397377,0.0,26.0,3227.0,3253.0,42.15277322472689,13.038465312402447,9.948708255392775,286.5257914808703
11,355,634,355,635,28.80030091600653,340.6622605557442,0.0,17.0,3253.0,3270.0,33.27546517631038,18.25090308064864,7.458551652970673,214.8085320031333
12,355,635,355,636,28.80030091600653,369.4625614717507,0.0,16.0,3270.0,3286.0,27.461730404184422,14.082732380959673,5.305240998139335,152.7925371783477
13,355,636,355,637,28.80030091600653,398.2628623877572,0.0,11.0,3286.0,3297.0,28.19941603268814,11.764865671429604,5.195750597205382,149.63918068403567
14,355,637,356,638,40.729776155842714,438.9926385435999,45.0,59.0,3297.0,3356.0,44.70087201882113,13.450734227290834,10.483748979499588,427.0007492090627
15,356,638,357,639,40.729776155842714,479.72241469944265,45.0,59.0,3356.0,3415.0,46.69996295452309,16.00290110052626,11.462163586870833,466.85135715490026
16,357,639,358,640,40.729776155842714,520.4521908552854,45.0,13.0,3415.0,3428.0,31.712039460428954,11.1634657408167,6.422525937771291,261.5880438005185
17,358,640,359,641,40.729776155842714,561.1819670111281,45.0,17.0,3428.0,3445.0,18.99224072096341,16.56856181645653,5.190231610923215,211.39697170988148
18,359,641,359,642,28.80030091600653,589.9822679271347,0.0,20.0,3445.0,3465.0,30.501740342480012,10.663154385157492,5.860987991541609,168.7982178214991
19,359,642,359,643,28.80030091600653,618.7825688431412,0.0,17.0,3465.0,3482.0,31.261847834515677,1.986227283777753,5.388020057699634,155.17659900322835
20,359,643,359,644,28.80030091600653,647.5828697591478,0.0,16.0,3482.0,3498.0,29.43160297150434,4.44028392055905,5.025750292890963,144.7431207639677
21,359,644,359,645,28.80030091600653,676.3831706751544,0.0,16.0,3498.0,3514.0,26.258157050901925,14.892223691771964,5.245457062327741,151.07074183703057
22,359,645,360,646,40.729776155842714,717.1129468309971,45.0,16.0,3514.0,3530.0,15.695126148286223,6.610757798090454,3.286533370678555,133.8597685164448
23,360,646,361,647,40.729776155842714,757.8427229868398,45.0,-11.0,3530.0,3519.0,2.1088240299550605,9.746239955304246,1.4524266182629562,59.15701104463782
24,361,647,362,647,28.80030091600653,786.6430239028464,90.0,3.0,3519.0,3522.0,-5.4507166169113,8.877997375634473,1.3627644226810864,39.24802545084321
25,362,647,363,647,28.80030091600653,815.443324818853,90.0,-10.0,3522.0,3512.0,-11.686097877079703,7.405008923818279,1.5695151792654785,45.20250945508571
26,363,647,364,647,28.80030091600653,844.2436257348595,90.0,-7.0,3512.0,3505.0,-15.05211670327667,8.839612505554083,1.8718301609260493,53.90927189832715
