edge_id,from_row,from_col,to_row,to_col,edge_length_m,cum_distance_m,direction_deg,dz_m,elevation_start_m,elevation_end_m,alpha_parallel_deg,alpha_cross_deg,unit_cost,edge_cost
1,292,787,293,788,40.729776155842714,40.729776155842714,45.0,-1.0,3275.0,3274.0,0.699535250121643,40.98788947407915,1.0536060264752058,42.91313761478202
2,293,788,294,789,40.729776155842714,81.45955231168543,45.0,3.0,3274.0,3277.0,3.1589673684627733,37.48089082961242,1.0580017889826214,43.09217603774331
3,294,789,295,790,40.729776155842714,122.18932846752814,45.0,3.0,3277.0,3280.0,4.202539109466606,36.82460617908724,1.113242071652169,45.34210038565946
4,295,790,296,791,40.729776155842714,162.91910462337086,45.0,8.0,3280.0,3288.0,9.729485737442934,35.89107362016199,1.4538687068777583,59.2157469911156
5,296,791,297,792,40.729776155842714,203.64888077921358,45.0,10.0,3288.0,3298.0,6.933393615365833,30.329910645502174,1.3494181602404205,54.96149960722142
6,297,792,298,792,28.80030091600653,232.44918169522012,90.0,1.0,3298.0,3299.0,7.534857901833777,22.48963990916978,1.8916305580386017,54.47952929342509
7,298,792,299,792,28.80030091600653,261.24948261122665,90.0,-6.0,3299.0,3293.0,-6.434092679225021,30.068596403868398,1.0187802682276796,29.341178292247022
8,299,792,300,792,28.80030091600653,290.04978352723316,90.0,-2.0,3293.0,3291.0,-6.434092679225021,36.90039045266472,1.0187802682276796,29.341178292247022
9,300,792,301,792,28.80030091600653,318.85008444323967,90.0,-3.0,3291.0,3288.0,-0.49432482992666227,42.29005197734861,1.0350675450917612,29.810256767034883
10,301,792,302,792,28.80030091600653,347.6503853592462,90.0,7.0,3288.0,3295.0,15.348099543054415,39.4851611171014,2.6220864808537807,75.51687967638148
11,302,792,303,793,40.729776155842714,388.3801615150889,45.0,4.0,3295.0,3299.0,3.7114819313647356,44.371749895022944,1.5236784939940073,62.05908399384746
12,303,793,304,794,40.729776155842714,429.10993767093163,45.0,10.0,3299.0,3309.0,11.0560439259931,46.83339890197644,1.6164386891847466,65.83718598013854
13,304,794,305,795,40.729776155842714,469.83971382677436,45.0,1.0,3309.0,3310.0,-1.3766028968128343,42.93131777563812,1.1590239871753543,47.206787556904494
14,305,795,306,796,40.729776155842714,510.5694899826171,45.0,-9.0,3310.0,3301.0,-6.281519048844995,37.59003881130887,1.0501776780306011,42.77350175004904
15,306,796,307,797,40.729776155842714,551.2992661384598,45.0,3.0,3301.0,3304.0,5.158999568026277,33.27831939353875,1.3830575513706618,56.33162447797499
16,307,797,307,798,28.80030091600653,580.0995670544663,0.0,-8.0,3304.0,3296.0,-15.060193073233776,30.91818723466954,1.4507669390930684,41.78252440487409
17,307,798,307,799,28.80030091600653,608.8998679704729,0.0,-7.0,3296.0,3289.0,-15.975141865750729,30.91818723466954,1.5437981630292201,44.461851648819646
18,307,799,307,800,28.80030091600653,637.7001688864794,0.0,-11.0,3289.0,3278.0,-17.804694751272855,31.999533463019397,1.7296153994375931,49.81344397276152
19,307,800,307,801,28.80030091600653,666.500469802486,0.0,-8.0,3278.0,3270.0,-19.143177665431306,31.63349345347896,1.8925217042010796,54.50519457106459
20,307,801,308,802,40.729776155842714,707.2302459583287,45.0,7.0,3270.0,3277.0,9.06728141831865,38.3311722106439,1.3654026325288298,55.612543585497605
21,308,802,309,803,40.729776155842714,747.9600221141715,45.0,15.0,3277.0,3292.0,12.090369019380574,43.9126396865768,1.6902936963044093,68.84528388811057
22,309,803,310,804,40.729776155842714,788.6897982700142,45.0,-5.0,3292.0,3287.0,3.366675595647439,41.67247627075231,1.5329815194003351,62.4379941362193
