edge_id,from_row,from_col,to_row,to_col,edge_length_m,cum_distance_m,direction_deg,dz_m,elevation_start_m,elevation_end_m,alpha_parallel_deg,alpha_cross_deg,unit_cost,edge_cost
1,646,778,647,778,28.80030091600653,28.80030091600653,90.0,15.0,3847.0,3862.0,29.054349955806135,9.364740730672915,5.1426135275295835,148.10881708757785
2,647,778,648,778,28.80030091600653,57.60060183201306,90.0,17.0,3862.0,3879.0,30.529732054107576,14.89222369177196,6.298487218595843,181.39832721118128
3,648,778,649,779,40.729776155842714,98.33037798785577,45.0,29.0,3879.0,3908.0,33.239610702743455,8.028274776091074,6.231941696015569,253.8255902949769
4,649,779,650,780,40.729776155842714,139.06015414369847,45.0,21.0,3908.0,3929.0,30.240644069755085,5.2586470372789185,5.194951454477764,211.58920988134886
5,650,780,651,781,40.729776155842714,179.7899302995412,45.0,26.0,3929.0,3955.0,30.751532755572455,4.5620346485405525,5.303450836059742,216.00836540623018
6,651,781,652,782,40.729776155842714,220.51970645538393,45.0,20.0,3955.0,3975.0,27.65053734328491,2.8074085965316127,4.538729184428405,184.8614237137595
7,652,782,653,783,40.729776155842714,261.24948261122665,45.0,24.0,3975.0,3999.0,27.65053734328491,2.8074085965316127,4.538729184428405,184.8614237137595
8,653,783,654,784,40.729776155842714,301.9792587670694,45.0,20.0,3999.0,4019.0,25.50954252698559,8.011931115498452,4.410288854908181,179.6300778430181
9,654,784,655,785,40.729776155842714,342.7090349229121,45.0,9.0,4019.0,4028.0,10.53923313943173,11.450193157800015,2.3927241400951886,97.45511862875827
10,655,785,656,785,28.80030091600653,371.5093358389186,90.0,-6.0,4028.0,4022.0,-10.762704097504535,6.9106840938916205,1.4635420293000545,42.15045084706442
11,656,785,657,784,40.729776155842714,412.23911199476134,135.0,-10.0,4022.0,4012.0,-15.095245471579542,5.601455003502889,1.6289764088996441,66.34784449763102
12,657,784,658,783,40.729776155842714,452.9688881506041,135.0,-14.0,4012.0,3998.0,-17.699607520910778,2.10787334640997,1.7471260138867044,71.16005146165521
13,658,783,659,783,28.80030091600653,481.7691890666106,90.0,-8.0,3998.0,3990.0,-14.121038700712456,7.327812201127042,1.795412585382696,51.70842272740692
14,659,783,660,782,40.729776155842714,522.4989652224533,135.0,-9.0,3990.0,3981.0,-10.084058631643396,5.920019963096433,1.3740892713634467,55.9663484407782
15,660,782,661,782,28.80030091600653,551.2992661384599,90.0,-1.0,3981.0,3980.0,-5.453952795838304,5.94504144683796,1.1633771851915058,33.50561301233203
16,661,782,662,781,40.729776155842714,592.0290422943026,135.0,0.0,3980.0,3980.0,-3.5040209852699795,5.601455003502891,1.1626289523726887,47.35361698244153
17,662,781,663,780,40.729776155842714,632.7588184501453,135.0,-10.0,3980.0,3970.0,-10.049575088662781,3.161809160906686,1.2206318550370079,49.716062224348384
18,663,780,664,779,40.729776155842714,673.488594605988,135.0,-9.0,3970.0,3961.0,-11.087271539730207,3.511891310032839,1.2542576468050013,51.085633196121734
19,664,779,665,778,40.729776155842714,714.2183707618308,135.0,-6.0,3961.0,3955.0,-10.084058631643394,3.1608613311325513,1.1771034153535251,47.94315861962703
20,665,778,666,777,40.729776155842714,754.9481469176735,135.0,-11.0,3955.0,3944.0,-9.393321532841435,2.460171093620329,1.1387176870490197,46.379716498205525
21,666,777,667,777,28.80030091600653,783.7484478336801,90.0,0.0,3944.0,3944.0,-2.4850236099705114,6.928978666267095,1.2133810904781535,34.94574053156297
22,667,777,668,776,40.729776155842714,824.4782239895228,135.0,8.0,3944.0,3952.0,6.632127137231064,4.5579567997666945,1.3446392262600142,54.76685469593592
23,668,776,669,775,40.729776155842714,865.2080001453655,135.0,-1.0,3952.0,3951.0,2.0714525752509245,6.281519048844994,1.4410451116201237,58.69344482675902
24,669,775,670,774,40.729776155842714,905.9377763012083,135.0,0.0,3951.0,3951.0,-1.0482573126873833,7.331662387352706,1.2931753560898271,52.67074278379085
25,670,774,671,773,40.729776155842714,946.667552457051,135.0,2.0,3951.0,3953.0,2.810779182006399,4.211952499414398,1.1183229733820081,45.54904437578564
26,671,773,672,772,40.729776155842714,987.3973286128937,135.0,-1.0,3953.0,3952.0,0.351347063665269,3.86249939841891,1.0767364321547754,43.855233860504725
27,672,772,673,771,40.729776155842714,1028.1271047687364,135.0,-1.0,3952.0,3951.0,-3.158967368462772,4.5620346485405525,1.0930412337967996,44.51932478164979
28,673,771,674,770,40.729776155842714,1068.8568809245792,135.0,-6.0,3951.0,3945.0,-6.989384583927345,4.211952499414399,1.1177834777394935,45.527070839028966
29,674,770,674,769,28.80030091600653,1097.6571818405857,180.0,-5.0,3945.0,3940.0,-9.846089200138984,2.4835313255742775,1.1457850324268883,32.99895371895069
30,674,769,675,768,40.729776155842714,1138.3869579964285,135.0,-4.0,3940.0,3936.0,-5.595653250834122,4.202539109466605,1.1386312110125094,46.37619434859562
31,675,768,676,767,40.729776155842714,1179.1167341522712,135.0,-2.0,3936.0,3934.0,-2.460171093620329,1.0548882154583443,1.0054950342988205,40.95358767280235
32,676,767,677,766,40.729776155842714,1219.846510308114,135.0,-4.0,3934.0,3930.0,-4.899816936216533,0.7033294435271846,1.0182846575368238,41.47450616440379
33,677,766,678,765,40.729776155842714,1260.5762864639566,135.0,-3.0,3930.0,3927.0,-3.142022885161761,1.054888215458344,1.0259769107602499,41.787809916327994
34,678,765,679,764,40.729776155842714,1301.3060626197994,135.0,4.0,3927.0,3931.0,2.45943211834113,2.45943211834113,1.0636229691620724,43.321125448184006
35,679,764,680,763,40.729776155842714,1342.035838775642,135.0,1.0,3931.0,3932.0,1.052985130951626,5.2555242404182305,1.1636777532919944,47.396334409116896
36,680,763,681,762,40.729776155842714,1382.7656149314848,135.0,-1.0,3932.0,3931.0,1.052985130951626,6.65167187927824,1.2245940313256445,49.87744077767454
37,681,762,682,761,40.729776155842714,1423.4953910873276,135.0,5.0,3931.0,3936.0,4.560674561980139,3.8555797572011388,1.1900548552986654,48.47066786948843
38,682,761,683,761,28.80030091600653,1452.2956920033341,90.0,0.0,3936.0,3936.0,0.49640651482445797,6.434092679225019,1.2133853616824815,34.94586354353289
39,683,761,684,761,28.80030091600653,1481.0959929193407,90.0,-2.0,3936.0,3934.0,-2.9805358313507804,8.877997375634473,1.3544956255812786,39.00988160615534
40,684,761,685,762,40.729776155842714,1521.8257690751834,45.0,-4.0,3934.0,3930.0,-7.331662387352707,5.2586470372789185,1.1779448854594654,47.977431508683814
41,685,762,686,762,28.80030091600653,1550.62606999119,90.0,0.0,3930.0,3930.0,1.4916125893695513,5.939767849298359,1.1849914899893697,34.12811149460079
42,686,762,687,762,28.80030091600653,1579.4263709071965,90.0,2.0,3930.0,3932.0,3.4748606612774386,4.959627965911645,1.1771377663637126,33.90192189087071
43,687,762,688,762,28.80030091600653,1608.226671823203,90.0,3.0,3932.0,3935.0,2.9778561555009375,7.897857492247759,1.351038547466504,38.91031671615969
44,688,762,689,763,40.729776155842714,1648.9564479790458,45.0,-6.0,3935.0,3929.0,-9.382526385177467,5.250846915116822,1.2764566258914494,51.989792645201
45,689,763,690,763,28.80030091600653,1677.7567488950524,90.0,-4.0,3929.0,3925.0,-6.928978666267095,14.082732380959673,1.9455313243631047,56.031887583174125
46,690,763,691,763,28.80030091600653,1706.557049811059,90.0,-3.0,3925.0,3922.0,-12.141416434513287,19.9867533065164,3.153652451578152,90.82613958995249
47,691,763,692,764,40.729776155842714,1747.2868259669017,45.0,-26.0,3922.0,3896.0,-25.851751176448445,3.160861331132553,2.9907522685205308,121.81267043442001
48,692,764,693,764,28.80030091600653,1776.0871268829083,90.0,-7.0,3896.0,3889.0,-12.661892464505208,16.404484138599415,2.553941011456322,73.55426965167216
49,693,764,694,765,40.729776155842714,1816.816903038751,45.0,-10.0,3889.0,3879.0,-22.875381820313773,4.2119524994144,2.7257282361893207,111.01830092165102
50,694,765,695,766,40.729776155842714,1857.5466791945937,45.0,-32.0,3879.0,3847.0,-33.405532873816824,7.672540344169703,4.933661351712484,200.94692248398187
51,695,766,696,767,40.729776155842714,1898.2764553504364,45.0,-26.0,3847.0,3821.0,-34.68976664573889,6.62239700566199,5.197477687705358,211.6921027952262
52,696,767,697,768,40.729776155842714,1939.0062315062792,45.0,-22.0,3821.0,3799.0,-29.634587463882106,3.8613444110283295,3.8061714188341305,155.0245098998804
53,697,768,698,768,28.80030091600653,1967.8065324222857,90.0,-14.0,3799.0,3785.0,-24.27215926553333,15.519823308317143,3.7371754366946917,107.63177715271523
