edge_id,from_row,from_col,to_row,to_col,edge_length_m,cum_distance_m,direction_deg,dz_m,elevation_start_m,elevation_end_m,alpha_parallel_deg,alpha_cross_deg,unit_cost,edge_cost
1,716,801,716,802,28.80030091600653,28.80030091600653,0.0,-21.0,3063.0,3042.0,-39.29764029659539,7.405008923818279,6.564407767589884,189.05691904195933
2,716,802,715,803,40.729776155842714,69.53007707184925,315.0,-22.0,3042.0,3020.0,-20.900798457498567,14.60738820783273,3.7968425496248503,154.64454714519928
3,715,803,714,804,40.729776155842714,110.25985322769196,315.0,-14.0,3020.0,3006.0,-12.432646822805935,10.420222836244893,1.778551568690721,72.44000727439598
4,714,804,713,805,40.729776155842714,150.9896293835347,315.0,-10.0,3006.0,2996.0,-23.83286473673478,17.557634090679947,4.399812406750778,179.20337445465879
5,713,805,713,806,28.80030091600653,179.78993029954123,0.0,-26.0,2996.0,2970.0,-37.37025818880329,10.79934431240872,6.193492314891025,178.3744423898354
6,713,806,714,807,40.729776155842714,220.51970645538393,45.0,-44.0,2970.0,2926.0,-35.21651024388174,11.777839452310687,6.090194749166134,248.0522688790253
7,714,807,715,808,40.729776155842714,261.24948261122665,45.0,-11.0,2926.0,2915.0,-24.055490904521385,2.10914111472004,3.1641957254509525,128.87698361089164
8,715,808,716,809,40.729776155842714,301.9792587670694,45.0,6.0,2915.0,2921.0,-4.808391479640205,2.1091411147200407,1.1940398298840007,48.63297499233586
9,716,809,717,809,28.80030091600653,330.7795596830759,90.0,-1.0,2921.0,2920.0,-4.372833108071918,3.9617933749300724,1.27633283182355,36.758769625496996
10,717,809,718,808,40.729776155842714,371.5093358389186,135.0,-14.0,2920.0,2906.0,-17.006114008613075,6.296343488346345,1.8819895278553487,76.65301219718847
11,718,808,719,807,40.729776155842714,412.23911199476134,135.0,-29.0,2906.0,2877.0,-14.298947898030491,6.994518651907575,1.7659834225372557,71.92810949487142
12,719,807,720,807,28.80030091600653,441.03941291076785,90.0,8.0,2877.0,2885.0,2.470180785560521,7.897857492247759,1.4008362029385535,40.344504178666334
13,720,807,721,807,28.80030091600653,469.83971382677436,90.0,-1.0,2885.0,2884.0,2.967185291337022,9.332461073983563,1.544723973538682,44.48851527008335
14,721,807,722,807,28.80030091600653,498.64001474278086,90.0,0.0,2884.0,2884.0,2.967185291337022,6.8563644336461955,1.468334637480663,42.288479404838455
15,722,807,723,807,28.80030091600653,527.4403156587874,90.0,7.0,2884.0,2891.0,9.823549724983218,6.8563644336461955,1.8277804069668078,52.64062572902495
16,723,807,724,806,40.729776155842714,568.1700918146302,135.0,-1.0,2891.0,2890.0,-2.8044659373337617,14.40712582325724,1.9715824884685675,80.30211342810411
17,724,806,725,805,40.729776155842714,608.8998679704729,135.0,-4.0,2890.0,2886.0,-3.5076894310285134,7.662478014502964,1.3146700176420576,53.5462155373588
18,725,805,726,805,28.80030091600653,637.7001688864794,90.0,-5.0,2886.0,2881.0,-4.466779397482165,2.4850236099705114,1.0285411634225379,29.62229501106854
19,726,805,727,805,28.80030091600653,666.500469802486,90.0,0.0,2881.0,2881.0,-2.480552113704413,6.896520341977418,1.2795107743821603,36.850295327478754
20,727,805,728,805,28.80030091600653,695.3007707184926,90.0,0.0,2881.0,2881.0,-0.4973040417965257,8.379205961713826,1.3383452652199874,38.544746367848205
21,728,805,729,805,28.80030091600653,724.1010716344991,90.0,-1.0,2881.0,2880.0,-2.483531325574279,6.437890015267439,1.1852782040525371,34.13636894589686
22,729,805,730,805,28.80030091600653,752.9013725505057,90.0,-3.0,2880.0,2877.0,-3.476942346175238,7.904773253692598,1.2819449567517456,36.92040051220725
23,730,805,731,804,40.729776155842714,793.6311487063484,135.0,-6.0,2877.0,2871.0,-7.342408978080199,4.5620346485405525,1.12221320599746,45.70749267940716
24,731,804,732,804,28.80030091600653,822.431449622355,90.0,-3.0,2871.0,2868.0,-4.947849113093632,5.421760851910392,1.2365365898691374,35.61262588188371
25,732,804,733,803,40.729776155842714,863.1612257781977,135.0,-4.0,2868.0,2864.0,-6.296343488346344,2.804465937333762,1.095300509970699,44.61134459448694
26,733,803,734,802,40.729776155842714,903.8910019340404,135.0,-5.0,2864.0,2859.0,-3.5118913100328406,1.4056005362603088,1.017561892155869,41.445068092224304
27,734,802,735,801,40.729776155842714,944.6207780898832,135.0,0.0,2859.0,2859.0,-0.3510299789002884,4.557956799766695,1.1157793950227008,45.44544499857621
