方向序号,dr,dc,方向角_deg,像元边长倍数,邻域数
0,0,1,0.0,1.0,4
1,1,0,90.0,1.0,4
2,0,-1,180.0,1.0,4
3,-1,0,270.0,1.0,4
0,0,1,0.0,1.0,8
1,1,1,45.0,1.4142135623730951,8
2,1,0,90.0,1.0,8
3,1,-1,135.0,1.4142135623730951,8
4,0,-1,180.0,1.0,8
5,-1,-1,225.0,1.4142135623730951,8
6,-1,0,270.0,1.0,8
7,-1,1,315.0,1.4142135623730951,8
0,0,1,0.0,1.0,16
1,1,2,26.56505117707799,2.23606797749979,16
2,1,1,45.0,1.4142135623730951,16
3,2,1,63.43494882292201,2.23606797749979,16
4,1,0,90.0,1.0,16
5,2,-1,116.56505117707799,2.23606797749979,16
6,1,-1,135.0,1.4142135623730951,16
7,1,-2,153.434948822922,2.23606797749979,16
8,0,-1,180.0,1.0,16
9,-1,-2,206.565051177078,2.23606797749979,16
10,-1,-1,225.0,1.4142135623730951,16
11,-2,-1,243.434948822922,2.23606797749979,16
12,-1,0,270.0,1.0,16
13,-2,1,296.565051177078,2.23606797749979,16
14,-1,1,315.0,1.4142135623730951,16
15,-1,2,333.434948822922,2.23606797749979,16
