实验,pair_id,roi_id,scenario,模型,模型代码,邻域数,起点_row,起点_col,终点_row,终点_col,路径总代价_J,路径长度_L_m,平均单位距离代价_J除以L,绕行率_L除以D,路径节点数,是否找到路径,alpha_r,profile_edges,path_length_profile_m,risk_weighted_distance_J,mean_unit_cost_weighted,elevation_gain_m,elevation_loss_m,net_elevation_change_m,uphill_edge_count,downhill_edge_count,flat_edge_count,uphill_length_m,uphill_length_ratio,downhill_length_m,downhill_length_ratio,flat_length_m,flat_length_ratio,mean_uphill_angle_deg,mean_downhill_angle_abs_deg,mean_abs_longitudinal_angle_deg,max_uphill_angle_deg,max_downhill_angle_abs_deg,mean_cross_angle_deg,median_cross_angle_deg,q90_cross_angle_deg,max_cross_angle_deg,cross_exposure_len_gt_8p0deg_m,cross_exposure_ratio_gt_8p0deg,cross_exposure_count_gt_8p0deg,cross_exposure_len_gt_10p0deg_m,cross_exposure_ratio_gt_10p0deg,cross_exposure_count_gt_10p0deg,cross_exposure_len_gt_12p0deg_m,cross_exposure_ratio_gt_12p0deg,cross_exposure_count_gt_12p0deg,cross_exposure_len_gt_15p0deg_m,cross_exposure_ratio_gt_15p0deg,cross_exposure_count_gt_15p0deg,uphill_exposure_len_gt_5p0deg_m,uphill_exposure_ratio_gt_5p0deg,uphill_exposure_count_gt_5p0deg,uphill_exposure_len_gt_10p0deg_m,uphill_exposure_ratio_gt_10p0deg,uphill_exposure_count_gt_10p0deg,uphill_exposure_len_gt_15p0deg_m,uphill_exposure_ratio_gt_15p0deg,uphill_exposure_count_gt_15p0deg,downhill_exposure_len_gt_5p0deg_m,downhill_exposure_ratio_gt_5p0deg,downhill_exposure_count_gt_5p0deg,downhill_exposure_len_gt_10p0deg_m,downhill_exposure_ratio_gt_10p0deg,downhill_exposure_count_gt_10p0deg,downhill_exposure_len_gt_15p0deg_m,downhill_exposure_ratio_gt_15p0deg,downhill_exposure_count_gt_15p0deg,turn_count,total_turn_angle_deg,mean_turn_angle_deg,max_turn_angle_deg
alpha_r敏感性,1,1,contour_cross_slope,Ours 纵坡+横坡非补偿模型,Ours,8,264,726,455,713,28893.48464862468,6968.6795601959275,4.146192172999317,1.2639109602715755,209,True,8.0,208,6968.679560195925,28893.48464862467,4.146192172999318,1424.0,1427.0,-3.0,103,101,4,3264.667875344576,0.4684772555753431,3564.951530707649,0.5115677223946599,139.0601541436985,0.01995502202999686,22.244283864716948,20.157987715203554,20.741321519199236,41.76971182371321,52.43466143297414,6.243402707497116,4.95741618072134,12.741856079974532,25.813404671971995,1995.4078606731223,0.2863394483038938,61,1203.823486333942,0.17274771725909238,36,839.3022752985253,0.12043921205568078,25,445.98076334710197,0.06399788647112986,13,3137.5371964407145,0.4502341037980662,99,2871.3463633931538,0.41203592999079236,91,2559.4844037534162,0.36728398567395976,81,3385.161600408108,0.48576800973080386,96,2910.3805361449995,0.41763730287853473,82,2387.8815709225464,0.3426591150153862,68,54,2610.0,12.608695652173912,90.0
alpha_r敏感性,2,1,upslope_downslope,Ours 纵坡+横坡非补偿模型,Ours,8,353,624,366,815,29381.788778834096,7549.978099915571,3.8916389411994006,1.369341205584916,218,True,8.0,217,7549.978099915561,29381.788778834096,3.891638941199406,1244.0,1083.0,161.0,99,84,34,3447.7035526764553,0.4566508017705395,3015.6990389363573,0.39943149490328783,1086.5755083027477,0.14391770332617257,15.74521323945888,16.029943275007728,13.668406558536882,47.81499822594575,47.436799641285745,7.108974138314621,6.281519048844995,12.646968293148937,36.3559784393418,2409.693747035051,0.31916566050198225,70,1587.2622974126966,0.21023402669611035,46,810.5019743825186,0.10735156627693837,24,335.72091011941,0.04446647469390205,10,1913.1005066594385,0.25339153059011316,54,1344.930414844808,0.17813699550464254,38,1304.2006386889655,0.1727423075178922,37,1596.2971965833665,0.21143070555412863,43,1370.8361396916484,0.18156822729154404,36,1342.0358387756419,0.17775360683372726,35,95,4545.0,21.041666666666668,90.0
alpha_r敏感性,3,1,diagonal_ne_sw,Ours 纵坡+横坡非补偿模型,Ours,8,292,652,427,787,25261.564181692534,6688.8636485045345,3.776660059043123,1.2164844203290093,191,True,8.0,190,6688.863648504532,25261.564181692524,3.776660059043123,1286.0,1216.0,70.0,92,87,11,3102.9477433863754,0.463897592542512,3209.465218842903,0.4798221921537393,376.4506862752528,0.05628021530374865,20.071503616343467,19.083532507089725,18.493381234062078,50.82756883131397,38.304701310081995,5.537640537350077,4.335689714125818,10.630956996765734,25.10079783804815,1395.5428918733191,0.20863676779916554,41,764.830847790342,0.1143439137021936,22,596.9703927306368,0.08924840213540682,17,220.51970645538393,0.03296818683165814,6,2505.9773506557394,0.3746491904071053,75,1844.4182312895875,0.2757446299121309,57,1676.5577762298826,0.25064911834534415,52,2960.145211471513,0.44254829624660236,80,2624.424301352102,0.39235727311302865,70,2363.174818740875,0.35329989411119533,63,61,2880.0,15.238095238095237,90.0
alpha_r敏感性,4,1,diagonal_nw_se,Ours 纵坡+横坡非补偿模型,Ours,8,292,787,427,652,27132.871362865306,7803.040485058129,3.4772178120594717,1.4191165615092138,233,True,8.0,232,7803.040485058116,27132.871362865288,3.477217812059475,825.0,1319.0,-494.0,69,128,35,2512.117673757242,0.3219408740179735,4175.547002082119,0.5351179466616621,1115.3758092187543,0.14294117932036426,14.434527728977281,14.215368716797897,12.337984491555302,44.50276085947938,52.84141503342479,6.777562065043703,5.762813176320411,12.349163671458935,21.400209595834824,2416.6818718385525,0.309710282352912,69,1304.2006386889655,0.16714005792823358,37,898.9496514977061,0.11520504772711182,25,412.2391119947614,0.05283057454131498,11,1306.2474130561334,0.16740236265048733,35,1028.1271047687362,0.13175980654431768,27,848.3371744691951,0.10871879699889533,22,2744.215684489292,0.3516854346384765,87,2003.2437871786226,0.25672605326277537,65,1667.5228770592128,0.21370168208819607,55,104,4860.0,21.038961038961038,90.0
alpha_r敏感性,1,1,contour_cross_slope,Ours 纵坡+横坡非补偿模型,Ours,8,264,726,455,713,26292.496707117476,6904.090833560412,3.8082489557221746,1.2521964885700931,208,True,10.0,207,6904.090833560409,26292.496707117487,3.8082489557221777,1412.0,1415.0,-3.0,104,99,4,3269.609225780911,0.47357563864709296,3495.4214536358,0.5062826573261098,139.0601541436985,0.02014170402679737,21.977959738110034,20.433294696835485,20.761530409824495,41.76971182371321,52.43466143297414,6.4731141877777905,4.961104227408825,13.288714452549128,25.813404671971995,2127.4798900133183,0.3081477259354345,66,1405.4255927459876,0.20356418051661349,43,1012.1040807945647,0.14659483850861027,31,462.85158902327225,0.0670401940214019,14,3113.6782459610417,0.4509903361678878,99,2888.217189069324,0.41833418167528413,92,2518.7546275975737,0.36482060973966984,80,3356.361299492102,0.48614095329931245,95,2852.7799343129864,0.4132013907531139,80,2399.811046162383,0.34759262356413856,68,50,2340.0,11.359223300970873,90.0
alpha_r敏感性,2,1,upslope_downslope,Ours 纵坡+横坡非补偿模型,Ours,8,353,624,366,815,26401.132658823346,7492.377498083558,3.523732308679905,1.3588941716318046,216,True,10.0,215,7492.377498083546,26401.13265882337,3.523732308679914,1226.0,1065.0,161.0,100,82,33,3464.574378352626,0.46241321653091016,2970.027912344181,0.396406602991357,1057.7752073867412,0.14118018047773306,15.280027072833168,16.20543773184021,13.563787201092751,46.69996295452309,47.436799641285745,7.389399783399437,6.426511204336803,13.433066088325559,35.27834146009364,2781.20308287397,0.37120434516084727,80,1824.652829544251,0.24353455628883808,53,1047.892506514073,0.1398611464494562,31,474.7810642631085,0.0633685454829994,14,1929.9713323356088,0.2575913096783058,55,1263.4708625331227,0.16863417024253013,36,1263.4708625331227,0.16863417024253013,36,1648.9564479790454,0.22008453903995456,44,1370.8361396916484,0.18296410452386985,36,1342.0358387756419,0.17912015766943368,35,84,3915.0,18.294392523364486,90.0
alpha_r敏感性,3,1,diagonal_ne_sw,Ours 纵坡+横坡非补偿模型,Ours,8,292,652,427,787,23307.41551563274,6535.827244753831,3.5661003026573423,1.1886521291224852,189,True,10.0,188,6535.827244753829,23307.415515632747,3.566100302657344,1277.0,1207.0,70.0,92,89,7,3114.8772186262113,0.4765849986513119,3207.4184444757348,0.49074406717990626,213.5315816518819,0.03267093416878165,19.938333911216407,19.469247937276116,19.07196362188769,52.15790253533594,45.92822521053411,5.708355093968712,4.512368098624432,11.886458685923781,25.10079783804815,1337.9422900413065,0.20470894347999247,39,764.830847790342,0.11702127659574472,22,654.5709945626498,0.1001512081103521,19,278.120308287397,0.0425531914893617,8,2517.9068258955754,0.38524684505953644,75,1856.3477065294237,0.2840264341471808,57,1688.4872514697186,0.2583433111432117,52,3080.2877655718726,0.4712927147889894,85,2710.825204100122,0.41476390097000254,73,2257.856315949517,0.3454583836746681,61,63,2880.0,15.401069518716577,90.0
alpha_r敏感性,4,1,diagonal_nw_se,Ours 纵坡+横坡非补偿模型,Ours,8,292,787,427,652,23939.206423549447,7752.4280080296185,3.0879624291582313,1.4099118156787007,230,True,10.0,229,7752.428008029603,23939.20642354944,3.087962429158236,818.0,1312.0,-494.0,68,127,34,2507.1763233209076,0.32340530227744024,4158.676176405949,0.5364353170514562,1086.5755083027477,0.14015938067110376,14.532807934139557,14.194287568740446,12.397037515992473,44.50276085947938,52.84141503342479,6.86066708840903,5.9309989829565355,12.417781234458552,21.336137179091317,2498.1414241502375,0.3222398739546861,71,1385.660191000651,0.1787388660127445,39,898.9496514977061,0.11595717503814496,25,400.3096367549252,0.05163667903014425,11,1399.6364406076548,0.18054168825018133,37,1040.0565800085724,0.13415881823492334,27,819.5368735531886,0.10571357421240811,21,2715.4153835732855,0.35026644307574156,86,2003.2437871786226,0.25840211416394404,65,1667.5228770592128,0.2150968542154884,55,96,4320.0,18.94736842105263,45.0
alpha_r敏感性,1,1,contour_cross_slope,Ours 纵坡+横坡非补偿模型,Ours,8,264,726,455,713,24746.232815389696,7339.341094332849,3.371724041344497,1.3311379250788882,214,True,12.0,213,7339.341094332845,24746.23281538971,3.3717240413445007,1411.0,1414.0,-3.0,105,102,6,3334.197952416426,0.45429118357654263,3796.5529107008706,0.5172879774769457,208.59023121554776,0.028420838946511567,21.33517743067801,18.97646797648619,19.522318273501835,41.76971182371321,46.40223682112362,6.444318141765559,5.244623271933833,13.089979188574933,28.09626445993348,2227.857042368342,0.3035500072463735,67,1261.424088165955,0.17187157156927585,38,978.3624294422239,0.13330385069549056,29,429.10993767093163,0.05846709291141594,12,3108.736895524708,0.42357166066653507,98,2842.546062477147,0.3873026237562458,90,2501.883801921402,0.34088670491868267,79,3657.4927565571725,0.49834075151260465,98,3211.51199321007,0.4375749746376926,85,2358.23346830454,0.32131405775996386,62,61,2880.0,13.584905660377359,90.0
alpha_r敏感性,2,1,upslope_downslope,Ours 纵坡+横坡非补偿模型,Ours,8,353,624,366,815,24516.074542119157,7502.260198956226,3.2678251476175175,1.3606865992850141,218,True,12.0,217,7502.260198956215,24516.074542119146,3.2678251476175206,1216.0,1055.0,161.0,98,87,32,3406.9737765206132,0.45412631475973375,3078.240991204704,0.4103084816536992,1017.0454312308984,0.13556520358656707,15.35690556527098,15.168166386718234,13.269753586087324,46.69996295452309,48.854375846892815,7.663836271287696,6.426511204336803,14.128722923701506,35.27834146009364,2937.1340626938377,0.3914998926726747,85,1980.5838093641196,0.26399828276279685,58,1244.5532624897844,0.1658904422780402,37,573.1114422509644,0.07639183753326778,17,1831.640954347753,0.2441452183440116,52,1263.4708625331227,0.16841202904544803,36,1263.4708625331227,0.16841202904544803,36,1757.1695268395695,0.2342186861346189,49,1450.2489176361657,0.19330826699904888,40,1363.8480148881465,0.18179161728860027,37,89,4095.0,18.958333333333332,90.0
