pair_id,roi_id,scenario,start_row,start_col,goal_row,goal_col,direction_hint_deg,note
1,1,contour_cross_slope,267,654,392,725,60.144382989696204,沿等高线方向布设起终点，用于检验只看纵坡是否会低估横坡风险。
2,1,upslope_downslope,365,627,294,752,330.1443829896962,沿平均坡向布设起终点，用于检验上坡/下坡代价非对称。
3,1,diagonal_ne_sw,279,639,380,740,45.0,固定对角跨越，用于观察综合绕行。
4,1,diagonal_nw_se,279,740,380,639,135.0,另一个对角跨越，用于避免单一方向偶然性。
5,1,random_far_1,350,700,262,714,nan,ROI 内随机远距离起终点，用于检查结论是否只依赖手工情景。
6,2,contour_cross_slope,271,767,388,852,53.83231471322819,沿等高线方向布设起终点，用于检验只看纵坡是否会低估横坡风险。
7,2,upslope_downslope,372,751,287,868,323.8323147132282,沿平均坡向布设起终点，用于检验上坡/下坡代价非对称。
8,2,diagonal_ne_sw,279,759,380,860,45.0,固定对角跨越，用于观察综合绕行。
9,2,diagonal_nw_se,279,860,380,759,135.0,另一个对角跨越，用于避免单一方向偶然性。
10,2,random_far_1,319,748,350,849,nan,ROI 内随机远距离起终点，用于检查结论是否只依赖手工情景。
11,3,contour_cross_slope,759,587,620,552,255.88377463576455,沿等高线方向布设起终点，用于检验只看纵坡是否会低估横坡风险。
12,3,upslope_downslope,672,639,707,500,165.88377463576458,沿平均坡向布设起终点，用于检验上坡/下坡代价非对称。
