step,row,col,cum_distance_m,edge_length_m,elevation_m,direction_deg,unit_cost,alpha_parallel_deg,alpha_cross_deg,rho_up,rho_down,rho_roll,rho_slide,rho_break,rho_max
0,279,639,0.0,28.80030091600653,2952.0,90.0,1.770062577792907,-42.61806725187625,14.596429528741982,0.0,1.7602585451029524,0.4618251139903956,0.651034862719236,0.07878776305797719,1.7602585451029524
1,280,639,28.80030091600653,28.80030091600653,2924.0,0.0,1.045800515348068,13.661016318661032,19.1479519585378,0.4584966261306911,0.0,0.6157668186538606,0.868046483625648,0.04267670498973765,0.868046483625648
2,280,640,57.60060183201306,28.80030091600653,2934.0,0.0,1.004277660199685,16.44321708789231,7.907081131041212,0.542861680562024,0.0,0.24630672746154428,0.3472185934502592,0.022979764225243348,0.542861680562024
3,280,641,86.40090274801959,40.729776155842714,2941.0,315.0,1.1502422305079891,4.911487749536037,23.251314796742054,0.20398827697946206,0.0,0.761972562924671,1.074152721174458,0.04267670498973769,1.074152721174458
4,279,642,127.1306789038623,28.80030091600653,2947.0,0.0,1.0120603049098618,21.766894469838075,0.9946080835930503,0.7115917894246899,0.0,0.030788340932693035,0.0434023241812824,0.1050503507439696,0.7115917894246899
5,279,643,155.93097981986884,40.729776155842714,2964.0,315.0,1.1744740902078692,4.212581547545059,23.84241468619242,0.18410324295160613,0.0,0.7837432075796615,1.1048427989222995,0.03939388152898862,1.1048427989222995
6,278,644,196.66075597571154,28.80030091600653,2981.0,0.0,1.0338324342080378,20.903879542425827,17.35385420275948,0.6834701046142456,0.0,0.5541901367884745,0.7812418352630831,0.06237364575423194,0.7812418352630831
7,278,645,225.46105689171807,28.80030091600653,2983.0,0.0,1.0010424082634064,7.907081131041212,5.946801364267784,0.2897665172680253,0.0,0.1847300455961582,0.2604139450876944,0.029545411146741446,0.2897665172680253
8,278,646,254.2613578077246,28.80030091600653,2989.0,0.0,1.0015894558235414,12.71812078369934,2.98143012479497,0.43037494132024684,0.0,0.0923650227980791,0.1302069725438472,0.029545411146741446,0.43037494132024684
9,278,647,283.0616587237311,40.729776155842714,2996.0,315.0,1.0145668239250971,7.690492757713022,15.766958331444608,0.28352841309088567,0.0,0.5007248270647838,0.7058717882003581,0.08371199824910083,0.7058717882003581
