step,row,col,cum_distance_m,edge_length_m,elevation_m,direction_deg,unit_cost,alpha_parallel_deg,alpha_cross_deg,rho_up,rho_down,rho_roll,rho_slide,rho_break,rho_max
0,279,740,0.0,40.729776155842714,3977.0,135.0,1.003239847968101,5.608931874667525,11.112374481460863,0.2238733110073181,0.0,0.3483303144798495,0.4910412439654664,0.03446964633786503,0.4910412439654664
1,280,739,40.729776155842714,40.729776155842714,3984.0,135.0,1.1749375617660056,9.751837025169372,23.842414686192416,0.3431835151744535,0.0,0.7837432075796614,1.1048427989222993,0.003282823460749045,1.1048427989222993
2,281,738,81.45955231168543,40.729776155842714,3991.0,135.0,2.27714257562401,10.433592938803367,36.82726043845071,0.36306854920230947,0.0,1.3280093239544262,1.8720947426183405,0.0032828234607490637,1.8720947426183405
3,282,737,122.18932846752814,40.729776155842714,3999.0,135.0,2.8385252174072604,15.766958331444608,41.07534840429942,0.5221488214251566,0.0,1.545715770504332,2.178995520096757,0.0459595284504867,2.178995520096757
4,283,736,162.91910462337086,28.80030091600653,4017.0,180.0,1.962644036419853,-13.661016318661027,34.100996270707995,0.0,0.40610603120976935,1.200745296375028,1.6926906430700133,0.01969694076449429,1.6926906430700133
5,283,735,191.7194055393774,40.729776155842714,4008.0,135.0,2.2232121019506366,13.794437650312792,36.37394401510026,0.4624937193415889,0.0,1.3062386792994358,1.8414046648704991,0.08371199824910076,1.8414046648704991
6,284,734,232.4491816952201,28.80030091600653,4007.0,180.0,1.00620623801581,-19.1479519585378,5.946801364267786,0.0,0.6144371873357676,0.18473004559615827,0.2604139450876945,0.0065656469214981,0.6144371873357676
7,284,733,261.2494826112266,28.80030091600653,3997.0,180.0,1.0046188135686156,-18.25553529978623,3.9724545675555087,0.0,0.579715327983902,0.12315336373077221,0.1736092967251297,0.006565646921498104,0.579715327983902
8,284,732,290.0497835272331,28.80030091600653,3988.0,180.0,1.0040548353596987,-17.35385420275948,6.9289786662670965,0.0,0.544993468630982,0.2155183865288513,0.30381626926897687,0.0131312938429962,0.544993468630982
9,284,731,318.8500844432396,28.80030091600653,3979.0,180.0,1.0020342998210292,-14.596429528741979,5.9468013642677855,0.0,0.44082789056639815,0.18473004559615824,0.26041394508769444,0.022979764225243338,0.44082789056639815
10,284,730,347.6503853592461,28.80030091600653,3973.0,180.0,1.0010839656927677,-10.811610559159867,5.9468013642677855,0.0,0.3019404531353423,0.18473004559615824,0.26041394508769444,0.016414117303745247,0.3019404531353423
11,284,729,376.4506862752526,40.729776155842714,3968.0,135.0,1.0046949728111305,-1.4064469873895025,12.460340243342161,0.0,0.0,0.39187160378983077,0.5524213994611498,0.06237364575423194,0.5524213994611498
12,285,728,417.18046243109535,28.80030091600653,3962.0,180.0,1.003747741406446,-2.9814301247949717,11.768169401761957,0.0,0.0241655782470951,0.3694600911923163,0.5208278901753887,0.0065656469214981,0.5208278901753887
13,285,727,445.98076334710186,28.80030091600653,3960.0,180.0,1.003763622888588,-3.972454567555508,11.768169401761957,0.0,0.05888743760926382,0.3694600911923163,0.5208278901753887,0.003282823460749052,0.5208278901753887
14,285,726,474.78106426310836,28.80030091600653,3958.0,180.0,1.001132053713047,-1.988617095146054,7.907081131041212,0.0,0.0,0.24630672746154428,0.3472185934502592,0.003282823460749058,0.3472185934502592
15,285,725,503.58136517911487,28.80030091600653,3958.0,180.0,1.0002749435022655,-2.9814301247949704,1.988617095146053,0.0,0.02416557824709506,0.061576681865386056,0.08680464836256478,0.009848470382247142,0.08680464836256478
16,285,724,532.3816660951214,28.80030091600653,3955.0,180.0,1.0002378674889807,-4.961104227408825,6.090829848443661e-16,0.0,0.09360929697123026,1.885242158713998e-17,2.6576258692081626e-17,0.0032828234607490537,0.09360929697123026
17,285,723,561.181967011128,40.729776155842714,3953.0,135.0,1.0004810169491103,1.4064469873895038,4.212581547545064,0.10456310684018269,0.0,0.13062386792994357,0.1841404664870499,0.014772705573370726,0.1841404664870499
18,286,722,601.9117431669707,28.80030091600653,3954.0,180.0,1.0012639961281768,3.9724545675555056,7.907081131041212,0.17727977802624809,0.0,0.24630672746154428,0.3472185934502592,0.009848470382247135,0.3472185934502592
19,286,721,630.7120440829773,40.729776155842714,3956.0,135.0,1.0003432049639602,2.109141114720041,2.1091411147200407,0.12444814086803858,0.0,0.06531193396497179,0.09207023324352495,0.0065656469214981,0.12444814086803858
20,287,720,671.44182023882,28.80030091600653,3955.0,180.0,1.0009559168897684,6.928978666267094,5.946801364267785,0.26164483245758097,0.0,0.18473004559615822,0.2604139450876944,0.022979764225243327,0.26164483245758097
21,287,719,700.2421211548266,28.80030091600653,3958.0,180.0,1.0003214572127561,2.98143012479497,0.9946080835930508,0.14915809321580378,0.0,0.030788340932693045,0.04340232418128242,0.02297976422524333,0.14915809321580378
22,287,718,729.0424220708331,28.80030091600653,3958.0,180.0,1.0008845647886027,8.527161787821125e-16,6.928978666267095,0.0647930387844709,0.0,0.21551838652885125,0.3038162692689768,1.2864957578790912e-17,0.3038162692689768
23,287,717,757.8427229868397,40.729776155842714,3958.0,135.0,1.0024892149152975,12.460340243342161,8.380105429147623,0.422723651285877,0.0,0.2612477358598871,0.36828093297409975,0.02297976422524331,0.422723651285877
24,288,716,798.5724991426824,40.729776155842714,3968.0,135.0,1.0221369900480082,-6.304712527012774,17.061290734585917,0.0,0.1409685600532287,0.5442661163747651,0.7672519436960415,0.1510098791944563,0.7672519436960415
25,289,715,839.3022752985252,40.729776155842714,3949.0,135.0,1.9536957964427804,-7.690492757713028,34.02650187404242,0.0,0.19007268447259273,1.1973854560244828,1.687954276131291,0.04267670498973763,1.687954276131291
26,290,714,880.0320514543679,28.80030091600653,3949.0,180.0,2.6662365435718405,19.147951958537792,39.80527667438869,0.6272267349933568,0.0,1.4778403647692655,2.083311560701555,0.08207058651872623,2.083311560701555
27,290,713,908.8323523703745,28.80030091600653,3953.0,180.0,2.5806561472049356,-0.9946080835930561,39.21319648845686,0.0,0.0,1.4470520238365725,2.0399092365202725,0.09520188036172242,2.0399092365202725
28,290,712,937.632653286381,28.80030091600653,3948.0,180.0,2.4227793216348137,-8.880567841118106,37.99844201218838,0.0,0.23249673441583987,1.3854753419711865,1.953104588157708,0.019696940764494294,1.953104588157708
29,290,711,966.4329542023876,40.729776155842714,3944.0,135.0,1.925617589099681,-27.828199353972924,33.049221441027555,0.0,0.9757386749584233,1.1538441667145014,1.6265741206356075,0.05088376364161026,1.6265741206356075
30,291,710,1007.1627303582303,40.729776155842714,3930.0,135.0,2.0077042677910035,-15.113456620442502,34.50687889724974,0.0,0.4601453687591137,1.2191561006794736,1.7186443538791327,0.026262587685992392,1.7186443538791327
31,292,709,1047.892506514073,40.729776155842714,3920.0,135.0,2.389920182034988,-17.061290734585917,37.718006606796955,0.0,0.5338015553745873,1.3715506132644075,1.9334748981140242,0.03446964633786502,1.9334748981140242
32,293,708,1088.6222826699156,40.729776155842714,3907.0,135.0,3.066494137544855,-18.337924307235646,42.63584254724537,0.0,0.5829056797824625,1.6327983491242948,2.301755831088124,0.045959528450486675,2.301755831088124
33,294,707,1129.3520588257584,40.729776155842714,3899.0,135.0,3.4602785008549883,-13.794437650312796,45.18943682590824,0.0,0.41104124434657213,1.785192861709229,2.5165863753230155,0.032828234607490486,2.5165863753230155
