step,row,col,cum_distance_m,edge_length_m,elevation_m,direction_deg,unit_cost,alpha_parallel_deg,alpha_cross_deg,rho_up,rho_down,rho_roll,rho_slide,rho_break,rho_max
0,271,767,0.0,28.80030091600653,3675.0,90.0,1.4085019958388194,-36.097998976797115,17.353854202759475,0.0,1.3783180927252496,0.5541901367884744,0.781241835263083,0.02297976422524335,1.3783180927252496
1,272,767,28.80030091600653,40.729776155842714,3654.0,45.0,1.542467769170892,-39.01501574039502,4.212581547545065,0.0,1.5404361051719462,0.13062386792994363,0.18414046648704996,0.026262587685992406,1.5404361051719462
2,273,768,69.53007707184925,28.80030091600653,3620.0,90.0,1.1029419753885976,-17.35385420275948,21.766894469838075,0.0,0.544993468630982,0.7081318414519399,0.9982534561694952,0.07222211613647911,0.9982534561694952
3,274,768,98.33037798785578,40.729776155842714,3618.0,45.0,1.0556021816334198,-26.71690207473714,3.5124172492927555,0.0,0.9266345505710182,0.10885322327495295,0.15345038873920822,0.08699482170984983,0.9266345505710182
4,275,769,139.0601541436985,28.80030091600653,3578.0,90.0,1.6456795341460289,-34.77755089565154,26.723744518553328,0.0,1.3088743740861817,0.8928618870480979,1.2586674012571895,0.09191905690097336,1.3088743740861817
5,276,769,167.86045505970503,28.80030091600653,3567.0,0.0,1.0026121742258232,-11.768169401761957,9.848913620227734,0.0,0.3366623124941856,0.3078834093269303,0.434023241812824,0.0328282346074905,0.434023241812824
6,276,770,196.66075597571157,28.80030091600653,3559.0,0.0,1.0261256216103973,-23.461964145997715,12.71812078369934,0.0,0.7880464840776231,0.40024843212500943,0.5642302143566712,0.06237364575423194,0.7880464840776231
7,276,771,225.4610568917181,40.729776155842714,3542.0,45.0,1.0643369246458863,-26.71690207473714,14.455904058348354,0.0,0.9266345505710182,0.4571835377548026,0.6444916327046748,0.03611105806823956,0.9266345505710182
8,277,772,266.19083304756083,28.80030091600653,3526.0,0.0,1.0035205248176362,-17.35385420275948,2.98143012479497,0.0,0.544993468630982,0.0923650227980791,0.1302069725438472,0.006565646921498092,0.544993468630982
9,277,773,294.99113396356734,40.729776155842714,3517.0,45.0,1.031972810420445,-24.428173456638085,11.788011834139168,0.0,0.8284263017874224,0.3701009591348402,0.5217313217133082,0.08863623344022435,0.8284263017874224
10,278,774,335.72091011941006,40.729776155842714,3484.0,45.0,1.3992284155108408,-36.37394401510026,6.99863123154371,0.0,1.3931237321187349,0.2177064465499061,0.3069007774784167,0.022979764225243348,1.3931237321187349
11,279,775,376.4506862752528,28.80030091600653,3462.0,0.0,1.00642473576173,-19.1479519585378,6.928978666267095,0.0,0.6144371873357676,0.21551838652885125,0.3038162692689768,0.10176752728322053,0.6144371873357676
12,279,776,405.2509871912593,28.80030091600653,3454.0,0.0,1.0075855543250292,-19.1479519585378,9.848913620227734,0.0,0.6144371873357676,0.3078834093269303,0.434023241812824,0.02954541114674144,0.6144371873357676
13,279,777,434.0512881072658,28.80030091600653,3442.0,0.0,1.0590719815573792,-26.723744518553328,11.768169401761957,0.0,0.9269339214475167,0.3694600911923163,0.5208278901753887,0.009848470382247143,0.9269339214475167
14,279,778,462.8515890232723,40.729776155842714,3425.0,45.0,1.0403099815007888,-25.583478113381727,4.91148774953604,0.0,0.8775304261806495,0.15239451258493414,0.2148305442348915,0.04431811672011219,0.8775304261806495
15,280,779,503.58136517911504,40.729776155842714,3406.0,45.0,1.055587623868041,-26.71690207473714,3.5124172492927555,0.0,0.9266345505710182,0.10885322327495295,0.15345038873920822,0.0016414117303745342,0.9266345505710182
16,281,780,544.3111413349577,40.729776155842714,3388.0,45.0,1.0472332968407392,-26.15294239375461,1.406446987389505,0.0,0.9020824883761978,0.04354128930998124,0.06138015549568337,4.723586091677861e-18,0.9020824883761978
17,282,781,585.0409174908004,28.80030091600653,3372.0,0.0,1.011379122349319,-15.523956617725572,14.596429528741979,0.0,0.4755497499221785,0.4618251139903955,0.6510348627192359,0.03282823460749049,0.6510348627192359
18,282,782,613.841218406807,40.729776155842714,3365.0,45.0,1.03380427596962,-25.008542397430375,1.4064469873895034,0.0,0.8529783639843862,0.04354128930998119,0.0613801554956833,0.014772705573370726,0.8529783639843862
19,283,783,654.5709945626497,40.729776155842714,3345.0,45.0,1.0474225412648808,-26.15294239375461,4.212581547545062,0.0,0.9020824883761978,0.13062386792994352,0.18414046648704982,0.024621175955617875,0.9020824883761978
20,284,784,695.3007707184925,40.729776155842714,3321.0,45.0,1.1823342697156556,-31.541667179792263,8.380105429147626,0.0,1.1476031102895918,0.26124773585988725,0.3682809329740999,0.026262587685992406,1.1476031102895918
21,285,785,736.0305468743352,40.729776155842714,3301.0,45.0,1.0061340406729558,-18.969325164143417,6.998631231543706,0.0,0.6074577419856143,0.21770644654990595,0.3069007774784165,0.05580799883273385,0.6074577419856143
22,286,786,776.7603230301779,40.729776155842714,3288.0,45.0,1.0070975376925315,-19.595978808642915,6.304712527012772,0.0,0.6320098041882195,0.19593580189491536,0.2762106997305748,0.026262587685992406,0.6320098041882195
23,287,787,817.4900991860206,28.80030091600653,3272.0,0.0,1.002166516465757,-13.661016318661032,7.907081131041212,0.0,0.4061060312097695,0.24630672746154428,0.3472185934502592,0.009848470382247156,0.4061060312097695
