step,row,col,cum_distance_m,edge_length_m,elevation_m,direction_deg,unit_cost,alpha_parallel_deg,alpha_cross_deg,rho_up,rho_down,rho_roll,rho_slide,rho_break,rho_max
0,271,767,0.0,28.80030091600653,3675.0,90.0,1.4085019958388194,-36.097998976797115,17.353854202759475,0.0,1.3783180927252496,0.5541901367884744,0.781241835263083,0.02297976422524335,1.3783180927252496
1,272,767,28.80030091600653,40.729776155842714,3654.0,45.0,1.542467769170892,-39.01501574039502,4.212581547545065,0.0,1.5404361051719462,0.13062386792994363,0.18414046648704996,0.026262587685992406,1.5404361051719462
2,273,768,69.53007707184925,28.80030091600653,3620.0,90.0,1.1029419753885976,-17.35385420275948,21.766894469838075,0.0,0.544993468630982,0.7081318414519399,0.9982534561694952,0.07222211613647911,0.9982534561694952
3,274,768,98.33037798785578,40.729776155842714,3618.0,45.0,1.0556021816334198,-26.71690207473714,3.5124172492927555,0.0,0.9266345505710182,0.10885322327495295,0.15345038873920822,0.08699482170984983,0.9266345505710182
4,275,769,139.0601541436985,40.729776155842714,3578.0,45.0,1.616047265537859,-40.266138812001245,7.6904927577130255,0.0,1.6140922916854592,0.23947709120489657,0.3375908552262582,0.10176752728322053,1.6140922916854592
5,276,770,179.7899302995412,40.729776155842714,3559.0,45.0,1.0348647570903906,-25.008542397430375,8.380105429147626,0.0,0.8529783639843862,0.2612477358598872,0.36828093297409986,0.001641411730374525,0.8529783639843862
6,277,771,220.51970645538393,28.80030091600653,3535.0,0.0,1.0590778618808792,-26.723744518553328,11.768169401761957,0.0,0.9269339214475167,0.3694600911923163,0.5208278901753887,0.04924235191123575,0.9269339214475167
7,277,772,249.32000737139046,28.80030091600653,3526.0,0.0,1.0035205248176362,-17.35385420275948,2.98143012479497,0.0,0.544993468630982,0.0923650227980791,0.1302069725438472,0.006565646921498092,0.544993468630982
8,277,773,278.120308287397,40.729776155842714,3517.0,45.0,1.031972810420445,-24.428173456638085,11.788011834139168,0.0,0.8284263017874224,0.3701009591348402,0.5217313217133082,0.08863623344022435,0.8284263017874224
9,278,774,318.8500844432397,40.729776155842714,3484.0,45.0,1.3992284155108408,-36.37394401510026,6.99863123154371,0.0,1.3931237321187349,0.2177064465499061,0.3069007774784167,0.022979764225243348,1.3931237321187349
10,279,775,359.57986059908245,28.80030091600653,3462.0,0.0,1.00642473576173,-19.1479519585378,6.928978666267095,0.0,0.6144371873357676,0.21551838652885125,0.3038162692689768,0.10176752728322053,0.6144371873357676
11,279,776,388.38016151508896,28.80030091600653,3454.0,0.0,1.0075855543250292,-19.1479519585378,9.848913620227734,0.0,0.6144371873357676,0.3078834093269303,0.434023241812824,0.02954541114674144,0.6144371873357676
12,279,777,417.18046243109546,28.80030091600653,3442.0,0.0,1.0590719815573792,-26.723744518553328,11.768169401761957,0.0,0.9269339214475167,0.3694600911923163,0.5208278901753887,0.009848470382247143,0.9269339214475167
13,279,778,445.98076334710197,40.729776155842714,3425.0,45.0,1.0403099815007888,-25.583478113381727,4.91148774953604,0.0,0.8775304261806495,0.15239451258493414,0.2148305442348915,0.04431811672011219,0.8775304261806495
14,280,779,486.7105395029447,40.729776155842714,3406.0,45.0,1.055587623868041,-26.71690207473714,3.5124172492927555,0.0,0.9266345505710182,0.10885322327495295,0.15345038873920822,0.0016414117303745342,0.9266345505710182
15,281,780,527.4403156587874,40.729776155842714,3388.0,45.0,1.0472332968407392,-26.15294239375461,1.406446987389505,0.0,0.9020824883761978,0.04354128930998124,0.06138015549568337,4.723586091677861e-18,0.9020824883761978
16,282,781,568.1700918146302,40.729776155842714,3372.0,45.0,1.00955812444471,-20.834670986517832,0.7033294435271857,0.0,0.6811139285917227,0.02177064465499062,0.030690077747841684,0.0,0.6811139285917227
17,283,782,608.8998679704729,40.729776155842714,3355.0,45.0,1.0998526452857618,-28.91720002360816,0.7033294435271841,0.0,1.0248427993427633,0.02177064465499057,0.030690077747841615,0.013131293842996203,1.0248427993427633
18,284,783,649.6296441263156,40.729776155842714,3331.0,45.0,1.2009574340643605,-32.04975988982776,6.3047125270127715,0.0,1.172155172476465,0.19593580189491533,0.2762106997305748,0.022979764225243348,1.172155172476465
19,285,784,690.3594202821583,40.729776155842714,3307.0,45.0,1.0344492359592814,-25.00854239743038,6.998631231543707,0.0,0.8529783639843865,0.217706446549906,0.3069007774784166,0.07550493959722816,0.8529783639843865
20,286,785,731.0891964380011,40.729776155842714,3293.0,45.0,1.0028247115296027,-16.416278083058767,4.212581547545064,0.0,0.5092494931698995,0.13062386792994357,0.1841404664870499,0.008207058651872622,0.5092494931698995
21,287,786,771.8189725938438,28.80030091600653,3279.0,0.0,1.0030650939075025,-13.661016318661032,9.848913620227734,0.0,0.4061060312097695,0.3078834093269303,0.434023241812824,0.0,0.434023241812824
22,287,787,800.6192735098504,28.80030091600653,3272.0,0.0,1.002166516465757,-13.661016318661032,7.907081131041212,0.0,0.4061060312097695,0.24630672746154428,0.3472185934502592,0.009848470382247156,0.4061060312097695
23,287,788,829.4195744258569,28.80030091600653,3265.0,0.0,1.0028254242555468,-16.44321708789231,3.972454567555506,0.0,0.5102716092770571,0.12315336373077214,0.1736092967251296,0.03611105806823955,0.5102716092770571
