step,row,col,cum_distance_m,edge_length_m,elevation_m,direction_deg,unit_cost,alpha_parallel_deg,alpha_cross_deg,rho_up,rho_down,rho_roll,rho_slide,rho_break,rho_max
0,271,767,0.0,40.729776155842714,3675.0,45.0,1.416049866679592,-36.37394401510026,16.41627808305877,0.0,1.3931237321187349,0.5224954717197744,0.7365618659481997,0.050883763641610257,1.3931237321187349
1,272,768,40.729776155842714,40.729776155842714,3636.0,45.0,1.6696282337526827,-41.07534840429943,13.12920020857317,0.0,1.6631964160228354,0.41364224844482145,0.5831114772089915,0.07386352786685361,1.6631964160228354
2,273,769,81.45955231168543,40.729776155842714,3616.0,45.0,1.0240366340847546,-23.84241468619242,4.212581547545065,0.0,0.8038742395897713,0.13062386792994363,0.18414046648704996,0.05088376364161028,0.8038742395897713
3,274,770,122.18932846752814,40.729776155842714,3587.0,45.0,1.8109299854531218,-43.3879413040337,2.1091411147200416,0.0,1.8105087890106268,0.06531193396497181,0.09207023324352498,0.011489882112621683,1.8105087890106268
4,275,771,162.91910462337086,40.729776155842714,3545.0,45.0,1.3756503691032596,-35.91528192694328,6.304712527012774,0.0,1.3685716699398875,0.19593580189491544,0.27621069973057494,0.08207058651872624,1.3685716699398875
5,276,772,203.64888077921358,28.80030091600653,3528.0,0.0,1.0282075177061551,-24.29366311851227,7.907081131041212,0.0,0.8227683434221871,0.24630672746154428,0.3472185934502592,0.02954541114674144,0.8227683434221871
6,276,773,232.44918169522012,28.80030091600653,3516.0,0.0,1.0106808505323666,-20.903879542425827,7.907081131041212,0.0,0.6838809060361422,0.24630672746154428,0.3472185934502592,0.006565646921498102,0.6838809060361422
7,276,774,261.24948261122665,40.729776155842714,3506.0,45.0,1.0999181870127281,-28.917200023608167,2.1091411147200416,0.0,1.0248427993427638,0.06531193396497181,0.09207023324352498,0.055807998832733866,1.0248427993427638
8,277,775,301.9792587670694,40.729776155842714,3479.0,45.0,1.2009618436437388,-32.04975988982776,6.3047125270127715,0.0,1.172155172476465,0.19593580189491533,0.2762106997305748,0.05088376364161027,1.172155172476465
9,278,776,342.7090349229121,40.729776155842714,3453.0,45.0,1.011539432267049,-21.44653778990133,1.406446987389505,0.0,0.705665990792588,0.04354128930998124,0.06138015549568337,0.05088376364161027,0.705665990792588
10,279,777,383.43881107875484,28.80030091600653,3442.0,0.0,1.0590719815573792,-26.723744518553328,11.768169401761957,0.0,0.9269339214475167,0.3694600911923163,0.5208278901753887,0.009848470382247143,0.9269339214475167
11,279,778,412.23911199476134,40.729776155842714,3425.0,45.0,1.0403099815007888,-25.583478113381727,4.91148774953604,0.0,0.8775304261806495,0.15239451258493414,0.2148305442348915,0.04431811672011219,0.8775304261806495
12,280,779,452.9688881506041,40.729776155842714,3406.0,45.0,1.055587623868041,-26.71690207473714,3.5124172492927555,0.0,0.9266345505710182,0.10885322327495295,0.15345038873920822,0.0016414117303745342,0.9266345505710182
13,281,780,493.6986643064468,40.729776155842714,3388.0,45.0,1.0472332968407392,-26.15294239375461,1.406446987389505,0.0,0.9020824883761978,0.04354128930998124,0.06138015549568337,4.723586091677861e-18,0.9020824883761978
14,282,781,534.4284404622895,28.80030091600653,3372.0,0.0,1.011379122349319,-15.523956617725572,14.596429528741979,0.0,0.4755497499221785,0.4618251139903955,0.6510348627192359,0.03282823460749049,0.6510348627192359
15,282,782,563.228741378296,28.80030091600653,3365.0,0.0,1.0474020654922793,-17.35385420275948,19.1479519585378,0.0,0.544993468630982,0.6157668186538606,0.868046483625648,0.003282823460749051,0.868046483625648
16,282,783,592.0290422943026,40.729776155842714,3354.0,45.0,1.0240322245053763,-23.84241468619242,4.212581547545065,0.0,0.8038742395897713,0.13062386792994363,0.18414046648704996,0.02297976422524335,0.8038742395897713
17,283,784,632.7588184501453,40.729776155842714,3338.0,45.0,1.101243930637067,-28.917200023608167,9.06728141831865,0.0,1.0248427993427638,0.28301838051487777,0.39897101072194147,0.04760094018086123,1.0248427993427638
18,284,785,673.488594605988,40.729776155842714,3312.0,45.0,1.06654455590944,-27.275328896258802,9.751837025169372,0.0,0.9511866127650976,0.3047890251698684,0.4296610884697832,0.06893929267573007,0.9511866127650976
19,285,786,714.2183707618308,40.729776155842714,3298.0,45.0,1.0046382668838747,-15.113456620442502,11.112374481460863,0.0,0.4601453687591137,0.3483303144798495,0.4910412439654664,0.006565646921498101,0.4910412439654664
20,286,787,754.9481469176735,40.729776155842714,3283.0,45.0,1.0355369878148253,-25.008542397430375,9.75183702516937,0.0,0.8529783639843862,0.30478902516986833,0.4296610884697831,0.013131293842996208,0.8529783639843862
21,287,788,795.6779230735162,28.80030091600653,3265.0,0.0,1.0028254242555468,-16.44321708789231,3.972454567555506,0.0,0.5102716092770571,0.12315336373077214,0.1736092967251296,0.03611105806823955,0.5102716092770571
22,287,789,824.4782239895228,40.729776155842714,3255.0,45.0,1.0221605295398657,-23.251314796742054,10.433592938803363,0.0,0.7793221773914476,0.32655966982485896,0.4603511662176248,0.10340893901359506,0.7793221773914476
23,288,790,865.2080001453655,28.80030091600653,3223.0,0.0,1.3378684990073153,-29.054349955806135,25.114604821166303,0.0,1.0310994994595133,0.8312852051827119,1.1718627528946248,0.13131293842996197,1.1718627528946248
24,288,791,894.0083010613721,28.80030091600653,3221.0,0.0,1.044434663475443,-8.8805678411181,19.1479519585378,0.0,0.2324967344158397,0.6157668186538606,0.868046483625648,0.022979764225243348,0.868046483625648
25,288,792,922.8086019773787,40.729776155842714,3214.0,45.0,1.2411556270006678,-33.049221441027555,2.1091411147200416,0.0,1.221259296847638,0.06531193396497181,0.09207023324352498,0.0525251753719848,1.221259296847638
26,289,793,963.5383781332214,28.80030091600653,3186.0,0.0,1.0361532743662172,-25.114604821166303,8.8805678411181,0.0,0.8574902027653833,0.27709506839423725,0.39062091763154155,0.003282823460749051,0.8574902027653833
27,289,794,992.338679049228,28.80030091600653,3175.0,0.0,1.0285830897882438,-24.29366311851227,8.8805678411181,0.0,0.8227683434221871,0.27709506839423725,0.39062091763154155,0.006565646921498092,0.8227683434221871
28,289,795,1021.1389799652345,40.729776155842714,3160.0,45.0,1.0516861817319338,-26.15294239375461,12.460340243342161,0.0,0.9020824883761978,0.39187160378983077,0.5524213994611498,0.041035293259363115,0.9020824883761978
29,290,796,1061.8687561210772,28.80030091600653,3137.0,0.0,1.2557571460814556,-23.461964145997715,25.114604821166303,0.0,0.7880464840776231,0.8312852051827119,1.1718627528946248,0.09191905690097336,1.1718627528946248
30,290,797,1090.6690570370838,40.729776155842714,3135.0,45.0,1.0047587518994185,1.4064469873895034,12.460340243342161,0.10456310684018269,0.0,0.39187160378983077,0.5524213994611498,0.10176752728322054,0.5524213994611498
31,291,798,1131.3988331929265,40.729776155842714,3140.0,45.0,2.032425981866721,-46.553119929805774,6.99863123154371,0.0,2.0314773484220097,0.2177064465499061,0.3069007774784167,0.23964611263468064,2.0314773484220097
32,292,799,1172.1286093487693,40.729776155842714,3068.0,45.0,1.3765798845060815,-35.91528192694328,9.067281418318652,0.0,1.3685716699398875,0.2830183805148778,0.3989710107219416,0.21338352494868826,1.3685716699398875
33,293,800,1212.858385504612,28.80030091600653,3056.0,0.0,1.017584463211186,-21.766894469838075,12.71812078369934,0.0,0.7186027653845578,0.40024843212500943,0.5642302143566712,0.08535340997947527,0.7186027653845578
34,293,801,1241.6586864206186,40.729776155842714,3050.0,45.0,1.0058548021233786,-18.969325164143417,5.608931874667524,0.0,0.6074577419856143,0.1741651572399248,0.24552062198273325,0.018055529034119756,0.6074577419856143
35,294,802,1282.3884625764613,28.80030091600653,3044.0,0.0,1.077163452902605,-2.98143012479497,20.903879542425827,0.0,0.024165578247095046,0.6773435005192467,0.9548511319882128,0.09520188036172242,0.9548511319882128
36,294,803,1311.1887634924678,28.80030091600653,3051.0,0.0,1.0003344566054397,1.9886170951460531,1.9886170951460531,0.1210364084053595,0.0,0.06157668186538607,0.0868046483625648,0.009848470382247147,0.1210364084053595
37,294,804,1339.9890644084744,40.729776155842714,3046.0,45.0,1.006774152837739,-18.337924307235642,10.433592938803363,0.0,0.5829056797824623,0.32655966982485896,0.4603511662176248,0.065656469214981,0.5829056797824623
38,295,805,1380.7188405643171,28.80030091600653,3023.0,0.0,1.0568439158086194,-26.723744518553328,8.8805678411181,0.0,0.9269339214475167,0.27709506839423725,0.39062091763154155,0.0065656469214980815,0.9269339214475167
39,295,806,1409.5191414803237,28.80030091600653,3014.0,0.0,1.2238584815712703,-30.552147225129104,20.903879542425827,0.0,1.1005432181263048,0.6773435005192467,0.9548511319882128,0.0,1.1005432181263048
40,295,807,1438.3194423963303,28.80030091600653,2989.0,0.0,1.1550854785630278,-26.723744518553328,21.766894469838075,0.0,0.9269339214475167,0.7081318414519399,0.9982534561694952,0.1050503507439696,0.9982534561694952
41,295,808,1467.1197433123368,28.80030091600653,2985.0,0.0,1.0587884140204125,-1.9886170951460531,20.03082003107638,0.0,0.0,0.6465551595865537,0.9114488078069304,0.10176752728322053,0.9114488078069304
42,295,809,1495.9200442283434,40.729776155842714,2987.0,45.0,1.0150744996057026,-13.129200208573168,15.766958331444608,0.0,0.3864891821396901,0.5007248270647838,0.7058717882003581,0.04431811672011218,0.7058717882003581
43,296,810,1536.6498203841861,28.80030091600653,2975.0,0.0,1.0022296639355863,-15.523956617725572,3.972454567555506,0.0,0.4755497499221785,0.12315336373077214,0.1736092967251296,0.013131293842996196,0.4755497499221785
44,296,811,1565.4501213001927,28.80030091600653,2969.0,0.0,1.0025137244902855,-14.596429528741979,7.907081131041212,0.0,0.44082789056639815,0.24630672746154428,0.3472185934502592,0.042676704989737635,0.44082789056639815
45,296,812,1594.2504222161992,28.80030091600653,2960.0,0.0,1.0623133913950376,-26.723744518553328,13.661016318661032,0.0,0.9269339214475167,0.43103677305770244,0.6076325385379535,0.042676704989737635,0.9269339214475167
46,296,813,1623.0507231322058,40.729776155842714,2940.0,45.0,1.4462031449739035,-37.27526834307423,4.212581547545065,0.0,1.442227856473621,0.13062386792994363,0.18414046648704996,0.06565646921498099,1.442227856473621
47,297,814,1663.7804992880485,28.80030091600653,2923.0,0.0,1.0127558189022259,-21.766894469838075,1.9886170951460531,0.0,0.7186027653845578,0.06157668186538607,0.0868046483625648,0.11161599766546769,0.7186027653845578
48,297,815,1692.580800204055,40.729776155842714,2918.0,45.0,1.0009460280848494,-11.788011834139168,3.5124172492927563,0.0,0.3373850577248017,0.10885322327495298,0.15345038873920824,0.03282823460749048,0.3373850577248017
49,298,816,1733.3105763598978,28.80030091600653,2908.0,0.0,1.003463541292807,-17.35385420275948,1.9886170951460531,0.0,0.544993468630982,0.06157668186538607,0.0868046483625648,0.013131293842996205,0.544993468630982
50,298,817,1762.1108772759044,40.729776155842714,2901.0,45.0,1.033805629465143,-25.008542397430375,1.4064469873895034,0.0,0.8529783639843862,0.04354128930998119,0.0613801554956833,0.024621175955617858,0.8529783639843862
51,299,818,1802.8406534317471,28.80030091600653,2887.0,0.0,1.0237721104907447,-23.461964145997715,10.811610559159867,0.0,0.7880464840776231,0.33867175025962337,0.4774255659941064,0.04924235191123574,0.7880464840776231
52,299,819,1831.6409543477537,40.729776155842714,2876.0,45.0,1.0067396056128413,-19.59597880864292,3.512417249292757,0.0,0.6320098041882196,0.108853223274953,0.1534503887392083,0.03611105806823951,0.6320098041882196
53,300,820,1872.3707305035964,28.80030091600653,2868.0,0.0,1.0194686066110505,-21.766894469838075,13.661016318661032,0.0,0.7186027653845578,0.43103677305770244,0.6076325385379535,0.12146446804771484,0.7186027653845578
54,300,821,1901.171031419603,40.729776155842714,2858.0,45.0,1.0225955340818844,-11.788011834139168,17.061290734585917,0.0,0.3373850577248017,0.5442661163747651,0.7672519436960415,0.0049242351911235605,0.7672519436960415
55,301,822,1941.9008075754457,40.729776155842714,2850.0,45.0,1.0002818144093204,-4.2125815475450645,1.4064469873895036,0.0,0.06731237342293145,0.0435412893099812,0.06138015549568331,0.08207058651872623,0.08207058651872623
56,302,823,1982.6305837312884,28.80030091600653,2861.0,90.0,1.0018768947899326,13.661016318661032,1.9886170951460524,0.4584966261306911,0.0,0.06157668186538604,0.08680464836256477,0.11489882112621669,0.4584966261306911
57,303,823,2011.430884647295,40.729776155842714,2867.0,45.0,1.0013635097358873,1.4064469873895038,8.380105429147626,0.10456310684018269,0.0,0.2612477358598872,0.36828093297409986,0.055807998832733845,0.36828093297409986
58,304,824,2052.1606608031375,40.729776155842714,2863.0,45.0,1.0030327744183936,-15.766958331444608,7.6904927577130255,0.0,0.48469743096473555,0.23947709120489657,0.3375908552262582,0.01969694076449429,0.48469743096473555
59,305,825,2092.89043695898,40.729776155842714,2859.0,45.0,1.0227547876430574,-22.053313814168014,14.455904058348354,0.0,0.7302180529928408,0.4571835377548026,0.6444916327046748,0.12310587977808937,0.7302180529928408
60,306,826,2133.6202131148225,40.729776155842714,2830.0,45.0,1.0117928868921218,-20.83467098651783,10.433592938803363,0.0,0.6811139285917227,0.32655966982485896,0.4603511662176248,0.0525251753719848,0.6811139285917227
61,307,827,2174.349989270665,28.80030091600653,2813.0,90.0,1.0684034933160165,-26.723744518553328,15.52395661772557,0.0,0.9269339214475167,0.49261345492308845,0.6944371869005183,0.026262587685992392,0.9269339214475167
62,308,827,2203.1502901866716,28.80030091600653,2798.0,90.0,1.0104110101172357,-20.903879542425827,6.928978666267094,0.0,0.6838809060361422,0.21551838652885116,0.3038162692689767,0.04595952845048668,0.6838809060361422
63,309,827,2231.950591102678,28.80030091600653,2791.0,90.0,1.01922936180663,-14.596429528741979,16.44321708789231,0.0,0.44082789056639815,0.5234017958557815,0.7378395110818007,0.006565646921498097,0.7378395110818007
64,310,827,2260.7508920186847,28.80030091600653,2783.0,90.0,1.0643201714479316,-19.1479519585378,20.03082003107638,0.0,0.6144371873357676,0.6465551595865537,0.9114488078069304,1.2060897730116485e-18,0.9114488078069304
65,311,827,2289.5511929346912,28.80030091600653,2771.0,90.0,1.0083622167148212,-14.596429528741979,13.66101631866103,0.0,0.44082789056639815,0.4310367730577024,0.6076325385379535,0.07222211613647911,0.6076325385379535
66,312,827,2318.351493850698,28.80030091600653,2768.0,90.0,1.0009389159395774,1.988617095146053,6.928978666267095,0.1210364084053595,0.0,0.21551838652885125,0.3038162692689768,0.0853534099794753,0.3038162692689768
67,313,827,2347.1517947667044,28.80030091600653,2773.0,90.0,1.0011163774920753,10.811610559159867,2.981430124794971,0.3741315716993583,0.0,0.09236502279807912,0.13020697254384722,0.016414117303745243,0.3741315716993583
68,314,827,2375.952095682711,28.80030091600653,2779.0,90.0,1.0002826068714394,-2.98143012479497,1.9886170951460531,0.0,0.024165578247095046,0.06157668186538607,0.0868046483625648,0.05909082229348289,0.0868046483625648
69,315,827,2404.7523965987175,28.80030091600653,2770.0,90.0,1.033025183151962,-6.928978666267095,18.25553529978623,0.0,0.1630530156943087,0.5849784777211676,0.8246441594443655,0.04267670498973765,0.8246441594443655
70,316,827,2433.552697514724,40.729776155842714,2772.0,135.0,1.0017818997954382,4.911487749536041,9.06728141831865,0.2039882769794622,0.0,0.28301838051487777,0.39897101072194147,0.07222211613647907,0.39897101072194147
71,317,826,2474.2824736705666,28.80030091600653,2783.0,90.0,1.0006645780501489,-2.9814301247949704,5.946801364267784,0.0,0.02416557824709506,0.1847300455961582,0.2604139450876944,0.003282823460749057,0.2604139450876944
72,318,826,2503.082774586573,28.80030091600653,2783.0,90.0,1.017298391678038,-18.25553529978623,15.523956617725572,0.0,0.579715327983902,0.49261345492308856,0.6944371869005184,0.0853534099794753,0.6944371869005184
73,319,826,2531.8830755025797,28.80030091600653,2764.0,90.0,1.0557411448288354,-26.723744518553328,3.9724545675555047,0.0,0.9269339214475167,0.12315336373077208,0.17360929672512954,0.04924235191123575,0.9269339214475167
74,320,826,2560.6833764185862,28.80030091600653,2754.0,90.0,1.0002872894988837,-3.972454567555506,0.9946080835930505,0.0,0.058887437609263765,0.03078834093269304,0.043402324181282405,0.16414117303745246,0.16414117303745246
75,321,826,2589.483677334593,28.80030091600653,2760.0,90.0,1.0664461860751084,20.03082003107638,20.03082003107638,0.6553484198038012,0.0,0.6465551595865537,0.9114488078069304,0.12803011496921293,0.9114488078069304
