step,row,col,cum_distance_m,edge_length_m,elevation_m,direction_deg,unit_cost,alpha_parallel_deg,alpha_cross_deg,rho_up,rho_down,rho_roll,rho_slide,rho_break,rho_max
0,372,751,0.0,28.80030091600653,2687.0,0.0,1.0008822755470974,0.0,6.928978666267095,0.0,0.0,0.21551838652885125,0.3038162692689768,0.12803011496921293,0.3038162692689768
1,372,752,28.80030091600653,40.729776155842714,2689.0,315.0,1.000633686591423,7.6904927577130255,2.109141114720043,0.2835284130908858,0.0,0.06531193396497184,0.09207023324352503,0.0016414117303745154,0.2835284130908858
2,371,753,69.53007707184925,28.80030091600653,2695.0,0.0,1.0007567138008506,8.8805678411181,1.9886170951460531,0.31788820207846963,0.0,0.06157668186538607,0.0868046483625648,0.013131293842996196,0.31788820207846963
3,371,754,98.33037798785578,40.729776155842714,2698.0,315.0,1.0046891498818864,-3.1805546814635168e-15,12.46034024334216,0.0,0.0,0.3918716037898307,0.5524213994611497,0.027903999416366926,0.5524213994611497
4,370,755,139.0601541436985,40.729776155842714,2698.0,315.0,1.0177837557501397,2.811201072520613,16.41627808305877,0.14433317489589434,0.0,0.5224954717197744,0.7365618659481997,0.021338352494868814,0.7365618659481997
5,369,756,179.7899302995412,28.80030091600653,2701.0,0.0,1.0023032591246213,10.811610559159867,8.8805678411181,0.3741315716993583,0.0,0.27709506839423725,0.39062091763154155,0.009848470382247149,0.39062091763154155
6,369,757,208.59023121554773,28.80030091600653,2705.0,0.0,1.0072757911720367,6.928978666267095,13.661016318661032,0.261644832457581,0.0,0.43103677305770244,0.6076325385379535,0.0262625876859924,0.6076325385379535
7,369,758,237.39053213155427,28.80030091600653,2708.0,0.0,1.0179521945922831,2.98143012479497,16.44321708789231,0.14915809321580378,0.0,0.5234017958557815,0.7378395110818007,0.0262625876859924,0.7378395110818007
8,369,759,266.1908330475608,28.80030091600653,2708.0,0.0,1.04420798983423,-0.9946080835930503,19.1479519585378,0.0,0.0,0.6157668186538606,0.868046483625648,0.0262625876859924,0.868046483625648
9,369,760,294.9911339635673,28.80030091600653,2707.0,0.0,1.0588174782275728,-4.961104227408825,20.03082003107638,0.0,0.09360929697123026,0.6465551595865537,0.9114488078069304,0.006565646921498098,0.9114488078069304
10,369,761,323.7914348795738,28.80030091600653,2703.0,0.0,1.017866333197246,-2.98143012479497,16.44321708789231,0.0,0.024165578247095046,0.5234017958557815,0.7378395110818007,0.03611105806823955,0.7378395110818007
11,369,762,352.5917357955803,40.729776155842714,2704.0,315.0,1.0008044610237277,2.10914111472004,6.304712527012773,0.12444814086803854,0.0,0.19593580189491538,0.2762106997305749,0.07386352786685359,0.2762106997305749
