step,row,col,cum_distance_m,edge_length_m,elevation_m,direction_deg,unit_cost,alpha_parallel_deg,alpha_cross_deg,rho_up,rho_down,rho_roll,rho_slide,rho_break,rho_max
0,319,748,0.0,28.80030091600653,3572.0,0.0,1.2171589223149153,34.77755089565154,10.811610559159867,1.189660431202243,0.0,0.33867175025962337,0.4774255659941064,0.042676704989737635,1.189660431202243
1,319,749,28.80030091600653,40.729776155842714,3587.0,315.0,1.0532083507770496,27.828199353972916,3.5124172492927617,0.9198495019822746,0.0,0.10885322327495314,0.1534503887392085,0.02626258768599238,0.9198495019822746
2,318,750,69.53007707184925,28.80030091600653,3604.0,0.0,1.0053350788784032,13.661016318661032,11.768169401761957,0.4584966261306911,0.0,0.3694600911923163,0.5208278901753887,0.04924235191123574,0.5208278901753887
3,318,751,98.33037798785578,28.80030091600653,3611.0,0.0,1.0111379560859206,13.661016318661032,14.596429528741979,0.4584966261306911,0.0,0.4618251139903955,0.6510348627192359,0.0,0.6510348627192359
4,318,752,127.13067890386232,40.729776155842714,3618.0,45.0,1.027386489197361,1.4064469873895034,17.70187716505362,0.10456310684018269,0.0,0.5660367610297556,0.7979420214438832,0.001641411730374529,0.7979420214438832
5,319,753,167.86045505970503,40.729776155842714,3616.0,45.0,1.0145792792452257,-10.433592938803363,15.766958331444604,0.0,0.28828093330854687,0.5007248270647836,0.7058717882003579,0.06893929267573005,0.7058717882003579
6,320,754,208.59023121554776,40.729776155842714,3604.0,45.0,1.0288142894880665,-23.251314796742054,14.455904058348354,0.0,0.7793221773914476,0.4571835377548026,0.6444916327046748,0.0393938815289886,0.7793221773914476
7,321,755,249.3200073713905,40.729776155842714,3586.0,45.0,1.0134363945904026,-18.337924307235642,14.455904058348354,0.0,0.5829056797824623,0.4571835377548026,0.6444916327046748,0.03775246979861408,0.6444916327046748
8,322,756,290.0497835272332,40.729776155842714,3574.0,45.0,1.019094725059038,-20.217790366913356,15.113456620442502,0.0,0.6565618663902613,0.47895418240979315,0.6751817104525164,0.011489882112621676,0.6751817104525164
9,323,757,330.77955968307595,28.80030091600653,3560.0,0.0,1.0587738840814163,-1.9886170951460531,20.03082003107638,0.0,0.0,0.6465551595865537,0.9114488078069304,0.029545411146741446,0.9114488078069304
10,323,758,359.57986059908245,40.729776155842714,3558.0,45.0,1.005680396873982,-18.969325164143417,4.212581547545065,0.0,0.6074577419856143,0.13062386792994363,0.18414046648704996,0.024621175955617865,0.6074577419856143
11,324,759,400.3096367549252,28.80030091600653,3540.0,0.0,1.015103083425389,-19.1479519585378,14.596429528741979,0.0,0.6144371873357676,0.4618251139903955,0.6510348627192359,0.03611105806823955,0.6510348627192359
12,324,760,429.1099376709317,40.729776155842714,3529.0,45.0,1.0554436759027246,-26.71690207473714,0.7033294435271857,0.0,0.9266345505710182,0.02177064465499062,0.030690077747841684,0.04267670498973765,0.9266345505710182
13,325,761,469.8397138267744,40.729776155842714,3508.0,45.0,1.220524107489608,-32.55227285302708,2.811201072520617,0.0,1.1967072346624843,0.08708257861996238,0.1227603109913666,0.0049242351911235795,1.1967072346624843
14,326,762,510.56948998261714,40.729776155842714,3482.0,45.0,1.0405405197123028,-25.583478113381727,6.304712527012774,0.0,0.8775304261806495,0.19593580189491544,0.27621069973057494,0.10012611555284605,0.8775304261806495
15,327,763,551.2992661384599,40.729776155842714,3474.0,45.0,1.0005142168024737,-9.06728141831865,2.109141114720041,0.0,0.23917680889108847,0.0653119339649718,0.09207023324352497,0.011489882112621674,0.23917680889108847
16,328,764,592.0290422943026,40.729776155842714,3464.0,45.0,1.0013184987264352,-13.79443765031279,1.4064469873895034,0.0,0.4110412443465719,0.04354128930998119,0.0613801554956833,0.0262625876859924,0.4110412443465719
17,329,765,632.7588184501453,28.80030091600653,3447.0,90.0,1.0590822516004936,-26.723744518553328,11.768169401761957,0.0,0.9269339214475167,0.3694600911923163,0.5208278901753887,0.0722221161364791,0.9269339214475167
18,330,765,661.5591193661519,28.80030091600653,3430.0,90.0,1.1068547175568586,-29.054349955806135,11.768169401761957,0.0,1.0310994994595133,0.3694600911923163,0.5208278901753887,0.0065656469214981,1.0310994994595133
19,331,765,690.3594202821585,28.80030091600653,3415.0,90.0,1.0853127970044452,-28.288641003131207,4.961104227408823,0.0,0.9963776401237222,0.1539417046634651,0.2170116209064119,0.0065656469214981075,0.9963776401237222
20,332,765,719.159721198165,40.729776155842714,3399.0,135.0,1.070081596153181,-20.217790366913356,20.217790366913352,0.0,0.6565618663902613,0.6531193396497178,0.9207023324352495,0.055807998832733824,0.9207023324352495
21,333,764,759.8894973540077,28.80030091600653,3381.0,90.0,1.0213424268766087,-23.461964145997715,2.9814301247949717,0.0,0.7880464840776231,0.09236502279807915,0.13020697254384725,0.029545411146741436,0.7880464840776231
22,334,764,788.6897982700143,28.80030091600653,3370.0,90.0,1.0060622221680502,-19.1479519585378,4.961104227408823,0.0,0.6144371873357676,0.1539417046634651,0.2170116209064119,0.026262587685992392,0.6144371873357676
23,335,764,817.4900991860209,28.80030091600653,3361.0,90.0,1.0026468633769587,-16.44321708789231,0.9946080835930513,0.0,0.5102716092770571,0.030788340932693066,0.04340232418128244,0.03939388152898859,0.5102716092770571
24,336,764,846.2904001020274,28.80030091600653,3353.0,90.0,1.1051588322649797,-29.054349955806135,9.848913620227734,0.0,1.0310994994595133,0.30788340932693037,0.43402324181282403,0.07222211613647908,1.0310994994595133
25,337,764,875.090701018034,28.80030091600653,3329.0,90.0,1.2878418962947187,-34.100996270707995,4.9611042274088275,0.0,1.2741525147639168,0.15394170466346524,0.2170116209064121,0.01969694076449429,1.2741525147639168
26,338,764,903.8910019340406,28.80030091600653,3314.0,90.0,1.0272697880177448,-24.29366311851227,1.583615760595352e-15,0.0,0.8227683434221871,4.9016296126563946e-17,6.909827259941223e-17,0.04924235191123574,0.8227683434221871
27,339,764,932.6913028500471,28.80030091600653,3303.0,90.0,1.016493285003372,-22.61965241027332,1.9886170951460516,0.0,0.7533246247317327,0.06157668186538602,0.08680464836256473,0.0262625876859924,0.7533246247317327
28,340,764,961.4916037660537,28.80030091600653,3290.0,90.0,1.1469153905837974,-30.552147225129104,2.070882148470845e-15,0.0,1.1005432181263048,6.409823339627593e-17,9.035927955307754e-17,0.029545411146741453,1.1005432181263048
