step,row,col,cum_distance_m,edge_length_m,elevation_m,direction_deg,unit_cost,alpha_parallel_deg,alpha_cross_deg,rho_up,rho_down,rho_roll,rho_slide,rho_break,rho_max
0,672,639,0.0,40.729776155842714,2754.0,135.0,1.7186637073370257,-39.85412003248107,22.654927938017725,0.0,1.5895402295152758,0.7402019182696803,1.043462643426616,0.08371199824910075,1.5895402295152758
1,673,638,40.729776155842714,40.729776155842714,2712.0,135.0,2.0114274729288493,-43.3879413040337,24.42817345663808,0.0,1.8105087890106268,0.805513852234652,1.1355328766701411,0.06565646921498099,1.8105087890106268
2,674,637,81.45955231168543,28.80030091600653,2680.0,180.0,1.2570771237531504,-33.413448289183464,4.961104227408829,0.0,1.2394306554398649,0.15394170466346532,0.21701162090641218,0.04267670498973765,1.2394306554398649
3,674,636,110.25985322769196,28.80030091600653,2664.0,180.0,1.2568294204478763,-33.413448289183464,1.988617095146058,0.0,1.2394306554398649,0.061576681865386215,0.086804648362565,0.016414117303745264,1.2394306554398649
4,674,635,139.0601541436985,28.80030091600653,2642.0,180.0,1.4180169184749125,-36.74207436541821,4.9611042274088195,0.0,1.413039952042007,0.153941704663465,0.21701162090641174,0.01641411730374527,1.413039952042007
5,674,634,167.86045505970503,28.80030091600653,2621.0,180.0,1.4226064992819538,-36.74207436541821,12.718120783699337,0.0,1.413039952042007,0.40024843212500927,0.564230214356671,2.4121795460232955e-18,1.413039952042007
6,674,633,196.66075597571157,28.80030091600653,2599.0,180.0,1.4186387213361886,-36.74207436541821,7.907081131041208,0.0,1.413039952042007,0.2463067274615441,0.34721859345025896,0.006565646921498116,1.413039952042007
7,674,632,225.4610568917181,28.80030091600653,2578.0,180.0,1.3516403751779442,-35.44318956191034,2.9814301247949753,0.0,1.3435962334066338,0.09236502279807926,0.13020697254384742,0.05580799883273385,1.3435962334066338
8,674,631,254.26135780772464,28.80030091600653,2558.0,180.0,1.0274925583969043,-24.29366311851227,3.972454567555509,0.0,0.8227683434221871,0.12315336373077224,0.17360929672512973,0.1050503507439696,0.8227683434221871
9,674,630,283.06165872373117,40.729776155842714,2552.0,225.0,1.000659501341665,-7.6904927577130255,4.91148774953604,0.0,0.19007268447259262,0.15239451258493414,0.2148305442348915,0.05088376364161029,0.2148305442348915
10,673,629,323.7914348795739,40.729776155842714,2547.0,225.0,1.0002859744524728,2.8112010725206176,3.975693351829396e-16,0.14433317489589448,0.0,1.2305621571259147e-17,1.7347234716399984e-17,0.031186822877115977,0.14433317489589448
11,672,628,364.5212110354166,28.80030091600653,2549.0,270.0,1.000264800850077,-1.988617095146053,1.9886170951460536,0.0,0.0,0.06157668186538608,0.08680464836256481,1.4473077276139772e-17,0.08680464836256481
