cg_height_m,mu_slide_mu_brake,max_grade_angle_deg,样本数,路径总代价_J_mean,路径长度_L_m_mean,E_rho_up_gt_0p7_mean,E_rho_roll_gt_0p7_mean,E_rho_slide_gt_0p7_mean,E_rho_max_gt_1p0_mean
0.75,0.35,25.0,2,5975.940348031952,4735.033365689247,0.26478913951910227,0.020053727781529723,0.2860606309952479,0.40338543679263283
0.75,0.35,30.0,2,5778.1783680191,4735.033365689247,0.20324164622733262,0.020053727781529723,0.2815948277363056,0.38492258846939353
0.75,0.35,35.0,2,5663.919999771111,4735.033365689247,0.18204500431425885,0.020053727781529723,0.2692465046321242,0.3461216503390038
0.75,0.5,25.0,2,5428.307189296977,4697.797651935156,0.27651879312452793,0.034001566048664215,0.22749307474456634,0.29546059988196033
0.75,0.5,30.0,2,5234.076974095815,4689.36223909707,0.21672530654169087,0.0352647862937564,0.22675679862511122,0.26512124838979234
0.75,0.5,35.0,2,5090.990725347963,4556.690723424292,0.2519853246416513,0.04257537219555879,0.26546754857745497,0.29166162186388733
0.75,0.7,25.0,2,5161.361083186177,4650.679237308395,0.2985480125876885,0.17213866757152066,0.2417792523200669,0.23901935421842985
0.75,0.7,30.0,2,4916.795040074263,4475.830657445189,0.3288411054494824,0.1458790006291861,0.21925379447219862,0.281235121229125
0.75,0.7,35.0,2,4755.819074158578,4467.395244607103,0.3085499236598336,0.11973380827995161,0.1745736854365293,0.20333322006329285
0.85,0.35,25.0,2,5982.843422738659,4735.033365689247,0.26478913951910227,0.031908176397541656,0.2860606309952479,0.40338543679263283
0.85,0.35,30.0,2,5785.032291671372,4735.033365689247,0.20324164622733262,0.031908176397541656,0.2815948277363056,0.38492258846939353
0.85,0.35,35.0,2,5670.7033631923605,4735.033365689247,0.18204500431425885,0.031908176397541656,0.2692465046321242,0.3461216503390038
0.85,0.5,25.0,2,5439.706868666091,4697.797651935156,0.27651879312452793,0.07612734609091289,0.22749307474456634,0.2942499165177065
0.85,0.5,30.0,2,5245.733949871557,4689.36223909707,0.21672530654169087,0.08016781512573806,0.22675679862511122,0.2639105650255385
0.85,0.5,35.0,2,5102.815641866011,4556.690723424292,0.2519853246416513,0.10006755210011188,0.26546754857745497,0.29166162186388733
0.85,0.7,25.0,2,5198.883544500491,4647.1851749066445,0.2869064541354799,0.16911406826680145,0.18656170563227326,0.2466558327561887
0.85,0.7,30.0,2,4945.526163799919,4463.901182205353,0.3309039304680118,0.15791835914353802,0.1760378849817212,0.28381696340230755
0.85,0.7,35.0,2,4779.82001145348,4455.465769367267,0.312391676163366,0.1286530329203252,0.14225168051872245,0.2152480905367294
0.95,0.35,25.0,2,5993.294846261542,4735.033365689247,0.26478913951910227,0.053871029016070035,0.2815948277363056,0.40338543679263283
0.95,0.35,30.0,2,5795.460127777367,4735.033365689247,0.20324164622733262,0.053871029016070035,0.2815948277363056,0.38492258846939353
0.95,0.35,35.0,2,5680.540886775785,4746.9628409290835,0.1858077323183165,0.04507401993252351,0.26947006442164984,0.34228238619483586
0.95,0.5,25.0,2,5455.5444983948455,4706.2330647732415,0.27728285391380286,0.10340907407725404,0.21356799638643348,0.28898854380265515
0.95,0.5,30.0,2,5262.069706139367,4697.797651935156,0.216206063787411,0.10494806761448339,0.22043669498487017,0.25420186262692485
0.95,0.5,35.0,2,5121.4074511177205,4565.126136262377,0.25154242227481227,0.14017411831007426,0.25916427655814855,0.2821253197106889
0.95,0.7,25.0,2,5225.925483744181,4680.926826258985,0.27979119504951344,0.16137627889127912,0.10654209753084617,0.2348008899337383
0.95,0.7,30.0,2,4982.164395645323,4472.336595043438,0.3349016662713227,0.21568670873788698,0.14999519666021788,0.3077737439374773
0.95,0.7,35.0,2,4810.001302393768,4463.901182205353,0.31194339010124944,0.1838891647040779,0.1329683705768484,0.23037783996745534
